Epoch 1, Loss: 6.817541599273682, Train acc: 0.6170212765957447, Validation acc: 0.5957446808510638, Test acc: 0.8297872340425532
Epoch 2, Loss: 6.787300109863281, Train acc: 0.6170212765957447, Validation acc: 0.5957446808510638, Test acc: 0.8297872340425532
Epoch 3, Loss: 6.68065881729126, Train acc: 0.6170212765957447, Validation acc: 0.5957446808510638, Test acc: 0.8297872340425532
Epoch 4, Loss: 6.589356422424316, Train acc: 0.6170212765957447, Validation acc: 0.5957446808510638, Test acc: 0.8297872340425532
Epoch 5, Loss: 6.494670867919922, Train acc: 0.6170212765957447, Validation acc: 0.5957446808510638, Test acc: 0.8297872340425532
Epoch 6, Loss: 6.564268112182617, Train acc: 0.6170212765957447, Validation acc: 0.5957446808510638, Test acc: 0.8297872340425532
Epoch 7, Loss: 6.518270015716553, Train acc: 0.6170212765957447, Validation acc: 0.5957446808510638, Test acc: 0.8297872340425532
Epoch 8, Loss: 6.5422797203063965, Train acc: 0.6170212765957447, Validation acc: 0.5957446808510638, Test acc: 0.8297872340425532
Epoch 9, Loss: 6.452551364898682, Train acc: 0.6170212765957447, Validation acc: 0.5957446808510638, Test acc: 0.8297872340425532
Epoch 10, Loss: 6.627359390258789, Train acc: 0.6170212765957447, Validation acc: 0.5957446808510638, Test acc: 0.8297872340425532
Epoch 11, Loss: 6.2491583824157715, Train acc: 0.6170212765957447, Validation acc: 0.5957446808510638, Test acc: 0.8297872340425532
Epoch 12, Loss: 6.192698955535889, Train acc: 0.6170212765957447, Validation acc: 0.5957446808510638, Test acc: 0.8297872340425532
Epoch 13, Loss: 6.0959062576293945, Train acc: 0.6170212765957447, Validation acc: 0.5957446808510638, Test acc: 0.8297872340425532
Epoch 14, Loss: 6.060896873474121, Train acc: 0.6170212765957447, Validation acc: 0.5957446808510638, Test acc: 0.8297872340425532
Epoch 15, Loss: 5.655997276306152, Train acc: 0.7127659574468085, Validation acc: 0.6382978723404256, Test acc: 0.8085106382978723
