Epoch 1, Loss: 6.832319259643555, Train acc: 0.6382978723404256, Validation acc: 0.5957446808510638, Test acc: 0.7872340425531915
Epoch 2, Loss: 6.750581741333008, Train acc: 0.6382978723404256, Validation acc: 0.5957446808510638, Test acc: 0.7872340425531915
Epoch 3, Loss: 6.624321460723877, Train acc: 0.6382978723404256, Validation acc: 0.5957446808510638, Test acc: 0.7872340425531915
Epoch 4, Loss: 6.386023998260498, Train acc: 0.6382978723404256, Validation acc: 0.5957446808510638, Test acc: 0.7872340425531915
Epoch 5, Loss: 6.591368198394775, Train acc: 0.6382978723404256, Validation acc: 0.5957446808510638, Test acc: 0.7872340425531915
Epoch 6, Loss: 6.297023773193359, Train acc: 0.6382978723404256, Validation acc: 0.5957446808510638, Test acc: 0.7872340425531915
Epoch 7, Loss: 6.405678749084473, Train acc: 0.6382978723404256, Validation acc: 0.5957446808510638, Test acc: 0.7872340425531915
Epoch 8, Loss: 6.572977066040039, Train acc: 0.6382978723404256, Validation acc: 0.5957446808510638, Test acc: 0.7872340425531915
Epoch 9, Loss: 6.3523125648498535, Train acc: 0.6382978723404256, Validation acc: 0.5957446808510638, Test acc: 0.7872340425531915
Epoch 10, Loss: 6.338176727294922, Train acc: 0.6382978723404256, Validation acc: 0.5957446808510638, Test acc: 0.7872340425531915
Epoch 11, Loss: 6.263373851776123, Train acc: 0.6382978723404256, Validation acc: 0.5957446808510638, Test acc: 0.7872340425531915
Epoch 12, Loss: 6.158210277557373, Train acc: 0.6382978723404256, Validation acc: 0.5957446808510638, Test acc: 0.7872340425531915
Epoch 13, Loss: 6.126252174377441, Train acc: 0.6382978723404256, Validation acc: 0.5957446808510638, Test acc: 0.7872340425531915
Epoch 14, Loss: 5.943809509277344, Train acc: 0.6382978723404256, Validation acc: 0.5957446808510638, Test acc: 0.7872340425531915
Epoch 15, Loss: 5.988404273986816, Train acc: 0.6382978723404256, Validation acc: 0.5957446808510638, Test acc: 0.7872340425531915
Epoch 16, Loss: 5.660808086395264, Train acc: 0.6382978723404256, Validation acc: 0.5957446808510638, Test acc: 0.7872340425531915
Epoch 17, Loss: 5.695611953735352, Train acc: 0.6382978723404256, Validation acc: 0.5957446808510638, Test acc: 0.7872340425531915
Epoch 18, Loss: 5.438535213470459, Train acc: 0.7340425531914894, Validation acc: 0.6808510638297872, Test acc: 0.7446808510638298
Epoch 19, Loss: 5.327225208282471, Train acc: 0.7021276595744681, Validation acc: 0.723404255319149, Test acc: 0.723404255319149
Epoch 20, Loss: 5.658898830413818, Train acc: 0.7127659574468085, Validation acc: 0.723404255319149, Test acc: 0.7021276595744681
Epoch 21, Loss: 5.4258599281311035, Train acc: 0.723404255319149, Validation acc: 0.723404255319149, Test acc: 0.723404255319149
Epoch 22, Loss: 5.67724084854126, Train acc: 0.723404255319149, Validation acc: 0.7446808510638298, Test acc: 0.6808510638297872
