Epoch 1, Loss: 6.936657905578613, Train acc: 0.6276595744680851, Validation acc: 0.6808510638297872, Test acc: 0.723404255319149
Epoch 2, Loss: 6.820297718048096, Train acc: 0.6276595744680851, Validation acc: 0.6808510638297872, Test acc: 0.723404255319149
Epoch 3, Loss: 6.683426856994629, Train acc: 0.6276595744680851, Validation acc: 0.6808510638297872, Test acc: 0.723404255319149
Epoch 4, Loss: 6.605785369873047, Train acc: 0.6276595744680851, Validation acc: 0.6808510638297872, Test acc: 0.723404255319149
Epoch 5, Loss: 6.565284729003906, Train acc: 0.6276595744680851, Validation acc: 0.6808510638297872, Test acc: 0.723404255319149
Epoch 6, Loss: 6.356201171875, Train acc: 0.6276595744680851, Validation acc: 0.6808510638297872, Test acc: 0.723404255319149
Epoch 7, Loss: 6.353543281555176, Train acc: 0.6276595744680851, Validation acc: 0.6808510638297872, Test acc: 0.723404255319149
Epoch 8, Loss: 6.437397003173828, Train acc: 0.6276595744680851, Validation acc: 0.6808510638297872, Test acc: 0.723404255319149
Epoch 9, Loss: 6.446193695068359, Train acc: 0.6276595744680851, Validation acc: 0.6808510638297872, Test acc: 0.723404255319149
Epoch 10, Loss: 6.355305194854736, Train acc: 0.6276595744680851, Validation acc: 0.6808510638297872, Test acc: 0.723404255319149
Epoch 11, Loss: 6.3243913650512695, Train acc: 0.6276595744680851, Validation acc: 0.6808510638297872, Test acc: 0.723404255319149
Epoch 12, Loss: 6.387240886688232, Train acc: 0.6276595744680851, Validation acc: 0.6808510638297872, Test acc: 0.723404255319149
Epoch 13, Loss: 6.10406494140625, Train acc: 0.6276595744680851, Validation acc: 0.6808510638297872, Test acc: 0.7446808510638298
Epoch 14, Loss: 6.317364692687988, Train acc: 0.6276595744680851, Validation acc: 0.6808510638297872, Test acc: 0.7446808510638298
Epoch 15, Loss: 6.020599365234375, Train acc: 0.6808510638297872, Validation acc: 0.5957446808510638, Test acc: 0.851063829787234
Epoch 16, Loss: 5.936161041259766, Train acc: 0.6808510638297872, Validation acc: 0.5957446808510638, Test acc: 0.851063829787234
Epoch 17, Loss: 5.984311103820801, Train acc: 0.6808510638297872, Validation acc: 0.5957446808510638, Test acc: 0.851063829787234
Epoch 18, Loss: 6.200827121734619, Train acc: 0.7127659574468085, Validation acc: 0.6595744680851063, Test acc: 0.8085106382978723
Epoch 19, Loss: 5.740864276885986, Train acc: 0.6808510638297872, Validation acc: 0.6170212765957447, Test acc: 0.8085106382978723
Epoch 20, Loss: 5.921356678009033, Train acc: 0.6914893617021277, Validation acc: 0.6382978723404256, Test acc: 0.8297872340425532
Epoch 21, Loss: 5.942407131195068, Train acc: 0.6808510638297872, Validation acc: 0.6170212765957447, Test acc: 0.8085106382978723
Epoch 22, Loss: 5.859013557434082, Train acc: 0.6808510638297872, Validation acc: 0.6382978723404256, Test acc: 0.8085106382978723
Epoch 23, Loss: 5.75112247467041, Train acc: 0.6914893617021277, Validation acc: 0.6170212765957447, Test acc: 0.8723404255319149
Epoch 24, Loss: 5.693761825561523, Train acc: 0.7127659574468085, Validation acc: 0.6808510638297872, Test acc: 0.8085106382978723
Epoch 25, Loss: 5.5418500900268555, Train acc: 0.7127659574468085, Validation acc: 0.7021276595744681, Test acc: 0.8297872340425532
Epoch 26, Loss: 5.637511730194092, Train acc: 0.7127659574468085, Validation acc: 0.6808510638297872, Test acc: 0.8085106382978723
Epoch 27, Loss: 5.788612365722656, Train acc: 0.7127659574468085, Validation acc: 0.6382978723404256, Test acc: 0.8085106382978723
Epoch 28, Loss: 5.448543071746826, Train acc: 0.7127659574468085, Validation acc: 0.7021276595744681, Test acc: 0.8297872340425532
Epoch 29, Loss: 5.6498637199401855, Train acc: 0.7127659574468085, Validation acc: 0.6382978723404256, Test acc: 0.8085106382978723
Epoch 30, Loss: 5.498680591583252, Train acc: 0.723404255319149, Validation acc: 0.6808510638297872, Test acc: 0.8085106382978723
Epoch 31, Loss: 6.125190734863281, Train acc: 0.7127659574468085, Validation acc: 0.7021276595744681, Test acc: 0.8297872340425532
Epoch 32, Loss: 6.065357685089111, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.7446808510638298
Epoch 33, Loss: 5.054157733917236, Train acc: 0.7021276595744681, Validation acc: 0.6170212765957447, Test acc: 0.8297872340425532
Epoch 34, Loss: 5.837954521179199, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.8085106382978723
