Epoch 1, Loss: 6.956927299499512, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 2, Loss: 6.719139099121094, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 3, Loss: 6.2383646965026855, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 4, Loss: 6.0568013191223145, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 5, Loss: 5.95112419128418, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 6, Loss: 5.7646098136901855, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 7, Loss: 5.7646660804748535, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 8, Loss: 6.223752021789551, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 9, Loss: 5.868095874786377, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 10, Loss: 6.012624263763428, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 11, Loss: 5.75507926940918, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 12, Loss: 5.734255313873291, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 13, Loss: 5.88427734375, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 14, Loss: 5.754643440246582, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 15, Loss: 5.83645486831665, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 16, Loss: 5.652999401092529, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 17, Loss: 5.5841498374938965, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 18, Loss: 5.874637126922607, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 19, Loss: 5.599576950073242, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 20, Loss: 5.834591865539551, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 21, Loss: 5.669027805328369, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 22, Loss: 5.506796836853027, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 23, Loss: 5.462960243225098, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 24, Loss: 5.39008092880249, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 25, Loss: 5.5334320068359375, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 26, Loss: 5.825150489807129, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 27, Loss: 5.649165153503418, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 28, Loss: 5.264747619628906, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6595744680851063
Epoch 29, Loss: 5.733541488647461, Train acc: 0.7446808510638298, Validation acc: 0.6382978723404256, Test acc: 0.6595744680851063
Epoch 30, Loss: 5.274549961090088, Train acc: 0.7659574468085106, Validation acc: 0.6382978723404256, Test acc: 0.6808510638297872
Epoch 31, Loss: 5.517582893371582, Train acc: 0.7553191489361702, Validation acc: 0.6170212765957447, Test acc: 0.6595744680851063
Epoch 32, Loss: 5.549776077270508, Train acc: 0.7340425531914894, Validation acc: 0.7659574468085106, Test acc: 0.7446808510638298
Epoch 33, Loss: 5.310553550720215, Train acc: 0.776595744680851, Validation acc: 0.6808510638297872, Test acc: 0.7021276595744681
Epoch 34, Loss: 5.3453145027160645, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 35, Loss: 5.204226970672607, Train acc: 0.7659574468085106, Validation acc: 0.6170212765957447, Test acc: 0.6808510638297872
Epoch 36, Loss: 5.102520942687988, Train acc: 0.7553191489361702, Validation acc: 0.723404255319149, Test acc: 0.723404255319149
Epoch 37, Loss: 5.44398832321167, Train acc: 0.776595744680851, Validation acc: 0.6808510638297872, Test acc: 0.7021276595744681
Epoch 38, Loss: 5.054311752319336, Train acc: 0.7659574468085106, Validation acc: 0.6808510638297872, Test acc: 0.7021276595744681
Epoch 39, Loss: 5.315235137939453, Train acc: 0.776595744680851, Validation acc: 0.6808510638297872, Test acc: 0.7021276595744681
Epoch 40, Loss: 5.032773971557617, Train acc: 0.776595744680851, Validation acc: 0.6808510638297872, Test acc: 0.7021276595744681
Epoch 41, Loss: 4.826718807220459, Train acc: 0.7659574468085106, Validation acc: 0.6808510638297872, Test acc: 0.7021276595744681
Epoch 42, Loss: 5.136831760406494, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 43, Loss: 5.581442356109619, Train acc: 0.7659574468085106, Validation acc: 0.6382978723404256, Test acc: 0.6595744680851063
Epoch 44, Loss: 5.10836124420166, Train acc: 0.7659574468085106, Validation acc: 0.6595744680851063, Test acc: 0.6595744680851063
Epoch 45, Loss: 5.036556720733643, Train acc: 0.776595744680851, Validation acc: 0.723404255319149, Test acc: 0.7446808510638298
Epoch 46, Loss: 5.1280517578125, Train acc: 0.7659574468085106, Validation acc: 0.6170212765957447, Test acc: 0.6595744680851063
Epoch 47, Loss: 5.067971706390381, Train acc: 0.7659574468085106, Validation acc: 0.6170212765957447, Test acc: 0.6595744680851063
Epoch 48, Loss: 5.079319000244141, Train acc: 0.7659574468085106, Validation acc: 0.6382978723404256, Test acc: 0.6595744680851063
Epoch 49, Loss: 5.341183662414551, Train acc: 0.7659574468085106, Validation acc: 0.6595744680851063, Test acc: 0.6595744680851063
Epoch 50, Loss: 5.196197986602783, Train acc: 0.7659574468085106, Validation acc: 0.6595744680851063, Test acc: 0.6595744680851063
Epoch 51, Loss: 5.098349094390869, Train acc: 0.776595744680851, Validation acc: 0.6808510638297872, Test acc: 0.7021276595744681
Epoch 52, Loss: 4.6714582443237305, Train acc: 0.776595744680851, Validation acc: 0.6808510638297872, Test acc: 0.7021276595744681
Epoch 53, Loss: 4.884310722351074, Train acc: 0.7659574468085106, Validation acc: 0.6382978723404256, Test acc: 0.6595744680851063
Epoch 54, Loss: 5.239935874938965, Train acc: 0.776595744680851, Validation acc: 0.6808510638297872, Test acc: 0.7021276595744681
Epoch 55, Loss: 4.911196708679199, Train acc: 0.7659574468085106, Validation acc: 0.7021276595744681, Test acc: 0.7446808510638298
Epoch 56, Loss: 5.138888359069824, Train acc: 0.7659574468085106, Validation acc: 0.6595744680851063, Test acc: 0.6595744680851063
Epoch 57, Loss: 5.124925136566162, Train acc: 0.7659574468085106, Validation acc: 0.6382978723404256, Test acc: 0.6595744680851063
Epoch 58, Loss: 4.691855430603027, Train acc: 0.776595744680851, Validation acc: 0.6808510638297872, Test acc: 0.7021276595744681
Epoch 59, Loss: 5.22044038772583, Train acc: 0.7659574468085106, Validation acc: 0.6595744680851063, Test acc: 0.7021276595744681
Epoch 60, Loss: 5.322702407836914, Train acc: 0.7659574468085106, Validation acc: 0.6382978723404256, Test acc: 0.6595744680851063
Epoch 61, Loss: 5.1821489334106445, Train acc: 0.7553191489361702, Validation acc: 0.6170212765957447, Test acc: 0.6595744680851063
Epoch 62, Loss: 4.9469313621521, Train acc: 0.7659574468085106, Validation acc: 0.6170212765957447, Test acc: 0.6595744680851063
Epoch 63, Loss: 5.1419677734375, Train acc: 0.776595744680851, Validation acc: 0.6808510638297872, Test acc: 0.7021276595744681
