Epoch 1, Loss: 6.562023162841797, Train acc: 0.6914893617021277, Validation acc: 0.5957446808510638, Test acc: 0.6808510638297872
Epoch 2, Loss: 6.452387809753418, Train acc: 0.6914893617021277, Validation acc: 0.5957446808510638, Test acc: 0.6808510638297872
Epoch 3, Loss: 6.289522171020508, Train acc: 0.6914893617021277, Validation acc: 0.5957446808510638, Test acc: 0.6808510638297872
Epoch 4, Loss: 6.451017379760742, Train acc: 0.6914893617021277, Validation acc: 0.5957446808510638, Test acc: 0.6808510638297872
Epoch 5, Loss: 6.063267707824707, Train acc: 0.6914893617021277, Validation acc: 0.5957446808510638, Test acc: 0.6808510638297872
Epoch 6, Loss: 6.194268226623535, Train acc: 0.6914893617021277, Validation acc: 0.5957446808510638, Test acc: 0.6808510638297872
Epoch 7, Loss: 6.037011623382568, Train acc: 0.6914893617021277, Validation acc: 0.5957446808510638, Test acc: 0.6808510638297872
Epoch 8, Loss: 5.879815101623535, Train acc: 0.6914893617021277, Validation acc: 0.5957446808510638, Test acc: 0.6808510638297872
Epoch 9, Loss: 6.144118309020996, Train acc: 0.6914893617021277, Validation acc: 0.5957446808510638, Test acc: 0.6808510638297872
Epoch 10, Loss: 5.813195705413818, Train acc: 0.6914893617021277, Validation acc: 0.5957446808510638, Test acc: 0.6808510638297872
Epoch 11, Loss: 5.875463962554932, Train acc: 0.6914893617021277, Validation acc: 0.5957446808510638, Test acc: 0.6808510638297872
Epoch 12, Loss: 5.956435680389404, Train acc: 0.6914893617021277, Validation acc: 0.5957446808510638, Test acc: 0.6808510638297872
Epoch 13, Loss: 5.870502948760986, Train acc: 0.6914893617021277, Validation acc: 0.5957446808510638, Test acc: 0.6808510638297872
Epoch 14, Loss: 5.613433361053467, Train acc: 0.6914893617021277, Validation acc: 0.5957446808510638, Test acc: 0.6808510638297872
Epoch 15, Loss: 5.869668483734131, Train acc: 0.6914893617021277, Validation acc: 0.5957446808510638, Test acc: 0.6808510638297872
Epoch 16, Loss: 5.910724639892578, Train acc: 0.6914893617021277, Validation acc: 0.5957446808510638, Test acc: 0.6808510638297872
Epoch 17, Loss: 5.6942138671875, Train acc: 0.6914893617021277, Validation acc: 0.5957446808510638, Test acc: 0.6808510638297872
Epoch 18, Loss: 5.099076747894287, Train acc: 0.6914893617021277, Validation acc: 0.5957446808510638, Test acc: 0.6808510638297872
Epoch 19, Loss: 5.199467658996582, Train acc: 0.6914893617021277, Validation acc: 0.5957446808510638, Test acc: 0.6808510638297872
Epoch 20, Loss: 5.304832935333252, Train acc: 0.7446808510638298, Validation acc: 0.6595744680851063, Test acc: 0.723404255319149
Epoch 21, Loss: 5.204280853271484, Train acc: 0.723404255319149, Validation acc: 0.7021276595744681, Test acc: 0.7446808510638298
Epoch 22, Loss: 5.173424243927002, Train acc: 0.7446808510638298, Validation acc: 0.723404255319149, Test acc: 0.7446808510638298
Epoch 23, Loss: 5.3032546043396, Train acc: 0.723404255319149, Validation acc: 0.6808510638297872, Test acc: 0.7446808510638298
Epoch 24, Loss: 4.9503607749938965, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.7021276595744681
Epoch 25, Loss: 5.286722183227539, Train acc: 0.7340425531914894, Validation acc: 0.723404255319149, Test acc: 0.7446808510638298
Epoch 26, Loss: 4.8463544845581055, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 27, Loss: 5.069638252258301, Train acc: 0.7553191489361702, Validation acc: 0.723404255319149, Test acc: 0.7446808510638298
Epoch 28, Loss: 5.148716926574707, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 29, Loss: 4.581065654754639, Train acc: 0.7659574468085106, Validation acc: 0.7446808510638298, Test acc: 0.6808510638297872
Epoch 30, Loss: 5.229860782623291, Train acc: 0.776595744680851, Validation acc: 0.7659574468085106, Test acc: 0.7021276595744681
Epoch 31, Loss: 4.79944372177124, Train acc: 0.7872340425531915, Validation acc: 0.7659574468085106, Test acc: 0.6808510638297872
Epoch 32, Loss: 4.742494583129883, Train acc: 0.7659574468085106, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 33, Loss: 4.6890130043029785, Train acc: 0.7872340425531915, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
