Epoch 1, Loss: 6.938046455383301, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 2, Loss: 6.674894332885742, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 3, Loss: 6.335559368133545, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 4, Loss: 5.866960525512695, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 5, Loss: 5.846269130706787, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 6, Loss: 6.1431684494018555, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 7, Loss: 5.893136978149414, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 8, Loss: 5.8955607414245605, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 9, Loss: 5.962875843048096, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 10, Loss: 5.911339282989502, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 11, Loss: 5.8258161544799805, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 12, Loss: 5.732971668243408, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 13, Loss: 5.890993595123291, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 14, Loss: 6.060543060302734, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 15, Loss: 5.729854583740234, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 16, Loss: 5.766820430755615, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 17, Loss: 5.993727684020996, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 18, Loss: 5.888851165771484, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 19, Loss: 5.978612422943115, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 20, Loss: 5.870429039001465, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 21, Loss: 5.89047384262085, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 22, Loss: 5.8013200759887695, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 23, Loss: 5.582102298736572, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 24, Loss: 5.905738830566406, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 25, Loss: 5.782713413238525, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 26, Loss: 5.485876560211182, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 27, Loss: 5.51682186126709, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 28, Loss: 5.857199192047119, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 29, Loss: 5.708401203155518, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 30, Loss: 5.679005146026611, Train acc: 0.7127659574468085, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 31, Loss: 6.211498737335205, Train acc: 0.7340425531914894, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 32, Loss: 5.621534824371338, Train acc: 0.776595744680851, Validation acc: 0.6595744680851063, Test acc: 0.7021276595744681
Epoch 33, Loss: 5.771373748779297, Train acc: 0.7340425531914894, Validation acc: 0.6170212765957447, Test acc: 0.6170212765957447
Epoch 34, Loss: 5.415390491485596, Train acc: 0.7446808510638298, Validation acc: 0.6382978723404256, Test acc: 0.6170212765957447
Epoch 35, Loss: 5.308235168457031, Train acc: 0.776595744680851, Validation acc: 0.6808510638297872, Test acc: 0.6808510638297872
Epoch 36, Loss: 5.688317775726318, Train acc: 0.7978723404255319, Validation acc: 0.7021276595744681, Test acc: 0.7021276595744681
Epoch 37, Loss: 5.303138256072998, Train acc: 0.776595744680851, Validation acc: 0.6808510638297872, Test acc: 0.7021276595744681
Epoch 38, Loss: 5.260169982910156, Train acc: 0.776595744680851, Validation acc: 0.6808510638297872, Test acc: 0.7021276595744681
Epoch 39, Loss: 4.9914679527282715, Train acc: 0.7872340425531915, Validation acc: 0.723404255319149, Test acc: 0.7021276595744681
Epoch 40, Loss: 5.184739589691162, Train acc: 0.776595744680851, Validation acc: 0.6808510638297872, Test acc: 0.6808510638297872
Epoch 41, Loss: 4.900254249572754, Train acc: 0.7553191489361702, Validation acc: 0.6595744680851063, Test acc: 0.6170212765957447
Epoch 42, Loss: 5.299442291259766, Train acc: 0.7978723404255319, Validation acc: 0.7021276595744681, Test acc: 0.7021276595744681
Epoch 43, Loss: 5.096720218658447, Train acc: 0.7978723404255319, Validation acc: 0.6808510638297872, Test acc: 0.6808510638297872
