Epoch 1, Loss: 7.120087146759033, Train acc: 0.30851063829787234, Validation acc: 0.3829787234042553, Test acc: 0.3404255319148936
Epoch 2, Loss: 6.949833869934082, Train acc: 0.6914893617021277, Validation acc: 0.6170212765957447, Test acc: 0.6595744680851063
Epoch 3, Loss: 6.732250690460205, Train acc: 0.6914893617021277, Validation acc: 0.6170212765957447, Test acc: 0.6595744680851063
Epoch 4, Loss: 6.344387531280518, Train acc: 0.6914893617021277, Validation acc: 0.6170212765957447, Test acc: 0.6595744680851063
Epoch 5, Loss: 5.834084510803223, Train acc: 0.6914893617021277, Validation acc: 0.6170212765957447, Test acc: 0.6595744680851063
Epoch 6, Loss: 6.098999977111816, Train acc: 0.6914893617021277, Validation acc: 0.6170212765957447, Test acc: 0.6595744680851063
Epoch 7, Loss: 6.210668087005615, Train acc: 0.6914893617021277, Validation acc: 0.6170212765957447, Test acc: 0.6595744680851063
Epoch 8, Loss: 6.112734794616699, Train acc: 0.6914893617021277, Validation acc: 0.6170212765957447, Test acc: 0.6595744680851063
Epoch 9, Loss: 5.909548759460449, Train acc: 0.6914893617021277, Validation acc: 0.6170212765957447, Test acc: 0.6595744680851063
Epoch 10, Loss: 5.865211009979248, Train acc: 0.6914893617021277, Validation acc: 0.6170212765957447, Test acc: 0.6595744680851063
Epoch 11, Loss: 5.955744743347168, Train acc: 0.6914893617021277, Validation acc: 0.6170212765957447, Test acc: 0.6595744680851063
Epoch 12, Loss: 6.135894775390625, Train acc: 0.6914893617021277, Validation acc: 0.6170212765957447, Test acc: 0.6595744680851063
Epoch 13, Loss: 5.9958696365356445, Train acc: 0.6914893617021277, Validation acc: 0.6170212765957447, Test acc: 0.6595744680851063
Epoch 14, Loss: 5.743215084075928, Train acc: 0.6914893617021277, Validation acc: 0.6170212765957447, Test acc: 0.6595744680851063
Epoch 15, Loss: 6.118365287780762, Train acc: 0.6914893617021277, Validation acc: 0.6170212765957447, Test acc: 0.6595744680851063
Epoch 16, Loss: 5.524817943572998, Train acc: 0.6914893617021277, Validation acc: 0.6170212765957447, Test acc: 0.6595744680851063
Epoch 17, Loss: 5.557573318481445, Train acc: 0.6914893617021277, Validation acc: 0.6170212765957447, Test acc: 0.6595744680851063
Epoch 18, Loss: 5.269655704498291, Train acc: 0.6914893617021277, Validation acc: 0.6170212765957447, Test acc: 0.6595744680851063
Epoch 19, Loss: 5.430083274841309, Train acc: 0.7021276595744681, Validation acc: 0.6382978723404256, Test acc: 0.6595744680851063
Epoch 20, Loss: 5.377437114715576, Train acc: 0.7446808510638298, Validation acc: 0.6595744680851063, Test acc: 0.7021276595744681
Epoch 21, Loss: 5.232448577880859, Train acc: 0.7659574468085106, Validation acc: 0.7021276595744681, Test acc: 0.7021276595744681
Epoch 22, Loss: 5.071381092071533, Train acc: 0.7872340425531915, Validation acc: 0.7021276595744681, Test acc: 0.7446808510638298
Epoch 23, Loss: 5.136604309082031, Train acc: 0.7872340425531915, Validation acc: 0.7021276595744681, Test acc: 0.7446808510638298
Epoch 24, Loss: 5.343238353729248, Train acc: 0.7553191489361702, Validation acc: 0.7021276595744681, Test acc: 0.7446808510638298
Epoch 25, Loss: 5.269697189331055, Train acc: 0.7872340425531915, Validation acc: 0.7021276595744681, Test acc: 0.723404255319149
Epoch 26, Loss: 4.807527542114258, Train acc: 0.7553191489361702, Validation acc: 0.6808510638297872, Test acc: 0.7446808510638298
Epoch 27, Loss: 4.861035346984863, Train acc: 0.776595744680851, Validation acc: 0.7021276595744681, Test acc: 0.7659574468085106
Epoch 28, Loss: 4.73228120803833, Train acc: 0.7872340425531915, Validation acc: 0.7021276595744681, Test acc: 0.7659574468085106
Epoch 29, Loss: 5.446399688720703, Train acc: 0.7659574468085106, Validation acc: 0.6808510638297872, Test acc: 0.7446808510638298
Epoch 30, Loss: 4.900268077850342, Train acc: 0.7872340425531915, Validation acc: 0.723404255319149, Test acc: 0.7446808510638298
Epoch 31, Loss: 4.931936740875244, Train acc: 0.7978723404255319, Validation acc: 0.7021276595744681, Test acc: 0.7446808510638298
Epoch 32, Loss: 4.766294956207275, Train acc: 0.7978723404255319, Validation acc: 0.7021276595744681, Test acc: 0.7659574468085106
Epoch 33, Loss: 4.549661636352539, Train acc: 0.7872340425531915, Validation acc: 0.723404255319149, Test acc: 0.7659574468085106
Epoch 34, Loss: 4.678260326385498, Train acc: 0.7872340425531915, Validation acc: 0.723404255319149, Test acc: 0.7659574468085106
Epoch 35, Loss: 4.721771240234375, Train acc: 0.7659574468085106, Validation acc: 0.723404255319149, Test acc: 0.7446808510638298
Epoch 36, Loss: 4.709332466125488, Train acc: 0.7872340425531915, Validation acc: 0.7021276595744681, Test acc: 0.7659574468085106
Epoch 37, Loss: 4.51315975189209, Train acc: 0.7978723404255319, Validation acc: 0.7021276595744681, Test acc: 0.7446808510638298
Epoch 38, Loss: 4.7024006843566895, Train acc: 0.7872340425531915, Validation acc: 0.7021276595744681, Test acc: 0.7659574468085106
Epoch 39, Loss: 4.68227481842041, Train acc: 0.7872340425531915, Validation acc: 0.7021276595744681, Test acc: 0.7659574468085106
Epoch 40, Loss: 4.518102169036865, Train acc: 0.7978723404255319, Validation acc: 0.6808510638297872, Test acc: 0.7446808510638298
Epoch 41, Loss: 4.724889278411865, Train acc: 0.7872340425531915, Validation acc: 0.723404255319149, Test acc: 0.7659574468085106
Epoch 42, Loss: 4.692173480987549, Train acc: 0.8085106382978723, Validation acc: 0.6808510638297872, Test acc: 0.7446808510638298
Epoch 43, Loss: 4.553266525268555, Train acc: 0.7978723404255319, Validation acc: 0.6808510638297872, Test acc: 0.7659574468085106
Epoch 44, Loss: 4.428869247436523, Train acc: 0.7978723404255319, Validation acc: 0.6808510638297872, Test acc: 0.7446808510638298
Epoch 45, Loss: 5.145718574523926, Train acc: 0.776595744680851, Validation acc: 0.6808510638297872, Test acc: 0.7659574468085106
Epoch 46, Loss: 4.474690914154053, Train acc: 0.776595744680851, Validation acc: 0.6808510638297872, Test acc: 0.7659574468085106
Epoch 47, Loss: 4.579878330230713, Train acc: 0.7978723404255319, Validation acc: 0.6808510638297872, Test acc: 0.7659574468085106
Epoch 48, Loss: 4.610650539398193, Train acc: 0.8085106382978723, Validation acc: 0.6808510638297872, Test acc: 0.7659574468085106
Epoch 49, Loss: 4.609651565551758, Train acc: 0.8085106382978723, Validation acc: 0.6808510638297872, Test acc: 0.7446808510638298
Epoch 50, Loss: 4.780045509338379, Train acc: 0.8085106382978723, Validation acc: 0.6808510638297872, Test acc: 0.7446808510638298
Epoch 51, Loss: 4.434596061706543, Train acc: 0.7872340425531915, Validation acc: 0.6595744680851063, Test acc: 0.7659574468085106
Epoch 52, Loss: 4.601932048797607, Train acc: 0.8085106382978723, Validation acc: 0.6808510638297872, Test acc: 0.7446808510638298
Epoch 53, Loss: 4.5850677490234375, Train acc: 0.7978723404255319, Validation acc: 0.6595744680851063, Test acc: 0.7446808510638298
Epoch 54, Loss: 4.2412428855896, Train acc: 0.776595744680851, Validation acc: 0.6595744680851063, Test acc: 0.7659574468085106
Epoch 55, Loss: 4.822510719299316, Train acc: 0.8085106382978723, Validation acc: 0.6808510638297872, Test acc: 0.7446808510638298
Epoch 56, Loss: 4.74107027053833, Train acc: 0.7978723404255319, Validation acc: 0.6595744680851063, Test acc: 0.7659574468085106
Epoch 57, Loss: 4.336769104003906, Train acc: 0.7978723404255319, Validation acc: 0.6808510638297872, Test acc: 0.7659574468085106
Epoch 58, Loss: 5.45461368560791, Train acc: 0.8085106382978723, Validation acc: 0.6808510638297872, Test acc: 0.7446808510638298
Epoch 59, Loss: 4.381065845489502, Train acc: 0.7978723404255319, Validation acc: 0.6808510638297872, Test acc: 0.7659574468085106
Epoch 60, Loss: 4.804356575012207, Train acc: 0.8085106382978723, Validation acc: 0.6595744680851063, Test acc: 0.7659574468085106
Epoch 61, Loss: 4.065018177032471, Train acc: 0.776595744680851, Validation acc: 0.6808510638297872, Test acc: 0.7659574468085106
Epoch 62, Loss: 4.564633369445801, Train acc: 0.8085106382978723, Validation acc: 0.6595744680851063, Test acc: 0.7446808510638298
Epoch 63, Loss: 5.092044830322266, Train acc: 0.7978723404255319, Validation acc: 0.6808510638297872, Test acc: 0.7659574468085106
Epoch 64, Loss: 4.948259353637695, Train acc: 0.7978723404255319, Validation acc: 0.6595744680851063, Test acc: 0.7659574468085106
Epoch 65, Loss: 4.656477928161621, Train acc: 0.8085106382978723, Validation acc: 0.6595744680851063, Test acc: 0.7446808510638298
Epoch 66, Loss: 4.2628173828125, Train acc: 0.8085106382978723, Validation acc: 0.6595744680851063, Test acc: 0.7446808510638298
Epoch 67, Loss: 4.865228652954102, Train acc: 0.7872340425531915, Validation acc: 0.6808510638297872, Test acc: 0.7659574468085106
Epoch 68, Loss: 4.908358573913574, Train acc: 0.7978723404255319, Validation acc: 0.6808510638297872, Test acc: 0.7021276595744681
Epoch 69, Loss: 4.5023322105407715, Train acc: 0.8085106382978723, Validation acc: 0.6595744680851063, Test acc: 0.723404255319149
Epoch 70, Loss: 4.968748092651367, Train acc: 0.8085106382978723, Validation acc: 0.6595744680851063, Test acc: 0.7446808510638298
Epoch 71, Loss: 4.612830638885498, Train acc: 0.7872340425531915, Validation acc: 0.6808510638297872, Test acc: 0.7659574468085106
Epoch 72, Loss: 4.162644386291504, Train acc: 0.8085106382978723, Validation acc: 0.6595744680851063, Test acc: 0.7446808510638298
Epoch 73, Loss: 4.6658148765563965, Train acc: 0.8085106382978723, Validation acc: 0.6595744680851063, Test acc: 0.7446808510638298
Epoch 74, Loss: 4.315855503082275, Train acc: 0.8085106382978723, Validation acc: 0.6595744680851063, Test acc: 0.7446808510638298
Epoch 75, Loss: 4.317166328430176, Train acc: 0.8085106382978723, Validation acc: 0.6595744680851063, Test acc: 0.7446808510638298
