Epoch 1, Loss: 7.216463565826416, Train acc: 0.2978723404255319, Validation acc: 0.48936170212765956, Test acc: 0.2553191489361702
Epoch 2, Loss: 7.007046222686768, Train acc: 0.7021276595744681, Validation acc: 0.5106382978723404, Test acc: 0.7446808510638298
Epoch 3, Loss: 6.441186904907227, Train acc: 0.7021276595744681, Validation acc: 0.5106382978723404, Test acc: 0.7446808510638298
Epoch 4, Loss: 6.332795143127441, Train acc: 0.7021276595744681, Validation acc: 0.5106382978723404, Test acc: 0.7446808510638298
Epoch 5, Loss: 6.023641109466553, Train acc: 0.7021276595744681, Validation acc: 0.5106382978723404, Test acc: 0.7446808510638298
Epoch 6, Loss: 5.790322303771973, Train acc: 0.7021276595744681, Validation acc: 0.5106382978723404, Test acc: 0.7446808510638298
Epoch 7, Loss: 5.821290969848633, Train acc: 0.7021276595744681, Validation acc: 0.5106382978723404, Test acc: 0.7446808510638298
Epoch 8, Loss: 5.901398658752441, Train acc: 0.7021276595744681, Validation acc: 0.5106382978723404, Test acc: 0.7446808510638298
Epoch 9, Loss: 5.952465057373047, Train acc: 0.7021276595744681, Validation acc: 0.5106382978723404, Test acc: 0.7446808510638298
Epoch 10, Loss: 5.8320746421813965, Train acc: 0.7021276595744681, Validation acc: 0.5106382978723404, Test acc: 0.7446808510638298
Epoch 11, Loss: 5.909132957458496, Train acc: 0.7021276595744681, Validation acc: 0.5106382978723404, Test acc: 0.7446808510638298
Epoch 12, Loss: 5.777665138244629, Train acc: 0.7021276595744681, Validation acc: 0.5106382978723404, Test acc: 0.7446808510638298
Epoch 13, Loss: 5.623594284057617, Train acc: 0.7021276595744681, Validation acc: 0.5106382978723404, Test acc: 0.7446808510638298
Epoch 14, Loss: 5.636495113372803, Train acc: 0.7021276595744681, Validation acc: 0.5106382978723404, Test acc: 0.7446808510638298
Epoch 15, Loss: 5.540706157684326, Train acc: 0.7021276595744681, Validation acc: 0.5106382978723404, Test acc: 0.7446808510638298
Epoch 16, Loss: 5.449569225311279, Train acc: 0.7021276595744681, Validation acc: 0.5106382978723404, Test acc: 0.7446808510638298
Epoch 17, Loss: 5.468364715576172, Train acc: 0.7021276595744681, Validation acc: 0.5106382978723404, Test acc: 0.7446808510638298
Epoch 18, Loss: 5.670736789703369, Train acc: 0.7021276595744681, Validation acc: 0.5106382978723404, Test acc: 0.7659574468085106
Epoch 19, Loss: 5.481029987335205, Train acc: 0.7021276595744681, Validation acc: 0.5106382978723404, Test acc: 0.7659574468085106
