Epoch 1, Loss: 7.018427848815918, Train acc: 0.7127659574468085, Validation acc: 0.7659574468085106, Test acc: 0.6382978723404256
Epoch 2, Loss: 6.81866455078125, Train acc: 0.648936170212766, Validation acc: 0.7021276595744681, Test acc: 0.6595744680851063
Epoch 3, Loss: 6.740106582641602, Train acc: 0.648936170212766, Validation acc: 0.7021276595744681, Test acc: 0.6595744680851063
Epoch 4, Loss: 6.354538440704346, Train acc: 0.648936170212766, Validation acc: 0.7021276595744681, Test acc: 0.6595744680851063
Epoch 5, Loss: 6.323298931121826, Train acc: 0.648936170212766, Validation acc: 0.7021276595744681, Test acc: 0.6595744680851063
Epoch 6, Loss: 6.318851947784424, Train acc: 0.648936170212766, Validation acc: 0.7021276595744681, Test acc: 0.6595744680851063
Epoch 7, Loss: 6.400336265563965, Train acc: 0.648936170212766, Validation acc: 0.7021276595744681, Test acc: 0.6595744680851063
Epoch 8, Loss: 6.408321380615234, Train acc: 0.648936170212766, Validation acc: 0.7021276595744681, Test acc: 0.6595744680851063
Epoch 9, Loss: 6.3009352684021, Train acc: 0.648936170212766, Validation acc: 0.7021276595744681, Test acc: 0.6595744680851063
Epoch 10, Loss: 6.270081043243408, Train acc: 0.648936170212766, Validation acc: 0.7021276595744681, Test acc: 0.6595744680851063
Epoch 11, Loss: 6.366479396820068, Train acc: 0.648936170212766, Validation acc: 0.7021276595744681, Test acc: 0.6595744680851063
Epoch 12, Loss: 6.234920501708984, Train acc: 0.648936170212766, Validation acc: 0.7021276595744681, Test acc: 0.6595744680851063
Epoch 13, Loss: 6.2040863037109375, Train acc: 0.648936170212766, Validation acc: 0.7021276595744681, Test acc: 0.6595744680851063
Epoch 14, Loss: 5.889527320861816, Train acc: 0.648936170212766, Validation acc: 0.7021276595744681, Test acc: 0.6595744680851063
Epoch 15, Loss: 6.031256675720215, Train acc: 0.648936170212766, Validation acc: 0.7021276595744681, Test acc: 0.6595744680851063
Epoch 16, Loss: 6.261176109313965, Train acc: 0.6595744680851063, Validation acc: 0.7021276595744681, Test acc: 0.6595744680851063
Epoch 17, Loss: 5.9114179611206055, Train acc: 0.7446808510638298, Validation acc: 0.851063829787234, Test acc: 0.6170212765957447
Epoch 18, Loss: 5.7239909172058105, Train acc: 0.7446808510638298, Validation acc: 0.851063829787234, Test acc: 0.6170212765957447
Epoch 19, Loss: 5.378550052642822, Train acc: 0.7340425531914894, Validation acc: 0.851063829787234, Test acc: 0.6170212765957447
Epoch 20, Loss: 5.416419982910156, Train acc: 0.7446808510638298, Validation acc: 0.7872340425531915, Test acc: 0.5531914893617021
Epoch 21, Loss: 6.200932502746582, Train acc: 0.7446808510638298, Validation acc: 0.8085106382978723, Test acc: 0.5957446808510638
Epoch 22, Loss: 6.131660461425781, Train acc: 0.7446808510638298, Validation acc: 0.7872340425531915, Test acc: 0.574468085106383
Epoch 23, Loss: 5.547441482543945, Train acc: 0.7127659574468085, Validation acc: 0.7659574468085106, Test acc: 0.6382978723404256
Epoch 24, Loss: 5.624297618865967, Train acc: 0.7446808510638298, Validation acc: 0.851063829787234, Test acc: 0.6170212765957447
Epoch 25, Loss: 5.414307117462158, Train acc: 0.7446808510638298, Validation acc: 0.7872340425531915, Test acc: 0.574468085106383
Epoch 26, Loss: 5.283329963684082, Train acc: 0.7553191489361702, Validation acc: 0.8085106382978723, Test acc: 0.5957446808510638
Epoch 27, Loss: 5.932082176208496, Train acc: 0.7340425531914894, Validation acc: 0.8297872340425532, Test acc: 0.6170212765957447
Epoch 28, Loss: 5.448163032531738, Train acc: 0.7446808510638298, Validation acc: 0.851063829787234, Test acc: 0.5957446808510638
Epoch 29, Loss: 5.235057830810547, Train acc: 0.7446808510638298, Validation acc: 0.851063829787234, Test acc: 0.5957446808510638
Epoch 30, Loss: 5.273194313049316, Train acc: 0.7446808510638298, Validation acc: 0.8297872340425532, Test acc: 0.5957446808510638
Epoch 31, Loss: 5.21113395690918, Train acc: 0.7446808510638298, Validation acc: 0.8297872340425532, Test acc: 0.5957446808510638
Epoch 32, Loss: 5.235875606536865, Train acc: 0.7553191489361702, Validation acc: 0.8085106382978723, Test acc: 0.5957446808510638
Epoch 33, Loss: 5.241775035858154, Train acc: 0.7446808510638298, Validation acc: 0.8297872340425532, Test acc: 0.5957446808510638
Epoch 34, Loss: 5.227183818817139, Train acc: 0.7446808510638298, Validation acc: 0.851063829787234, Test acc: 0.5957446808510638
Epoch 35, Loss: 4.773695945739746, Train acc: 0.7553191489361702, Validation acc: 0.8297872340425532, Test acc: 0.6170212765957447
Epoch 36, Loss: 5.498292446136475, Train acc: 0.7553191489361702, Validation acc: 0.8297872340425532, Test acc: 0.6170212765957447
Epoch 37, Loss: 5.195983409881592, Train acc: 0.7553191489361702, Validation acc: 0.8297872340425532, Test acc: 0.5957446808510638
Epoch 38, Loss: 5.669105529785156, Train acc: 0.7446808510638298, Validation acc: 0.8297872340425532, Test acc: 0.6170212765957447
Epoch 39, Loss: 5.018176555633545, Train acc: 0.776595744680851, Validation acc: 0.7872340425531915, Test acc: 0.6170212765957447
Epoch 40, Loss: 5.32742166519165, Train acc: 0.776595744680851, Validation acc: 0.7872340425531915, Test acc: 0.6170212765957447
Epoch 41, Loss: 5.265443325042725, Train acc: 0.7446808510638298, Validation acc: 0.8297872340425532, Test acc: 0.5957446808510638
Epoch 42, Loss: 5.194481372833252, Train acc: 0.776595744680851, Validation acc: 0.7872340425531915, Test acc: 0.6170212765957447
Epoch 43, Loss: 5.2155890464782715, Train acc: 0.7872340425531915, Validation acc: 0.7659574468085106, Test acc: 0.6808510638297872
Epoch 44, Loss: 5.114571571350098, Train acc: 0.7553191489361702, Validation acc: 0.8297872340425532, Test acc: 0.6170212765957447
Epoch 45, Loss: 5.116175174713135, Train acc: 0.7553191489361702, Validation acc: 0.8297872340425532, Test acc: 0.6170212765957447
Epoch 46, Loss: 5.2420759201049805, Train acc: 0.7553191489361702, Validation acc: 0.8297872340425532, Test acc: 0.6170212765957447
Epoch 47, Loss: 5.012547016143799, Train acc: 0.7553191489361702, Validation acc: 0.8297872340425532, Test acc: 0.6170212765957447
Epoch 48, Loss: 4.904393672943115, Train acc: 0.7553191489361702, Validation acc: 0.8297872340425532, Test acc: 0.6170212765957447
Epoch 49, Loss: 4.770504951477051, Train acc: 0.7553191489361702, Validation acc: 0.8297872340425532, Test acc: 0.6170212765957447
Epoch 50, Loss: 4.924154281616211, Train acc: 0.7553191489361702, Validation acc: 0.8297872340425532, Test acc: 0.6170212765957447
Epoch 51, Loss: 5.05685567855835, Train acc: 0.7553191489361702, Validation acc: 0.8297872340425532, Test acc: 0.6170212765957447
Epoch 52, Loss: 5.00974178314209, Train acc: 0.7553191489361702, Validation acc: 0.8297872340425532, Test acc: 0.6170212765957447
Epoch 53, Loss: 5.385918617248535, Train acc: 0.7553191489361702, Validation acc: 0.8297872340425532, Test acc: 0.6170212765957447
Epoch 54, Loss: 4.92668342590332, Train acc: 0.7553191489361702, Validation acc: 0.8297872340425532, Test acc: 0.6170212765957447
Epoch 55, Loss: 5.0943498611450195, Train acc: 0.7553191489361702, Validation acc: 0.8297872340425532, Test acc: 0.6170212765957447
Epoch 56, Loss: 4.7174906730651855, Train acc: 0.7553191489361702, Validation acc: 0.8297872340425532, Test acc: 0.6170212765957447
Epoch 57, Loss: 4.847940444946289, Train acc: 0.7553191489361702, Validation acc: 0.8297872340425532, Test acc: 0.6170212765957447
Epoch 58, Loss: 5.1066460609436035, Train acc: 0.7553191489361702, Validation acc: 0.8297872340425532, Test acc: 0.6170212765957447
Epoch 59, Loss: 5.026402473449707, Train acc: 0.7553191489361702, Validation acc: 0.8297872340425532, Test acc: 0.6170212765957447
Epoch 60, Loss: 4.853045463562012, Train acc: 0.7553191489361702, Validation acc: 0.8297872340425532, Test acc: 0.6170212765957447
Epoch 61, Loss: 4.955442905426025, Train acc: 0.7553191489361702, Validation acc: 0.8297872340425532, Test acc: 0.6170212765957447
Epoch 62, Loss: 4.865571975708008, Train acc: 0.7553191489361702, Validation acc: 0.8297872340425532, Test acc: 0.6170212765957447
Epoch 63, Loss: 5.039632320404053, Train acc: 0.7553191489361702, Validation acc: 0.8297872340425532, Test acc: 0.6170212765957447
Epoch 64, Loss: 5.208940029144287, Train acc: 0.7553191489361702, Validation acc: 0.8085106382978723, Test acc: 0.6170212765957447
Epoch 65, Loss: 4.912469387054443, Train acc: 0.7553191489361702, Validation acc: 0.8297872340425532, Test acc: 0.6170212765957447
Epoch 66, Loss: 5.166024684906006, Train acc: 0.7553191489361702, Validation acc: 0.8085106382978723, Test acc: 0.6170212765957447
Epoch 67, Loss: 5.0486369132995605, Train acc: 0.7553191489361702, Validation acc: 0.8085106382978723, Test acc: 0.6170212765957447
Epoch 68, Loss: 4.953739643096924, Train acc: 0.7553191489361702, Validation acc: 0.8085106382978723, Test acc: 0.6170212765957447
Epoch 69, Loss: 5.07205867767334, Train acc: 0.7553191489361702, Validation acc: 0.8085106382978723, Test acc: 0.6170212765957447
Epoch 70, Loss: 4.936647891998291, Train acc: 0.7553191489361702, Validation acc: 0.8085106382978723, Test acc: 0.6170212765957447
Epoch 71, Loss: 4.969498157501221, Train acc: 0.7553191489361702, Validation acc: 0.8085106382978723, Test acc: 0.6170212765957447
Epoch 72, Loss: 4.948751449584961, Train acc: 0.7553191489361702, Validation acc: 0.8085106382978723, Test acc: 0.6170212765957447
Epoch 73, Loss: 5.0751190185546875, Train acc: 0.7553191489361702, Validation acc: 0.8085106382978723, Test acc: 0.6170212765957447
Epoch 74, Loss: 4.809195041656494, Train acc: 0.7553191489361702, Validation acc: 0.8085106382978723, Test acc: 0.6170212765957447
Epoch 75, Loss: 4.752540111541748, Train acc: 0.7553191489361702, Validation acc: 0.8085106382978723, Test acc: 0.6170212765957447
Epoch 76, Loss: 4.896580219268799, Train acc: 0.7553191489361702, Validation acc: 0.8085106382978723, Test acc: 0.6170212765957447
Epoch 77, Loss: 4.885198593139648, Train acc: 0.7553191489361702, Validation acc: 0.8085106382978723, Test acc: 0.6170212765957447
Epoch 78, Loss: 4.9467244148254395, Train acc: 0.7553191489361702, Validation acc: 0.8085106382978723, Test acc: 0.6170212765957447
Epoch 79, Loss: 5.751011371612549, Train acc: 0.7553191489361702, Validation acc: 0.8085106382978723, Test acc: 0.6170212765957447
Epoch 80, Loss: 4.9960150718688965, Train acc: 0.7553191489361702, Validation acc: 0.8085106382978723, Test acc: 0.6170212765957447
Epoch 81, Loss: 4.995868682861328, Train acc: 0.7553191489361702, Validation acc: 0.8085106382978723, Test acc: 0.6170212765957447
Epoch 82, Loss: 5.148447036743164, Train acc: 0.7553191489361702, Validation acc: 0.8085106382978723, Test acc: 0.6170212765957447
Epoch 83, Loss: 5.258666038513184, Train acc: 0.7553191489361702, Validation acc: 0.8085106382978723, Test acc: 0.6170212765957447
Epoch 84, Loss: 5.11824893951416, Train acc: 0.7553191489361702, Validation acc: 0.8085106382978723, Test acc: 0.6170212765957447
Epoch 85, Loss: 5.433859825134277, Train acc: 0.7553191489361702, Validation acc: 0.8085106382978723, Test acc: 0.6170212765957447
