Epoch 1, Loss: 6.714106559753418, Train acc: 0.648936170212766, Validation acc: 0.6595744680851063, Test acc: 0.7021276595744681
Epoch 2, Loss: 6.695984363555908, Train acc: 0.648936170212766, Validation acc: 0.6595744680851063, Test acc: 0.7021276595744681
Epoch 3, Loss: 6.459420680999756, Train acc: 0.648936170212766, Validation acc: 0.6595744680851063, Test acc: 0.7021276595744681
Epoch 4, Loss: 6.394192218780518, Train acc: 0.648936170212766, Validation acc: 0.6595744680851063, Test acc: 0.7021276595744681
Epoch 5, Loss: 6.614016532897949, Train acc: 0.648936170212766, Validation acc: 0.6595744680851063, Test acc: 0.7021276595744681
Epoch 6, Loss: 6.2665486335754395, Train acc: 0.648936170212766, Validation acc: 0.6595744680851063, Test acc: 0.7021276595744681
Epoch 7, Loss: 6.314014911651611, Train acc: 0.648936170212766, Validation acc: 0.6595744680851063, Test acc: 0.7021276595744681
Epoch 8, Loss: 6.441205024719238, Train acc: 0.648936170212766, Validation acc: 0.6595744680851063, Test acc: 0.7021276595744681
Epoch 9, Loss: 6.308662414550781, Train acc: 0.648936170212766, Validation acc: 0.6595744680851063, Test acc: 0.7021276595744681
Epoch 10, Loss: 6.120367527008057, Train acc: 0.648936170212766, Validation acc: 0.6595744680851063, Test acc: 0.7021276595744681
Epoch 11, Loss: 6.104360103607178, Train acc: 0.648936170212766, Validation acc: 0.6595744680851063, Test acc: 0.7021276595744681
Epoch 12, Loss: 6.349367141723633, Train acc: 0.648936170212766, Validation acc: 0.6595744680851063, Test acc: 0.7021276595744681
Epoch 13, Loss: 6.175563812255859, Train acc: 0.648936170212766, Validation acc: 0.6595744680851063, Test acc: 0.7021276595744681
Epoch 14, Loss: 5.827678203582764, Train acc: 0.6595744680851063, Validation acc: 0.6595744680851063, Test acc: 0.7021276595744681
Epoch 15, Loss: 5.858211994171143, Train acc: 0.7021276595744681, Validation acc: 0.7021276595744681, Test acc: 0.7021276595744681
Epoch 16, Loss: 5.652329444885254, Train acc: 0.6808510638297872, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 17, Loss: 5.417835235595703, Train acc: 0.7127659574468085, Validation acc: 0.7021276595744681, Test acc: 0.723404255319149
Epoch 18, Loss: 5.255377769470215, Train acc: 0.723404255319149, Validation acc: 0.7659574468085106, Test acc: 0.7021276595744681
Epoch 19, Loss: 5.4511284828186035, Train acc: 0.7340425531914894, Validation acc: 0.7659574468085106, Test acc: 0.7021276595744681
Epoch 20, Loss: 5.542486190795898, Train acc: 0.7446808510638298, Validation acc: 0.7872340425531915, Test acc: 0.6808510638297872
Epoch 21, Loss: 4.982837677001953, Train acc: 0.6808510638297872, Validation acc: 0.7446808510638298, Test acc: 0.7659574468085106
Epoch 22, Loss: 5.636505603790283, Train acc: 0.7553191489361702, Validation acc: 0.7659574468085106, Test acc: 0.5957446808510638
