Epoch 1, Loss: 6.354438304901123, Train acc: 0.6808510638297872, Validation acc: 0.6170212765957447, Test acc: 0.6808510638297872
Epoch 2, Loss: 6.3144636154174805, Train acc: 0.6808510638297872, Validation acc: 0.6170212765957447, Test acc: 0.6808510638297872
Epoch 3, Loss: 6.2709269523620605, Train acc: 0.6808510638297872, Validation acc: 0.6170212765957447, Test acc: 0.6808510638297872
Epoch 4, Loss: 6.1646528244018555, Train acc: 0.6808510638297872, Validation acc: 0.6170212765957447, Test acc: 0.6808510638297872
Epoch 5, Loss: 6.309884071350098, Train acc: 0.6808510638297872, Validation acc: 0.6170212765957447, Test acc: 0.6808510638297872
Epoch 6, Loss: 6.170923233032227, Train acc: 0.6808510638297872, Validation acc: 0.6170212765957447, Test acc: 0.6808510638297872
Epoch 7, Loss: 5.986574172973633, Train acc: 0.6808510638297872, Validation acc: 0.6170212765957447, Test acc: 0.6808510638297872
Epoch 8, Loss: 5.952779769897461, Train acc: 0.6808510638297872, Validation acc: 0.6170212765957447, Test acc: 0.6808510638297872
Epoch 9, Loss: 5.913143157958984, Train acc: 0.6808510638297872, Validation acc: 0.6170212765957447, Test acc: 0.6808510638297872
Epoch 10, Loss: 6.02657413482666, Train acc: 0.6808510638297872, Validation acc: 0.6170212765957447, Test acc: 0.6808510638297872
Epoch 11, Loss: 6.154536247253418, Train acc: 0.6808510638297872, Validation acc: 0.6170212765957447, Test acc: 0.6808510638297872
Epoch 12, Loss: 6.006113529205322, Train acc: 0.6808510638297872, Validation acc: 0.6170212765957447, Test acc: 0.6808510638297872
Epoch 13, Loss: 6.020079612731934, Train acc: 0.6808510638297872, Validation acc: 0.6170212765957447, Test acc: 0.6808510638297872
Epoch 14, Loss: 5.970139503479004, Train acc: 0.6808510638297872, Validation acc: 0.6170212765957447, Test acc: 0.6808510638297872
Epoch 15, Loss: 5.655055999755859, Train acc: 0.6808510638297872, Validation acc: 0.6170212765957447, Test acc: 0.6808510638297872
Epoch 16, Loss: 5.463037014007568, Train acc: 0.6808510638297872, Validation acc: 0.6170212765957447, Test acc: 0.6808510638297872
Epoch 17, Loss: 5.581035614013672, Train acc: 0.6808510638297872, Validation acc: 0.6170212765957447, Test acc: 0.6808510638297872
Epoch 18, Loss: 5.246405124664307, Train acc: 0.6808510638297872, Validation acc: 0.6170212765957447, Test acc: 0.6808510638297872
Epoch 19, Loss: 5.426217555999756, Train acc: 0.6808510638297872, Validation acc: 0.6170212765957447, Test acc: 0.6808510638297872
Epoch 20, Loss: 5.6165242195129395, Train acc: 0.7659574468085106, Validation acc: 0.6808510638297872, Test acc: 0.6808510638297872
Epoch 21, Loss: 4.928842544555664, Train acc: 0.7659574468085106, Validation acc: 0.6382978723404256, Test acc: 0.7659574468085106
Epoch 22, Loss: 4.622312068939209, Train acc: 0.776595744680851, Validation acc: 0.6170212765957447, Test acc: 0.7446808510638298
Epoch 23, Loss: 4.591846466064453, Train acc: 0.776595744680851, Validation acc: 0.6595744680851063, Test acc: 0.723404255319149
Epoch 24, Loss: 4.831247806549072, Train acc: 0.776595744680851, Validation acc: 0.6382978723404256, Test acc: 0.7659574468085106
Epoch 25, Loss: 4.361095428466797, Train acc: 0.7872340425531915, Validation acc: 0.6170212765957447, Test acc: 0.7446808510638298
Epoch 26, Loss: 4.969439506530762, Train acc: 0.7978723404255319, Validation acc: 0.6170212765957447, Test acc: 0.7446808510638298
Epoch 27, Loss: 4.442591190338135, Train acc: 0.7872340425531915, Validation acc: 0.5957446808510638, Test acc: 0.7446808510638298
Epoch 28, Loss: 4.964027404785156, Train acc: 0.7872340425531915, Validation acc: 0.5957446808510638, Test acc: 0.7659574468085106
Epoch 29, Loss: 4.5193586349487305, Train acc: 0.7872340425531915, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 30, Loss: 4.521760940551758, Train acc: 0.7978723404255319, Validation acc: 0.6170212765957447, Test acc: 0.7659574468085106
Epoch 31, Loss: 4.52711820602417, Train acc: 0.8085106382978723, Validation acc: 0.6170212765957447, Test acc: 0.7446808510638298
Epoch 32, Loss: 4.893857002258301, Train acc: 0.7872340425531915, Validation acc: 0.6595744680851063, Test acc: 0.723404255319149
Epoch 33, Loss: 4.823264122009277, Train acc: 0.8191489361702128, Validation acc: 0.6170212765957447, Test acc: 0.7446808510638298
Epoch 34, Loss: 4.906979560852051, Train acc: 0.8191489361702128, Validation acc: 0.6170212765957447, Test acc: 0.7446808510638298
Epoch 35, Loss: 4.687511920928955, Train acc: 0.7872340425531915, Validation acc: 0.723404255319149, Test acc: 0.7446808510638298
Epoch 36, Loss: 4.478944301605225, Train acc: 0.7872340425531915, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 37, Loss: 4.471929550170898, Train acc: 0.7872340425531915, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 38, Loss: 4.207566738128662, Train acc: 0.7872340425531915, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 39, Loss: 4.238961219787598, Train acc: 0.7872340425531915, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 40, Loss: 4.241374969482422, Train acc: 0.7872340425531915, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 41, Loss: 4.077963829040527, Train acc: 0.7872340425531915, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 42, Loss: 4.330238342285156, Train acc: 0.7978723404255319, Validation acc: 0.6595744680851063, Test acc: 0.723404255319149
Epoch 43, Loss: 4.172089576721191, Train acc: 0.7978723404255319, Validation acc: 0.6595744680851063, Test acc: 0.7021276595744681
Epoch 44, Loss: 4.495996475219727, Train acc: 0.7978723404255319, Validation acc: 0.6595744680851063, Test acc: 0.723404255319149
Epoch 45, Loss: 4.999119758605957, Train acc: 0.7978723404255319, Validation acc: 0.6595744680851063, Test acc: 0.723404255319149
Epoch 46, Loss: 3.8820078372955322, Train acc: 0.8085106382978723, Validation acc: 0.6170212765957447, Test acc: 0.7446808510638298
Epoch 47, Loss: 4.607060432434082, Train acc: 0.8191489361702128, Validation acc: 0.6170212765957447, Test acc: 0.7446808510638298
Epoch 48, Loss: 4.315764427185059, Train acc: 0.8191489361702128, Validation acc: 0.6170212765957447, Test acc: 0.7446808510638298
Epoch 49, Loss: 4.106762886047363, Train acc: 0.8191489361702128, Validation acc: 0.6170212765957447, Test acc: 0.7446808510638298
Epoch 50, Loss: 4.580333232879639, Train acc: 0.8297872340425532, Validation acc: 0.6170212765957447, Test acc: 0.7446808510638298
Epoch 51, Loss: 4.187759876251221, Train acc: 0.8297872340425532, Validation acc: 0.6170212765957447, Test acc: 0.7446808510638298
Epoch 52, Loss: 4.390495300292969, Train acc: 0.8297872340425532, Validation acc: 0.6170212765957447, Test acc: 0.7446808510638298
Epoch 53, Loss: 4.019359111785889, Train acc: 0.8191489361702128, Validation acc: 0.6170212765957447, Test acc: 0.7446808510638298
Epoch 54, Loss: 4.240774154663086, Train acc: 0.8191489361702128, Validation acc: 0.6170212765957447, Test acc: 0.7446808510638298
Epoch 55, Loss: 3.9470388889312744, Train acc: 0.8297872340425532, Validation acc: 0.6170212765957447, Test acc: 0.7446808510638298
Epoch 56, Loss: 4.225803852081299, Train acc: 0.8297872340425532, Validation acc: 0.6170212765957447, Test acc: 0.7446808510638298
Epoch 57, Loss: 4.1050028800964355, Train acc: 0.8297872340425532, Validation acc: 0.6170212765957447, Test acc: 0.7446808510638298
Epoch 58, Loss: 4.62015438079834, Train acc: 0.8297872340425532, Validation acc: 0.6170212765957447, Test acc: 0.7446808510638298
Epoch 59, Loss: 4.039496898651123, Train acc: 0.8297872340425532, Validation acc: 0.6170212765957447, Test acc: 0.7446808510638298
Epoch 60, Loss: 4.168905258178711, Train acc: 0.8297872340425532, Validation acc: 0.6170212765957447, Test acc: 0.7446808510638298
Epoch 61, Loss: 4.4703474044799805, Train acc: 0.8297872340425532, Validation acc: 0.6170212765957447, Test acc: 0.7446808510638298
Epoch 62, Loss: 3.9481661319732666, Train acc: 0.8297872340425532, Validation acc: 0.6170212765957447, Test acc: 0.7446808510638298
Epoch 63, Loss: 4.047717094421387, Train acc: 0.8297872340425532, Validation acc: 0.6170212765957447, Test acc: 0.7446808510638298
Epoch 64, Loss: 4.065049171447754, Train acc: 0.8297872340425532, Validation acc: 0.6170212765957447, Test acc: 0.7446808510638298
Epoch 65, Loss: 3.649977207183838, Train acc: 0.8297872340425532, Validation acc: 0.6170212765957447, Test acc: 0.7446808510638298
Epoch 66, Loss: 4.285792827606201, Train acc: 0.8297872340425532, Validation acc: 0.6170212765957447, Test acc: 0.7446808510638298
Epoch 67, Loss: 3.9432520866394043, Train acc: 0.8297872340425532, Validation acc: 0.6170212765957447, Test acc: 0.7446808510638298
Epoch 68, Loss: 4.396434783935547, Train acc: 0.8297872340425532, Validation acc: 0.6170212765957447, Test acc: 0.7446808510638298
Epoch 69, Loss: 4.394407749176025, Train acc: 0.8297872340425532, Validation acc: 0.6170212765957447, Test acc: 0.7446808510638298
Epoch 70, Loss: 4.331894874572754, Train acc: 0.8297872340425532, Validation acc: 0.6170212765957447, Test acc: 0.7446808510638298
Epoch 71, Loss: 3.872483015060425, Train acc: 0.8297872340425532, Validation acc: 0.6170212765957447, Test acc: 0.7446808510638298
Epoch 72, Loss: 4.419917106628418, Train acc: 0.8297872340425532, Validation acc: 0.6170212765957447, Test acc: 0.7446808510638298
Epoch 73, Loss: 4.235427379608154, Train acc: 0.8297872340425532, Validation acc: 0.6170212765957447, Test acc: 0.7446808510638298
Epoch 74, Loss: 4.068640232086182, Train acc: 0.8297872340425532, Validation acc: 0.6170212765957447, Test acc: 0.7446808510638298
Epoch 75, Loss: 4.135803699493408, Train acc: 0.8297872340425532, Validation acc: 0.6170212765957447, Test acc: 0.7446808510638298
Epoch 76, Loss: 4.289663314819336, Train acc: 0.8297872340425532, Validation acc: 0.6170212765957447, Test acc: 0.7446808510638298
Epoch 77, Loss: 4.547486305236816, Train acc: 0.8297872340425532, Validation acc: 0.6170212765957447, Test acc: 0.7446808510638298
Epoch 78, Loss: 3.8393733501434326, Train acc: 0.8297872340425532, Validation acc: 0.6170212765957447, Test acc: 0.7446808510638298
Epoch 79, Loss: 4.18990421295166, Train acc: 0.8297872340425532, Validation acc: 0.6170212765957447, Test acc: 0.7446808510638298
Epoch 80, Loss: 4.134243488311768, Train acc: 0.8297872340425532, Validation acc: 0.6170212765957447, Test acc: 0.7446808510638298
Epoch 81, Loss: 4.3537678718566895, Train acc: 0.8297872340425532, Validation acc: 0.6170212765957447, Test acc: 0.7446808510638298
