Epoch 1, Loss: 54.463966369628906, Train acc: 0.15666666666666668, Validation acc: 0.17333333333333334, Test acc: 0.18
Epoch 2, Loss: 54.298072814941406, Train acc: 0.15666666666666668, Validation acc: 0.17333333333333334, Test acc: 0.18
Epoch 3, Loss: 54.203712463378906, Train acc: 0.15666666666666668, Validation acc: 0.17333333333333334, Test acc: 0.18
Epoch 4, Loss: 54.08259201049805, Train acc: 0.15666666666666668, Validation acc: 0.17333333333333334, Test acc: 0.18
Epoch 5, Loss: 53.89207458496094, Train acc: 0.15666666666666668, Validation acc: 0.17333333333333334, Test acc: 0.18
Epoch 6, Loss: 53.78447341918945, Train acc: 0.22, Validation acc: 0.20666666666666667, Test acc: 0.20666666666666667
Epoch 7, Loss: 53.630767822265625, Train acc: 0.19, Validation acc: 0.18, Test acc: 0.16666666666666666
Epoch 8, Loss: 53.55800247192383, Train acc: 0.16, Validation acc: 0.17333333333333334, Test acc: 0.14
Epoch 9, Loss: 53.33068084716797, Train acc: 0.23333333333333334, Validation acc: 0.21333333333333335, Test acc: 0.2
Epoch 10, Loss: 53.30738830566406, Train acc: 0.25666666666666665, Validation acc: 0.21333333333333335, Test acc: 0.18
Epoch 11, Loss: 53.00576400756836, Train acc: 0.21333333333333335, Validation acc: 0.22666666666666666, Test acc: 0.19333333333333333
Epoch 12, Loss: 52.98117446899414, Train acc: 0.23666666666666666, Validation acc: 0.18, Test acc: 0.14666666666666667
Epoch 13, Loss: 52.640384674072266, Train acc: 0.23666666666666666, Validation acc: 0.23333333333333334, Test acc: 0.22
Epoch 14, Loss: 52.40659713745117, Train acc: 0.2633333333333333, Validation acc: 0.20666666666666667, Test acc: 0.22666666666666666
Epoch 15, Loss: 52.25407791137695, Train acc: 0.24, Validation acc: 0.16666666666666666, Test acc: 0.2
Epoch 16, Loss: 51.900108337402344, Train acc: 0.24333333333333335, Validation acc: 0.22, Test acc: 0.22
Epoch 17, Loss: 52.62607192993164, Train acc: 0.21666666666666667, Validation acc: 0.11333333333333333, Test acc: 0.21333333333333335
