Epoch 1, Loss: 54.369873046875, Train acc: 0.17, Validation acc: 0.13333333333333333, Test acc: 0.19333333333333333
Epoch 2, Loss: 54.21463394165039, Train acc: 0.17, Validation acc: 0.13333333333333333, Test acc: 0.19333333333333333
Epoch 3, Loss: 54.023258209228516, Train acc: 0.17, Validation acc: 0.13333333333333333, Test acc: 0.19333333333333333
Epoch 4, Loss: 53.719295501708984, Train acc: 0.19, Validation acc: 0.18, Test acc: 0.14666666666666667
Epoch 5, Loss: 53.480491638183594, Train acc: 0.23, Validation acc: 0.14666666666666667, Test acc: 0.19333333333333333
Epoch 6, Loss: 53.16225051879883, Train acc: 0.22, Validation acc: 0.13333333333333333, Test acc: 0.21333333333333335
Epoch 7, Loss: 52.91388702392578, Train acc: 0.23, Validation acc: 0.14, Test acc: 0.20666666666666667
Epoch 8, Loss: 52.57223129272461, Train acc: 0.23666666666666666, Validation acc: 0.14666666666666667, Test acc: 0.22666666666666666
Epoch 9, Loss: 52.15009689331055, Train acc: 0.23666666666666666, Validation acc: 0.13333333333333333, Test acc: 0.2
Epoch 10, Loss: 52.27373504638672, Train acc: 0.24666666666666667, Validation acc: 0.18, Test acc: 0.22666666666666666
Epoch 11, Loss: 52.45652389526367, Train acc: 0.25, Validation acc: 0.22, Test acc: 0.23333333333333334
Epoch 12, Loss: 51.989681243896484, Train acc: 0.27666666666666667, Validation acc: 0.18, Test acc: 0.25333333333333335
Epoch 13, Loss: 51.616546630859375, Train acc: 0.26666666666666666, Validation acc: 0.15333333333333332, Test acc: 0.24666666666666667
Epoch 14, Loss: 51.96160888671875, Train acc: 0.2833333333333333, Validation acc: 0.22, Test acc: 0.28
Epoch 15, Loss: 51.83424758911133, Train acc: 0.2966666666666667, Validation acc: 0.24, Test acc: 0.28
Epoch 16, Loss: 51.22224426269531, Train acc: 0.27, Validation acc: 0.20666666666666667, Test acc: 0.2866666666666667
Epoch 17, Loss: 51.29667282104492, Train acc: 0.27, Validation acc: 0.20666666666666667, Test acc: 0.29333333333333333
Epoch 18, Loss: 50.98505401611328, Train acc: 0.28, Validation acc: 0.2, Test acc: 0.3
Epoch 19, Loss: 50.88737869262695, Train acc: 0.26, Validation acc: 0.21333333333333335, Test acc: 0.29333333333333333
Epoch 20, Loss: 51.09823226928711, Train acc: 0.29333333333333333, Validation acc: 0.21333333333333335, Test acc: 0.30666666666666664
Epoch 21, Loss: 50.76692581176758, Train acc: 0.2633333333333333, Validation acc: 0.26, Test acc: 0.24666666666666667
Epoch 22, Loss: 50.846431732177734, Train acc: 0.2733333333333333, Validation acc: 0.23333333333333334, Test acc: 0.3
Epoch 23, Loss: 50.662235260009766, Train acc: 0.3, Validation acc: 0.26, Test acc: 0.29333333333333333
Epoch 24, Loss: 50.51175308227539, Train acc: 0.27666666666666667, Validation acc: 0.2733333333333333, Test acc: 0.24666666666666667
Epoch 25, Loss: 50.706886291503906, Train acc: 0.3, Validation acc: 0.22, Test acc: 0.31333333333333335
Epoch 26, Loss: 50.689388275146484, Train acc: 0.31333333333333335, Validation acc: 0.26, Test acc: 0.2866666666666667
Epoch 27, Loss: 50.40340805053711, Train acc: 0.28, Validation acc: 0.20666666666666667, Test acc: 0.3
Epoch 28, Loss: 49.916053771972656, Train acc: 0.29, Validation acc: 0.20666666666666667, Test acc: 0.30666666666666664
Epoch 29, Loss: 50.100887298583984, Train acc: 0.30333333333333334, Validation acc: 0.23333333333333334, Test acc: 0.29333333333333333
Epoch 30, Loss: 49.83908462524414, Train acc: 0.3, Validation acc: 0.22666666666666666, Test acc: 0.32
Epoch 31, Loss: 50.13874816894531, Train acc: 0.30333333333333334, Validation acc: 0.25333333333333335, Test acc: 0.34
Epoch 32, Loss: 50.00556564331055, Train acc: 0.3, Validation acc: 0.22666666666666666, Test acc: 0.32
Epoch 33, Loss: 50.27842330932617, Train acc: 0.31333333333333335, Validation acc: 0.2733333333333333, Test acc: 0.32
Epoch 34, Loss: 49.885250091552734, Train acc: 0.29333333333333333, Validation acc: 0.23333333333333334, Test acc: 0.3466666666666667
Epoch 35, Loss: 49.85846710205078, Train acc: 0.29333333333333333, Validation acc: 0.22666666666666666, Test acc: 0.35333333333333333
Epoch 36, Loss: 49.638790130615234, Train acc: 0.30666666666666664, Validation acc: 0.22666666666666666, Test acc: 0.3333333333333333
Epoch 37, Loss: 49.55804443359375, Train acc: 0.3233333333333333, Validation acc: 0.26666666666666666, Test acc: 0.3466666666666667
Epoch 38, Loss: 49.248779296875, Train acc: 0.32, Validation acc: 0.26, Test acc: 0.32666666666666666
Epoch 39, Loss: 49.86906433105469, Train acc: 0.32666666666666666, Validation acc: 0.24666666666666667, Test acc: 0.3333333333333333
Epoch 40, Loss: 49.50120544433594, Train acc: 0.32, Validation acc: 0.2733333333333333, Test acc: 0.3466666666666667
Epoch 41, Loss: 49.246185302734375, Train acc: 0.36666666666666664, Validation acc: 0.3, Test acc: 0.4066666666666667
Epoch 42, Loss: 48.90544128417969, Train acc: 0.33, Validation acc: 0.2733333333333333, Test acc: 0.35333333333333333
Epoch 43, Loss: 49.328712463378906, Train acc: 0.33, Validation acc: 0.2866666666666667, Test acc: 0.35333333333333333
Epoch 44, Loss: 48.84231948852539, Train acc: 0.3433333333333333, Validation acc: 0.2733333333333333, Test acc: 0.37333333333333335
Epoch 45, Loss: 48.69331359863281, Train acc: 0.34, Validation acc: 0.28, Test acc: 0.36666666666666664
Epoch 46, Loss: 49.077213287353516, Train acc: 0.33, Validation acc: 0.2733333333333333, Test acc: 0.38666666666666666
Epoch 47, Loss: 47.934654235839844, Train acc: 0.3433333333333333, Validation acc: 0.2733333333333333, Test acc: 0.38
