Epoch 1, Loss: 53.737945556640625, Train acc: 0.17666666666666667, Validation acc: 0.14, Test acc: 0.17333333333333334
Epoch 2, Loss: 53.62118911743164, Train acc: 0.22333333333333333, Validation acc: 0.13333333333333333, Test acc: 0.16
Epoch 3, Loss: 53.51063919067383, Train acc: 0.24666666666666667, Validation acc: 0.18, Test acc: 0.16
Epoch 4, Loss: 53.360389709472656, Train acc: 0.21333333333333335, Validation acc: 0.14, Test acc: 0.14666666666666667
Epoch 5, Loss: 53.26961135864258, Train acc: 0.21, Validation acc: 0.09333333333333334, Test acc: 0.13333333333333333
Epoch 6, Loss: 52.96358108520508, Train acc: 0.24333333333333335, Validation acc: 0.22666666666666666, Test acc: 0.15333333333333332
Epoch 7, Loss: 52.694244384765625, Train acc: 0.24333333333333335, Validation acc: 0.22, Test acc: 0.16
Epoch 8, Loss: 52.40487289428711, Train acc: 0.28, Validation acc: 0.24666666666666667, Test acc: 0.2
Epoch 9, Loss: 52.073177337646484, Train acc: 0.26, Validation acc: 0.17333333333333334, Test acc: 0.19333333333333333
Epoch 10, Loss: 51.85999298095703, Train acc: 0.2633333333333333, Validation acc: 0.20666666666666667, Test acc: 0.20666666666666667
Epoch 11, Loss: 51.837650299072266, Train acc: 0.30333333333333334, Validation acc: 0.2733333333333333, Test acc: 0.26666666666666666
Epoch 12, Loss: 51.352840423583984, Train acc: 0.26666666666666666, Validation acc: 0.22, Test acc: 0.21333333333333335
Epoch 13, Loss: 50.90937805175781, Train acc: 0.31333333333333335, Validation acc: 0.26666666666666666, Test acc: 0.26
Epoch 14, Loss: 50.871925354003906, Train acc: 0.28, Validation acc: 0.25333333333333335, Test acc: 0.22
Epoch 15, Loss: 50.589290618896484, Train acc: 0.29, Validation acc: 0.28, Test acc: 0.20666666666666667
Epoch 16, Loss: 50.26163864135742, Train acc: 0.26666666666666666, Validation acc: 0.24, Test acc: 0.26666666666666666
Epoch 17, Loss: 49.60183334350586, Train acc: 0.3233333333333333, Validation acc: 0.24, Test acc: 0.29333333333333333
Epoch 18, Loss: 49.12120819091797, Train acc: 0.2966666666666667, Validation acc: 0.29333333333333333, Test acc: 0.28
Epoch 19, Loss: 49.627525329589844, Train acc: 0.32, Validation acc: 0.24666666666666667, Test acc: 0.24
Epoch 20, Loss: 49.070579528808594, Train acc: 0.33, Validation acc: 0.23333333333333334, Test acc: 0.3
Epoch 21, Loss: 48.21143341064453, Train acc: 0.3466666666666667, Validation acc: 0.25333333333333335, Test acc: 0.2866666666666667
Epoch 22, Loss: 48.36016082763672, Train acc: 0.31666666666666665, Validation acc: 0.25333333333333335, Test acc: 0.23333333333333334
Epoch 23, Loss: 48.19744110107422, Train acc: 0.31333333333333335, Validation acc: 0.26, Test acc: 0.26666666666666666
