Epoch 1, Loss: 54.15113067626953, Train acc: 0.16666666666666666, Validation acc: 0.18666666666666668, Test acc: 0.14666666666666667
Epoch 2, Loss: 53.86301040649414, Train acc: 0.19, Validation acc: 0.19333333333333333, Test acc: 0.15333333333333332
Epoch 3, Loss: 53.77959060668945, Train acc: 0.23, Validation acc: 0.22, Test acc: 0.18
Epoch 4, Loss: 53.53636932373047, Train acc: 0.23, Validation acc: 0.17333333333333334, Test acc: 0.14
Epoch 5, Loss: 53.35041427612305, Train acc: 0.23666666666666666, Validation acc: 0.17333333333333334, Test acc: 0.16
Epoch 6, Loss: 53.110721588134766, Train acc: 0.22, Validation acc: 0.14, Test acc: 0.15333333333333332
Epoch 7, Loss: 52.93111801147461, Train acc: 0.23666666666666666, Validation acc: 0.23333333333333334, Test acc: 0.19333333333333333
Epoch 8, Loss: 52.74839782714844, Train acc: 0.23333333333333334, Validation acc: 0.21333333333333335, Test acc: 0.2
Epoch 9, Loss: 52.55434799194336, Train acc: 0.24, Validation acc: 0.17333333333333334, Test acc: 0.18
Epoch 10, Loss: 52.477874755859375, Train acc: 0.24333333333333335, Validation acc: 0.20666666666666667, Test acc: 0.16666666666666666
Epoch 11, Loss: 52.318359375, Train acc: 0.24, Validation acc: 0.19333333333333333, Test acc: 0.17333333333333334
Epoch 12, Loss: 52.280277252197266, Train acc: 0.26, Validation acc: 0.24666666666666667, Test acc: 0.2
Epoch 13, Loss: 52.0103759765625, Train acc: 0.29, Validation acc: 0.23333333333333334, Test acc: 0.2
Epoch 14, Loss: 51.81298828125, Train acc: 0.26666666666666666, Validation acc: 0.26, Test acc: 0.20666666666666667
Epoch 15, Loss: 51.938209533691406, Train acc: 0.25333333333333335, Validation acc: 0.17333333333333334, Test acc: 0.14
Epoch 16, Loss: 51.72447967529297, Train acc: 0.2866666666666667, Validation acc: 0.23333333333333334, Test acc: 0.20666666666666667
Epoch 17, Loss: 51.65802764892578, Train acc: 0.29, Validation acc: 0.2733333333333333, Test acc: 0.20666666666666667
Epoch 18, Loss: 51.27946090698242, Train acc: 0.2966666666666667, Validation acc: 0.22666666666666666, Test acc: 0.18
Epoch 19, Loss: 51.214176177978516, Train acc: 0.28, Validation acc: 0.26, Test acc: 0.20666666666666667
Epoch 20, Loss: 50.978492736816406, Train acc: 0.30666666666666664, Validation acc: 0.23333333333333334, Test acc: 0.19333333333333333
Epoch 21, Loss: 50.75064468383789, Train acc: 0.31333333333333335, Validation acc: 0.3, Test acc: 0.28
Epoch 22, Loss: 51.01335906982422, Train acc: 0.29, Validation acc: 0.24, Test acc: 0.22
Epoch 23, Loss: 51.29362106323242, Train acc: 0.29333333333333333, Validation acc: 0.23333333333333334, Test acc: 0.18
Epoch 24, Loss: 50.62702560424805, Train acc: 0.31666666666666665, Validation acc: 0.2733333333333333, Test acc: 0.22666666666666666
Epoch 25, Loss: 50.264225006103516, Train acc: 0.2966666666666667, Validation acc: 0.22, Test acc: 0.2
Epoch 26, Loss: 50.595733642578125, Train acc: 0.3466666666666667, Validation acc: 0.3, Test acc: 0.26
Epoch 27, Loss: 49.89828872680664, Train acc: 0.3466666666666667, Validation acc: 0.31333333333333335, Test acc: 0.28
Epoch 28, Loss: 50.01038360595703, Train acc: 0.33, Validation acc: 0.3, Test acc: 0.23333333333333334
Epoch 29, Loss: 49.83061981201172, Train acc: 0.35, Validation acc: 0.30666666666666664, Test acc: 0.25333333333333335
Epoch 30, Loss: 49.6767692565918, Train acc: 0.3566666666666667, Validation acc: 0.28, Test acc: 0.23333333333333334
Epoch 31, Loss: 49.72968292236328, Train acc: 0.34, Validation acc: 0.2866666666666667, Test acc: 0.24
Epoch 32, Loss: 49.11151123046875, Train acc: 0.36333333333333334, Validation acc: 0.32, Test acc: 0.26
Epoch 33, Loss: 49.34792709350586, Train acc: 0.34, Validation acc: 0.30666666666666664, Test acc: 0.26666666666666666
Epoch 34, Loss: 49.163753509521484, Train acc: 0.3566666666666667, Validation acc: 0.29333333333333333, Test acc: 0.20666666666666667
Epoch 35, Loss: 49.9395866394043, Train acc: 0.33, Validation acc: 0.24666666666666667, Test acc: 0.26
Epoch 36, Loss: 48.985233306884766, Train acc: 0.36, Validation acc: 0.31333333333333335, Test acc: 0.26
Epoch 37, Loss: 49.19731140136719, Train acc: 0.33666666666666667, Validation acc: 0.2733333333333333, Test acc: 0.24
Epoch 38, Loss: 48.56614303588867, Train acc: 0.3433333333333333, Validation acc: 0.30666666666666664, Test acc: 0.26
Epoch 39, Loss: 48.79798126220703, Train acc: 0.3466666666666667, Validation acc: 0.31333333333333335, Test acc: 0.22
Epoch 40, Loss: 48.7935791015625, Train acc: 0.36, Validation acc: 0.30666666666666664, Test acc: 0.26666666666666666
Epoch 41, Loss: 48.22905731201172, Train acc: 0.36, Validation acc: 0.3333333333333333, Test acc: 0.24
Epoch 42, Loss: 48.229373931884766, Train acc: 0.37666666666666665, Validation acc: 0.32, Test acc: 0.2733333333333333
Epoch 43, Loss: 48.31437301635742, Train acc: 0.36, Validation acc: 0.30666666666666664, Test acc: 0.23333333333333334
Epoch 44, Loss: 48.58501052856445, Train acc: 0.4, Validation acc: 0.38666666666666666, Test acc: 0.26
Epoch 45, Loss: 48.09503173828125, Train acc: 0.3933333333333333, Validation acc: 0.30666666666666664, Test acc: 0.26666666666666666
Epoch 46, Loss: 48.58256530761719, Train acc: 0.37666666666666665, Validation acc: 0.36666666666666664, Test acc: 0.2733333333333333
Epoch 47, Loss: 47.84624099731445, Train acc: 0.3566666666666667, Validation acc: 0.32666666666666666, Test acc: 0.26666666666666666
Epoch 48, Loss: 47.44577407836914, Train acc: 0.39, Validation acc: 0.35333333333333333, Test acc: 0.28
Epoch 49, Loss: 47.202449798583984, Train acc: 0.4066666666666667, Validation acc: 0.36666666666666664, Test acc: 0.28
Epoch 50, Loss: 47.510684967041016, Train acc: 0.37666666666666665, Validation acc: 0.30666666666666664, Test acc: 0.28
Epoch 51, Loss: 47.89273452758789, Train acc: 0.4066666666666667, Validation acc: 0.3333333333333333, Test acc: 0.2733333333333333
Epoch 52, Loss: 46.93526077270508, Train acc: 0.38666666666666666, Validation acc: 0.35333333333333333, Test acc: 0.2733333333333333
Epoch 53, Loss: 47.084510803222656, Train acc: 0.39, Validation acc: 0.34, Test acc: 0.29333333333333333
Epoch 54, Loss: 47.7445068359375, Train acc: 0.38, Validation acc: 0.36, Test acc: 0.28
Epoch 55, Loss: 47.39181900024414, Train acc: 0.38666666666666666, Validation acc: 0.37333333333333335, Test acc: 0.30666666666666664
Epoch 56, Loss: 48.04027557373047, Train acc: 0.4033333333333333, Validation acc: 0.34, Test acc: 0.29333333333333333
Epoch 57, Loss: 46.84964370727539, Train acc: 0.38333333333333336, Validation acc: 0.3933333333333333, Test acc: 0.25333333333333335
Epoch 58, Loss: 47.53974533081055, Train acc: 0.4066666666666667, Validation acc: 0.31333333333333335, Test acc: 0.26666666666666666
Epoch 59, Loss: 47.16457748413086, Train acc: 0.39666666666666667, Validation acc: 0.36, Test acc: 0.28
