Epoch 1, Loss: 54.447181701660156, Train acc: 0.15333333333333332, Validation acc: 0.17333333333333334, Test acc: 0.18666666666666668
Epoch 2, Loss: 54.2335090637207, Train acc: 0.15333333333333332, Validation acc: 0.17333333333333334, Test acc: 0.18666666666666668
Epoch 3, Loss: 54.117408752441406, Train acc: 0.17333333333333334, Validation acc: 0.18, Test acc: 0.2
Epoch 4, Loss: 53.977935791015625, Train acc: 0.18666666666666668, Validation acc: 0.18666666666666668, Test acc: 0.24666666666666667
Epoch 5, Loss: 53.574684143066406, Train acc: 0.19666666666666666, Validation acc: 0.20666666666666667, Test acc: 0.25333333333333335
Epoch 6, Loss: 52.92152404785156, Train acc: 0.21666666666666667, Validation acc: 0.14, Test acc: 0.13333333333333333
Epoch 7, Loss: 52.96706008911133, Train acc: 0.22, Validation acc: 0.18666666666666668, Test acc: 0.23333333333333334
Epoch 8, Loss: 52.58780288696289, Train acc: 0.24333333333333335, Validation acc: 0.22666666666666666, Test acc: 0.17333333333333334
Epoch 9, Loss: 52.33298110961914, Train acc: 0.23, Validation acc: 0.18666666666666668, Test acc: 0.12666666666666668
Epoch 10, Loss: 52.24911117553711, Train acc: 0.24666666666666667, Validation acc: 0.21333333333333335, Test acc: 0.13333333333333333
Epoch 11, Loss: 51.83702850341797, Train acc: 0.28, Validation acc: 0.21333333333333335, Test acc: 0.2
Epoch 12, Loss: 51.884979248046875, Train acc: 0.22, Validation acc: 0.2, Test acc: 0.11333333333333333
Epoch 13, Loss: 51.60927963256836, Train acc: 0.22666666666666666, Validation acc: 0.20666666666666667, Test acc: 0.11333333333333333
Epoch 14, Loss: 51.58028030395508, Train acc: 0.23666666666666666, Validation acc: 0.22666666666666666, Test acc: 0.12
Epoch 15, Loss: 51.564273834228516, Train acc: 0.26, Validation acc: 0.24, Test acc: 0.13333333333333333
Epoch 16, Loss: 51.12864685058594, Train acc: 0.26666666666666666, Validation acc: 0.22, Test acc: 0.14
Epoch 17, Loss: 51.2735481262207, Train acc: 0.23666666666666666, Validation acc: 0.21333333333333335, Test acc: 0.12
Epoch 18, Loss: 50.57701110839844, Train acc: 0.2833333333333333, Validation acc: 0.21333333333333335, Test acc: 0.20666666666666667
Epoch 19, Loss: 50.842491149902344, Train acc: 0.26, Validation acc: 0.23333333333333334, Test acc: 0.13333333333333333
Epoch 20, Loss: 50.69978713989258, Train acc: 0.29, Validation acc: 0.20666666666666667, Test acc: 0.19333333333333333
Epoch 21, Loss: 50.962703704833984, Train acc: 0.29, Validation acc: 0.24, Test acc: 0.20666666666666667
Epoch 22, Loss: 50.578819274902344, Train acc: 0.25, Validation acc: 0.23333333333333334, Test acc: 0.14
Epoch 23, Loss: 50.56039810180664, Train acc: 0.2866666666666667, Validation acc: 0.22666666666666666, Test acc: 0.17333333333333334
Epoch 24, Loss: 50.05888748168945, Train acc: 0.27, Validation acc: 0.28, Test acc: 0.28
Epoch 25, Loss: 50.58192825317383, Train acc: 0.2866666666666667, Validation acc: 0.20666666666666667, Test acc: 0.2
Epoch 26, Loss: 50.26508331298828, Train acc: 0.3, Validation acc: 0.20666666666666667, Test acc: 0.22
Epoch 27, Loss: 50.71076965332031, Train acc: 0.3, Validation acc: 0.25333333333333335, Test acc: 0.20666666666666667
