Epoch 1, Loss: 54.1638298034668, Train acc: 0.18, Validation acc: 0.15333333333333332, Test acc: 0.15333333333333332
Epoch 2, Loss: 53.970191955566406, Train acc: 0.18, Validation acc: 0.15333333333333332, Test acc: 0.15333333333333332
Epoch 3, Loss: 53.69044494628906, Train acc: 0.18, Validation acc: 0.15333333333333332, Test acc: 0.15333333333333332
Epoch 4, Loss: 53.601341247558594, Train acc: 0.18, Validation acc: 0.15333333333333332, Test acc: 0.15333333333333332
Epoch 5, Loss: 53.3876953125, Train acc: 0.19666666666666666, Validation acc: 0.18, Test acc: 0.13333333333333333
Epoch 6, Loss: 53.298828125, Train acc: 0.21, Validation acc: 0.2, Test acc: 0.14
Epoch 7, Loss: 53.44318389892578, Train acc: 0.23333333333333334, Validation acc: 0.20666666666666667, Test acc: 0.15333333333333332
Epoch 8, Loss: 52.951900482177734, Train acc: 0.2833333333333333, Validation acc: 0.25333333333333335, Test acc: 0.18666666666666668
Epoch 9, Loss: 52.64146423339844, Train acc: 0.2866666666666667, Validation acc: 0.26666666666666666, Test acc: 0.2
Epoch 10, Loss: 52.211769104003906, Train acc: 0.27666666666666667, Validation acc: 0.24, Test acc: 0.18666666666666668
Epoch 11, Loss: 52.080936431884766, Train acc: 0.31666666666666665, Validation acc: 0.22, Test acc: 0.23333333333333334
Epoch 12, Loss: 51.60502243041992, Train acc: 0.2733333333333333, Validation acc: 0.23333333333333334, Test acc: 0.17333333333333334
Epoch 13, Loss: 51.51298904418945, Train acc: 0.26, Validation acc: 0.2, Test acc: 0.16666666666666666
Epoch 14, Loss: 51.41388702392578, Train acc: 0.2966666666666667, Validation acc: 0.23333333333333334, Test acc: 0.22
Epoch 15, Loss: 51.39542770385742, Train acc: 0.31666666666666665, Validation acc: 0.23333333333333334, Test acc: 0.22666666666666666
Epoch 16, Loss: 51.62761688232422, Train acc: 0.25333333333333335, Validation acc: 0.21333333333333335, Test acc: 0.16
Epoch 17, Loss: 51.27751159667969, Train acc: 0.30333333333333334, Validation acc: 0.25333333333333335, Test acc: 0.22
Epoch 18, Loss: 50.87322235107422, Train acc: 0.2966666666666667, Validation acc: 0.22666666666666666, Test acc: 0.2
Epoch 19, Loss: 50.93623733520508, Train acc: 0.2866666666666667, Validation acc: 0.24666666666666667, Test acc: 0.18
Epoch 20, Loss: 50.878662109375, Train acc: 0.3, Validation acc: 0.26, Test acc: 0.22
Epoch 21, Loss: 50.521156311035156, Train acc: 0.3, Validation acc: 0.22, Test acc: 0.22666666666666666
Epoch 22, Loss: 50.58803939819336, Train acc: 0.2966666666666667, Validation acc: 0.24, Test acc: 0.22
Epoch 23, Loss: 50.66909408569336, Train acc: 0.29333333333333333, Validation acc: 0.24, Test acc: 0.21333333333333335
Epoch 24, Loss: 50.757408142089844, Train acc: 0.34, Validation acc: 0.22, Test acc: 0.24666666666666667
Epoch 25, Loss: 50.63423538208008, Train acc: 0.3466666666666667, Validation acc: 0.22, Test acc: 0.24
Epoch 26, Loss: 50.50157928466797, Train acc: 0.30333333333333334, Validation acc: 0.26, Test acc: 0.20666666666666667
Epoch 27, Loss: 50.21591567993164, Train acc: 0.33666666666666667, Validation acc: 0.25333333333333335, Test acc: 0.25333333333333335
Epoch 28, Loss: 50.27873229980469, Train acc: 0.3433333333333333, Validation acc: 0.21333333333333335, Test acc: 0.24666666666666667
Epoch 29, Loss: 50.22767639160156, Train acc: 0.3466666666666667, Validation acc: 0.23333333333333334, Test acc: 0.24666666666666667
Epoch 30, Loss: 50.02157974243164, Train acc: 0.32, Validation acc: 0.24666666666666667, Test acc: 0.24
Epoch 31, Loss: 50.010765075683594, Train acc: 0.33666666666666667, Validation acc: 0.24666666666666667, Test acc: 0.24666666666666667
Epoch 32, Loss: 49.953006744384766, Train acc: 0.31666666666666665, Validation acc: 0.24, Test acc: 0.24
Epoch 33, Loss: 50.46756362915039, Train acc: 0.29333333333333333, Validation acc: 0.23333333333333334, Test acc: 0.18
Epoch 34, Loss: 50.44793701171875, Train acc: 0.3433333333333333, Validation acc: 0.23333333333333334, Test acc: 0.24666666666666667
Epoch 35, Loss: 50.205787658691406, Train acc: 0.3433333333333333, Validation acc: 0.24, Test acc: 0.26
Epoch 36, Loss: 49.96440505981445, Train acc: 0.33, Validation acc: 0.23333333333333334, Test acc: 0.24666666666666667
Epoch 37, Loss: 49.93629837036133, Train acc: 0.3566666666666667, Validation acc: 0.24, Test acc: 0.28
Epoch 38, Loss: 50.183692932128906, Train acc: 0.3333333333333333, Validation acc: 0.2866666666666667, Test acc: 0.24
Epoch 39, Loss: 49.73638153076172, Train acc: 0.31333333333333335, Validation acc: 0.29333333333333333, Test acc: 0.21333333333333335
Epoch 40, Loss: 49.990989685058594, Train acc: 0.35, Validation acc: 0.22, Test acc: 0.24666666666666667
Epoch 41, Loss: 49.467681884765625, Train acc: 0.3566666666666667, Validation acc: 0.25333333333333335, Test acc: 0.26666666666666666
Epoch 42, Loss: 49.63753890991211, Train acc: 0.3566666666666667, Validation acc: 0.24666666666666667, Test acc: 0.25333333333333335
Epoch 43, Loss: 49.81768035888672, Train acc: 0.36666666666666664, Validation acc: 0.29333333333333333, Test acc: 0.28
Epoch 44, Loss: 49.76567840576172, Train acc: 0.34, Validation acc: 0.2866666666666667, Test acc: 0.26
Epoch 45, Loss: 49.28799819946289, Train acc: 0.37, Validation acc: 0.24, Test acc: 0.26666666666666666
Epoch 46, Loss: 49.49016189575195, Train acc: 0.36, Validation acc: 0.2866666666666667, Test acc: 0.30666666666666664
Epoch 47, Loss: 49.11117172241211, Train acc: 0.36, Validation acc: 0.26666666666666666, Test acc: 0.3
Epoch 48, Loss: 49.256343841552734, Train acc: 0.36, Validation acc: 0.2866666666666667, Test acc: 0.29333333333333333
Epoch 49, Loss: 48.909706115722656, Train acc: 0.35333333333333333, Validation acc: 0.26, Test acc: 0.26666666666666666
Epoch 50, Loss: 50.030662536621094, Train acc: 0.37666666666666665, Validation acc: 0.26666666666666666, Test acc: 0.2866666666666667
Epoch 51, Loss: 49.38044357299805, Train acc: 0.3566666666666667, Validation acc: 0.24, Test acc: 0.2866666666666667
Epoch 52, Loss: 48.776065826416016, Train acc: 0.36666666666666664, Validation acc: 0.2733333333333333, Test acc: 0.2866666666666667
Epoch 53, Loss: 48.515926361083984, Train acc: 0.33666666666666667, Validation acc: 0.26, Test acc: 0.24666666666666667
Epoch 54, Loss: 49.16986846923828, Train acc: 0.3566666666666667, Validation acc: 0.24, Test acc: 0.2866666666666667
Epoch 55, Loss: 48.671669006347656, Train acc: 0.3566666666666667, Validation acc: 0.2733333333333333, Test acc: 0.29333333333333333
Epoch 56, Loss: 48.602718353271484, Train acc: 0.39, Validation acc: 0.25333333333333335, Test acc: 0.31333333333333335
Epoch 57, Loss: 48.9614143371582, Train acc: 0.3433333333333333, Validation acc: 0.2733333333333333, Test acc: 0.28
Epoch 58, Loss: 48.516658782958984, Train acc: 0.38333333333333336, Validation acc: 0.24666666666666667, Test acc: 0.30666666666666664
Epoch 59, Loss: 48.5648307800293, Train acc: 0.37333333333333335, Validation acc: 0.2733333333333333, Test acc: 0.2733333333333333
Epoch 60, Loss: 48.19584274291992, Train acc: 0.38333333333333336, Validation acc: 0.25333333333333335, Test acc: 0.30666666666666664
Epoch 61, Loss: 48.00131607055664, Train acc: 0.36333333333333334, Validation acc: 0.26, Test acc: 0.3
Epoch 62, Loss: 48.396522521972656, Train acc: 0.36333333333333334, Validation acc: 0.2866666666666667, Test acc: 0.31333333333333335
Epoch 63, Loss: 48.268592834472656, Train acc: 0.35, Validation acc: 0.24, Test acc: 0.26666666666666666
Epoch 64, Loss: 48.048370361328125, Train acc: 0.37, Validation acc: 0.28, Test acc: 0.32
Epoch 65, Loss: 48.103050231933594, Train acc: 0.36333333333333334, Validation acc: 0.25333333333333335, Test acc: 0.28
Epoch 66, Loss: 47.623291015625, Train acc: 0.4033333333333333, Validation acc: 0.22, Test acc: 0.26666666666666666
