Epoch 1, Loss: 53.89790344238281, Train acc: 0.17333333333333334, Validation acc: 0.17333333333333334, Test acc: 0.13333333333333333
Epoch 2, Loss: 53.79954147338867, Train acc: 0.18, Validation acc: 0.16666666666666666, Test acc: 0.14
Epoch 3, Loss: 53.76499557495117, Train acc: 0.18, Validation acc: 0.16666666666666666, Test acc: 0.14
Epoch 4, Loss: 53.71240997314453, Train acc: 0.18, Validation acc: 0.16666666666666666, Test acc: 0.14
Epoch 5, Loss: 53.667884826660156, Train acc: 0.17666666666666667, Validation acc: 0.19333333333333333, Test acc: 0.12
Epoch 6, Loss: 53.59407043457031, Train acc: 0.16, Validation acc: 0.14666666666666667, Test acc: 0.08
Epoch 7, Loss: 53.53947448730469, Train acc: 0.15666666666666668, Validation acc: 0.16, Test acc: 0.07333333333333333
Epoch 8, Loss: 53.326087951660156, Train acc: 0.16, Validation acc: 0.14666666666666667, Test acc: 0.08666666666666667
Epoch 9, Loss: 53.271175384521484, Train acc: 0.18666666666666668, Validation acc: 0.17333333333333334, Test acc: 0.12666666666666668
Epoch 10, Loss: 53.136924743652344, Train acc: 0.22666666666666666, Validation acc: 0.23333333333333334, Test acc: 0.25333333333333335
Epoch 11, Loss: 52.840450286865234, Train acc: 0.21666666666666667, Validation acc: 0.20666666666666667, Test acc: 0.19333333333333333
Epoch 12, Loss: 52.712860107421875, Train acc: 0.24, Validation acc: 0.22, Test acc: 0.21333333333333335
Epoch 13, Loss: 52.36940383911133, Train acc: 0.26, Validation acc: 0.22666666666666666, Test acc: 0.26666666666666666
Epoch 14, Loss: 52.46105194091797, Train acc: 0.26666666666666666, Validation acc: 0.25333333333333335, Test acc: 0.24
Epoch 15, Loss: 52.058250427246094, Train acc: 0.25666666666666665, Validation acc: 0.22666666666666666, Test acc: 0.24
Epoch 16, Loss: 51.945987701416016, Train acc: 0.2866666666666667, Validation acc: 0.24, Test acc: 0.25333333333333335
Epoch 17, Loss: 51.58820343017578, Train acc: 0.29, Validation acc: 0.21333333333333335, Test acc: 0.24666666666666667
Epoch 18, Loss: 51.29302978515625, Train acc: 0.2833333333333333, Validation acc: 0.23333333333333334, Test acc: 0.26666666666666666
Epoch 19, Loss: 51.25200271606445, Train acc: 0.24666666666666667, Validation acc: 0.20666666666666667, Test acc: 0.26
Epoch 20, Loss: 51.00688552856445, Train acc: 0.29, Validation acc: 0.22666666666666666, Test acc: 0.25333333333333335
Epoch 21, Loss: 51.551116943359375, Train acc: 0.27, Validation acc: 0.22666666666666666, Test acc: 0.24
Epoch 22, Loss: 50.734378814697266, Train acc: 0.27, Validation acc: 0.21333333333333335, Test acc: 0.25333333333333335
Epoch 23, Loss: 50.86582565307617, Train acc: 0.28, Validation acc: 0.23333333333333334, Test acc: 0.29333333333333333
Epoch 24, Loss: 50.8108024597168, Train acc: 0.2966666666666667, Validation acc: 0.24, Test acc: 0.2733333333333333
Epoch 25, Loss: 50.9326286315918, Train acc: 0.3, Validation acc: 0.24666666666666667, Test acc: 0.26
Epoch 26, Loss: 50.61812973022461, Train acc: 0.33, Validation acc: 0.2733333333333333, Test acc: 0.26
Epoch 27, Loss: 51.370582580566406, Train acc: 0.3333333333333333, Validation acc: 0.25333333333333335, Test acc: 0.2866666666666667
Epoch 28, Loss: 50.234291076660156, Train acc: 0.32, Validation acc: 0.2866666666666667, Test acc: 0.26666666666666666
Epoch 29, Loss: 50.3886833190918, Train acc: 0.2966666666666667, Validation acc: 0.28, Test acc: 0.26666666666666666
Epoch 30, Loss: 50.56688690185547, Train acc: 0.3333333333333333, Validation acc: 0.2733333333333333, Test acc: 0.26
Epoch 31, Loss: 50.22840881347656, Train acc: 0.29333333333333333, Validation acc: 0.28, Test acc: 0.26666666666666666
Epoch 32, Loss: 50.11328125, Train acc: 0.33, Validation acc: 0.26666666666666666, Test acc: 0.24
Epoch 33, Loss: 50.69947052001953, Train acc: 0.32666666666666666, Validation acc: 0.26, Test acc: 0.28
Epoch 34, Loss: 50.13014602661133, Train acc: 0.30666666666666664, Validation acc: 0.26666666666666666, Test acc: 0.26
Epoch 35, Loss: 50.39015197753906, Train acc: 0.31, Validation acc: 0.26, Test acc: 0.26666666666666666
Epoch 36, Loss: 50.33518600463867, Train acc: 0.33, Validation acc: 0.24666666666666667, Test acc: 0.25333333333333335
Epoch 37, Loss: 50.27112579345703, Train acc: 0.3233333333333333, Validation acc: 0.2733333333333333, Test acc: 0.28
Epoch 38, Loss: 49.91273880004883, Train acc: 0.33666666666666667, Validation acc: 0.2733333333333333, Test acc: 0.26
Epoch 39, Loss: 49.764808654785156, Train acc: 0.33, Validation acc: 0.26, Test acc: 0.26
Epoch 40, Loss: 49.89451217651367, Train acc: 0.3233333333333333, Validation acc: 0.25333333333333335, Test acc: 0.2733333333333333
Epoch 41, Loss: 49.86806106567383, Train acc: 0.3333333333333333, Validation acc: 0.26, Test acc: 0.2866666666666667
Epoch 42, Loss: 49.97780227661133, Train acc: 0.31, Validation acc: 0.25333333333333335, Test acc: 0.2866666666666667
Epoch 43, Loss: 49.509578704833984, Train acc: 0.3333333333333333, Validation acc: 0.26, Test acc: 0.28
Epoch 44, Loss: 49.59049606323242, Train acc: 0.33, Validation acc: 0.26, Test acc: 0.24
Epoch 45, Loss: 49.62458038330078, Train acc: 0.33, Validation acc: 0.2866666666666667, Test acc: 0.26
Epoch 46, Loss: 48.83881378173828, Train acc: 0.31333333333333335, Validation acc: 0.25333333333333335, Test acc: 0.26
Epoch 47, Loss: 49.495567321777344, Train acc: 0.3333333333333333, Validation acc: 0.2733333333333333, Test acc: 0.25333333333333335
Epoch 48, Loss: 48.97148895263672, Train acc: 0.34, Validation acc: 0.25333333333333335, Test acc: 0.26666666666666666
Epoch 49, Loss: 48.90651321411133, Train acc: 0.3333333333333333, Validation acc: 0.3, Test acc: 0.26666666666666666
Epoch 50, Loss: 48.68418502807617, Train acc: 0.3233333333333333, Validation acc: 0.26, Test acc: 0.28
Epoch 51, Loss: 49.32771682739258, Train acc: 0.3333333333333333, Validation acc: 0.25333333333333335, Test acc: 0.26
