Epoch 1, Loss: 54.27812957763672, Train acc: 0.15666666666666668, Validation acc: 0.14, Test acc: 0.21333333333333335
Epoch 2, Loss: 54.11347961425781, Train acc: 0.15666666666666668, Validation acc: 0.14, Test acc: 0.21333333333333335
Epoch 3, Loss: 53.87520217895508, Train acc: 0.15666666666666668, Validation acc: 0.14, Test acc: 0.21333333333333335
Epoch 4, Loss: 53.80828094482422, Train acc: 0.15666666666666668, Validation acc: 0.14, Test acc: 0.21333333333333335
Epoch 5, Loss: 53.78794860839844, Train acc: 0.20333333333333334, Validation acc: 0.16, Test acc: 0.18
Epoch 6, Loss: 53.66586685180664, Train acc: 0.23333333333333334, Validation acc: 0.18, Test acc: 0.21333333333333335
Epoch 7, Loss: 53.49664306640625, Train acc: 0.23666666666666666, Validation acc: 0.17333333333333334, Test acc: 0.19333333333333333
Epoch 8, Loss: 53.42555618286133, Train acc: 0.22, Validation acc: 0.16, Test acc: 0.18
Epoch 9, Loss: 53.3328742980957, Train acc: 0.25333333333333335, Validation acc: 0.26, Test acc: 0.2
Epoch 10, Loss: 53.10186004638672, Train acc: 0.21333333333333335, Validation acc: 0.18666666666666668, Test acc: 0.18666666666666668
Epoch 11, Loss: 53.07048416137695, Train acc: 0.26, Validation acc: 0.24666666666666667, Test acc: 0.19333333333333333
Epoch 12, Loss: 52.92695999145508, Train acc: 0.22333333333333333, Validation acc: 0.19333333333333333, Test acc: 0.18666666666666668
Epoch 13, Loss: 52.69675827026367, Train acc: 0.25333333333333335, Validation acc: 0.24666666666666667, Test acc: 0.2
Epoch 14, Loss: 52.224876403808594, Train acc: 0.2833333333333333, Validation acc: 0.2733333333333333, Test acc: 0.24
Epoch 15, Loss: 52.012054443359375, Train acc: 0.24666666666666667, Validation acc: 0.22, Test acc: 0.18
Epoch 16, Loss: 51.56024932861328, Train acc: 0.29, Validation acc: 0.28, Test acc: 0.26
Epoch 17, Loss: 51.49659729003906, Train acc: 0.2733333333333333, Validation acc: 0.26, Test acc: 0.20666666666666667
Epoch 18, Loss: 51.13223648071289, Train acc: 0.2833333333333333, Validation acc: 0.2866666666666667, Test acc: 0.24
Epoch 19, Loss: 51.4913330078125, Train acc: 0.2833333333333333, Validation acc: 0.28, Test acc: 0.22
Epoch 20, Loss: 50.80951690673828, Train acc: 0.29, Validation acc: 0.2866666666666667, Test acc: 0.24666666666666667
Epoch 21, Loss: 50.805397033691406, Train acc: 0.27, Validation acc: 0.28, Test acc: 0.2
Epoch 22, Loss: 50.1478157043457, Train acc: 0.2833333333333333, Validation acc: 0.28, Test acc: 0.18666666666666668
Epoch 23, Loss: 50.653221130371094, Train acc: 0.2833333333333333, Validation acc: 0.26666666666666666, Test acc: 0.21333333333333335
Epoch 24, Loss: 50.39256286621094, Train acc: 0.27, Validation acc: 0.25333333333333335, Test acc: 0.2
Epoch 25, Loss: 49.880699157714844, Train acc: 0.31666666666666665, Validation acc: 0.2866666666666667, Test acc: 0.28
Epoch 26, Loss: 49.5152702331543, Train acc: 0.3233333333333333, Validation acc: 0.31333333333333335, Test acc: 0.3
Epoch 27, Loss: 49.54059600830078, Train acc: 0.35, Validation acc: 0.3, Test acc: 0.2733333333333333
Epoch 28, Loss: 49.92814636230469, Train acc: 0.2833333333333333, Validation acc: 0.22666666666666666, Test acc: 0.2733333333333333
Epoch 29, Loss: 49.181785583496094, Train acc: 0.36333333333333334, Validation acc: 0.34, Test acc: 0.3
Epoch 30, Loss: 48.57456588745117, Train acc: 0.3333333333333333, Validation acc: 0.30666666666666664, Test acc: 0.2733333333333333
Epoch 31, Loss: 48.54661560058594, Train acc: 0.36333333333333334, Validation acc: 0.36666666666666664, Test acc: 0.29333333333333333
Epoch 32, Loss: 48.463035583496094, Train acc: 0.32, Validation acc: 0.26666666666666666, Test acc: 0.32
Epoch 33, Loss: 49.14341735839844, Train acc: 0.35333333333333333, Validation acc: 0.32, Test acc: 0.26666666666666666
Epoch 34, Loss: 47.958072662353516, Train acc: 0.36666666666666664, Validation acc: 0.31333333333333335, Test acc: 0.3
Epoch 35, Loss: 47.874324798583984, Train acc: 0.33666666666666667, Validation acc: 0.31333333333333335, Test acc: 0.32
Epoch 36, Loss: 47.74454116821289, Train acc: 0.36666666666666664, Validation acc: 0.34, Test acc: 0.3
Epoch 37, Loss: 47.594032287597656, Train acc: 0.3566666666666667, Validation acc: 0.2733333333333333, Test acc: 0.34
Epoch 38, Loss: 47.302757263183594, Train acc: 0.39, Validation acc: 0.3333333333333333, Test acc: 0.3
Epoch 39, Loss: 48.045875549316406, Train acc: 0.36333333333333334, Validation acc: 0.3333333333333333, Test acc: 0.2866666666666667
Epoch 40, Loss: 46.61186218261719, Train acc: 0.4066666666666667, Validation acc: 0.3333333333333333, Test acc: 0.29333333333333333
Epoch 41, Loss: 47.6700325012207, Train acc: 0.36333333333333334, Validation acc: 0.3333333333333333, Test acc: 0.31333333333333335
Epoch 42, Loss: 47.66030502319336, Train acc: 0.4, Validation acc: 0.29333333333333333, Test acc: 0.3466666666666667
Epoch 43, Loss: 46.92564010620117, Train acc: 0.37333333333333335, Validation acc: 0.3, Test acc: 0.31333333333333335
Epoch 44, Loss: 46.864009857177734, Train acc: 0.39, Validation acc: 0.32, Test acc: 0.31333333333333335
Epoch 45, Loss: 46.73764419555664, Train acc: 0.4, Validation acc: 0.30666666666666664, Test acc: 0.36
Epoch 46, Loss: 46.39219665527344, Train acc: 0.38333333333333336, Validation acc: 0.34, Test acc: 0.34
Epoch 47, Loss: 47.327816009521484, Train acc: 0.4066666666666667, Validation acc: 0.3333333333333333, Test acc: 0.32666666666666666
Epoch 48, Loss: 46.88779067993164, Train acc: 0.37666666666666665, Validation acc: 0.2866666666666667, Test acc: 0.30666666666666664
Epoch 49, Loss: 45.90068817138672, Train acc: 0.39666666666666667, Validation acc: 0.28, Test acc: 0.36
Epoch 50, Loss: 46.7548942565918, Train acc: 0.37, Validation acc: 0.28, Test acc: 0.3466666666666667
Epoch 51, Loss: 47.20930480957031, Train acc: 0.3933333333333333, Validation acc: 0.32, Test acc: 0.29333333333333333
Epoch 52, Loss: 46.360984802246094, Train acc: 0.35333333333333333, Validation acc: 0.22666666666666666, Test acc: 0.37333333333333335
Epoch 53, Loss: 47.19770431518555, Train acc: 0.39, Validation acc: 0.32, Test acc: 0.3333333333333333
Epoch 54, Loss: 45.308467864990234, Train acc: 0.39666666666666667, Validation acc: 0.3, Test acc: 0.30666666666666664
Epoch 55, Loss: 45.82390594482422, Train acc: 0.3933333333333333, Validation acc: 0.2866666666666667, Test acc: 0.3
Epoch 56, Loss: 45.66481399536133, Train acc: 0.43333333333333335, Validation acc: 0.3333333333333333, Test acc: 0.31333333333333335
Epoch 57, Loss: 47.46440124511719, Train acc: 0.3933333333333333, Validation acc: 0.3, Test acc: 0.37333333333333335
Epoch 58, Loss: 46.051513671875, Train acc: 0.4, Validation acc: 0.32666666666666666, Test acc: 0.35333333333333333
Epoch 59, Loss: 45.933719635009766, Train acc: 0.38333333333333336, Validation acc: 0.30666666666666664, Test acc: 0.35333333333333333
Epoch 60, Loss: 46.086368560791016, Train acc: 0.38333333333333336, Validation acc: 0.32, Test acc: 0.34
Epoch 61, Loss: 45.875247955322266, Train acc: 0.41, Validation acc: 0.32666666666666666, Test acc: 0.30666666666666664
Epoch 62, Loss: 45.87384033203125, Train acc: 0.4, Validation acc: 0.3, Test acc: 0.32
Epoch 63, Loss: 45.091583251953125, Train acc: 0.42, Validation acc: 0.3, Test acc: 0.38
Epoch 64, Loss: 45.81345748901367, Train acc: 0.4066666666666667, Validation acc: 0.32, Test acc: 0.36
Epoch 65, Loss: 44.84400939941406, Train acc: 0.38666666666666666, Validation acc: 0.31333333333333335, Test acc: 0.29333333333333333
Epoch 66, Loss: 44.29203414916992, Train acc: 0.42, Validation acc: 0.31333333333333335, Test acc: 0.3466666666666667
Epoch 67, Loss: 45.67133331298828, Train acc: 0.4066666666666667, Validation acc: 0.30666666666666664, Test acc: 0.32666666666666666
Epoch 68, Loss: 45.51019287109375, Train acc: 0.41333333333333333, Validation acc: 0.32, Test acc: 0.31333333333333335
Epoch 69, Loss: 44.31716537475586, Train acc: 0.42, Validation acc: 0.32, Test acc: 0.31333333333333335
Epoch 70, Loss: 45.520389556884766, Train acc: 0.44333333333333336, Validation acc: 0.30666666666666664, Test acc: 0.31333333333333335
Epoch 71, Loss: 45.5882453918457, Train acc: 0.37, Validation acc: 0.3333333333333333, Test acc: 0.2733333333333333
Epoch 72, Loss: 44.73203659057617, Train acc: 0.38333333333333336, Validation acc: 0.3, Test acc: 0.35333333333333333
Epoch 73, Loss: 45.24397277832031, Train acc: 0.38, Validation acc: 0.23333333333333334, Test acc: 0.29333333333333333
Epoch 74, Loss: 45.712093353271484, Train acc: 0.41333333333333333, Validation acc: 0.29333333333333333, Test acc: 0.3
Epoch 75, Loss: 44.93878173828125, Train acc: 0.4066666666666667, Validation acc: 0.3, Test acc: 0.34
Epoch 76, Loss: 45.380897521972656, Train acc: 0.44, Validation acc: 0.3466666666666667, Test acc: 0.37333333333333335
Epoch 77, Loss: 44.746158599853516, Train acc: 0.42, Validation acc: 0.30666666666666664, Test acc: 0.29333333333333333
Epoch 78, Loss: 43.91317367553711, Train acc: 0.4166666666666667, Validation acc: 0.3333333333333333, Test acc: 0.32666666666666666
Epoch 79, Loss: 43.88322830200195, Train acc: 0.42333333333333334, Validation acc: 0.31333333333333335, Test acc: 0.3333333333333333
Epoch 80, Loss: 43.095367431640625, Train acc: 0.4266666666666667, Validation acc: 0.31333333333333335, Test acc: 0.32666666666666666
Epoch 81, Loss: 43.10906982421875, Train acc: 0.42, Validation acc: 0.32, Test acc: 0.3333333333333333
Epoch 82, Loss: 43.60157012939453, Train acc: 0.42333333333333334, Validation acc: 0.31333333333333335, Test acc: 0.3333333333333333
Epoch 83, Loss: 43.78914260864258, Train acc: 0.42, Validation acc: 0.32666666666666666, Test acc: 0.36666666666666664
Epoch 84, Loss: 43.457725524902344, Train acc: 0.4066666666666667, Validation acc: 0.32, Test acc: 0.35333333333333333
Epoch 85, Loss: 43.941261291503906, Train acc: 0.42, Validation acc: 0.31333333333333335, Test acc: 0.3466666666666667
Epoch 86, Loss: 43.97294235229492, Train acc: 0.42333333333333334, Validation acc: 0.31333333333333335, Test acc: 0.34
Epoch 87, Loss: 43.69520950317383, Train acc: 0.42333333333333334, Validation acc: 0.31333333333333335, Test acc: 0.34
Epoch 88, Loss: 43.85600280761719, Train acc: 0.4166666666666667, Validation acc: 0.31333333333333335, Test acc: 0.35333333333333333
Epoch 89, Loss: 43.69938659667969, Train acc: 0.4166666666666667, Validation acc: 0.32666666666666666, Test acc: 0.36
Epoch 90, Loss: 42.86091232299805, Train acc: 0.42333333333333334, Validation acc: 0.30666666666666664, Test acc: 0.34
Epoch 91, Loss: 43.9078369140625, Train acc: 0.41333333333333333, Validation acc: 0.31333333333333335, Test acc: 0.3466666666666667
Epoch 92, Loss: 43.59141159057617, Train acc: 0.4166666666666667, Validation acc: 0.31333333333333335, Test acc: 0.34
Epoch 93, Loss: 43.85932540893555, Train acc: 0.42333333333333334, Validation acc: 0.3, Test acc: 0.3466666666666667
Epoch 94, Loss: 42.759178161621094, Train acc: 0.4166666666666667, Validation acc: 0.3, Test acc: 0.32666666666666666
Epoch 95, Loss: 43.21602249145508, Train acc: 0.44, Validation acc: 0.3, Test acc: 0.3333333333333333
Epoch 96, Loss: 42.961605072021484, Train acc: 0.43666666666666665, Validation acc: 0.31333333333333335, Test acc: 0.36
Epoch 97, Loss: 42.832542419433594, Train acc: 0.4266666666666667, Validation acc: 0.32, Test acc: 0.36666666666666664
Epoch 98, Loss: 42.53363800048828, Train acc: 0.4266666666666667, Validation acc: 0.30666666666666664, Test acc: 0.36
Epoch 99, Loss: 43.57350158691406, Train acc: 0.4266666666666667, Validation acc: 0.30666666666666664, Test acc: 0.34
