Epoch 1, Loss: 54.16625213623047, Train acc: 0.16333333333333333, Validation acc: 0.18, Test acc: 0.16
Epoch 2, Loss: 53.9952278137207, Train acc: 0.16333333333333333, Validation acc: 0.18, Test acc: 0.16
Epoch 3, Loss: 53.90345764160156, Train acc: 0.16333333333333333, Validation acc: 0.18, Test acc: 0.16
Epoch 4, Loss: 53.8439826965332, Train acc: 0.16333333333333333, Validation acc: 0.18, Test acc: 0.16
Epoch 5, Loss: 53.7403450012207, Train acc: 0.16333333333333333, Validation acc: 0.18, Test acc: 0.16
Epoch 6, Loss: 53.5662727355957, Train acc: 0.16666666666666666, Validation acc: 0.13333333333333333, Test acc: 0.14666666666666667
Epoch 7, Loss: 53.60890579223633, Train acc: 0.22, Validation acc: 0.22666666666666666, Test acc: 0.22666666666666666
Epoch 8, Loss: 53.46250534057617, Train acc: 0.19, Validation acc: 0.17333333333333334, Test acc: 0.19333333333333333
Epoch 9, Loss: 53.15191650390625, Train acc: 0.19, Validation acc: 0.24666666666666667, Test acc: 0.18666666666666668
Epoch 10, Loss: 52.842689514160156, Train acc: 0.16333333333333333, Validation acc: 0.13333333333333333, Test acc: 0.11333333333333333
Epoch 11, Loss: 52.594207763671875, Train acc: 0.19333333333333333, Validation acc: 0.22666666666666666, Test acc: 0.2
Epoch 12, Loss: 52.26313400268555, Train acc: 0.21666666666666667, Validation acc: 0.23333333333333334, Test acc: 0.19333333333333333
Epoch 13, Loss: 52.25815200805664, Train acc: 0.21333333333333335, Validation acc: 0.24, Test acc: 0.18666666666666668
Epoch 14, Loss: 52.15468215942383, Train acc: 0.23333333333333334, Validation acc: 0.22666666666666666, Test acc: 0.20666666666666667
Epoch 15, Loss: 52.02157211303711, Train acc: 0.19, Validation acc: 0.16, Test acc: 0.17333333333333334
Epoch 16, Loss: 51.80063247680664, Train acc: 0.23, Validation acc: 0.20666666666666667, Test acc: 0.22
Epoch 17, Loss: 52.001304626464844, Train acc: 0.27, Validation acc: 0.26, Test acc: 0.26666666666666666
Epoch 18, Loss: 51.864891052246094, Train acc: 0.21333333333333335, Validation acc: 0.22666666666666666, Test acc: 0.22666666666666666
Epoch 19, Loss: 51.49563980102539, Train acc: 0.25666666666666665, Validation acc: 0.26666666666666666, Test acc: 0.26
Epoch 20, Loss: 51.47242736816406, Train acc: 0.23666666666666666, Validation acc: 0.21333333333333335, Test acc: 0.23333333333333334
Epoch 21, Loss: 50.96623992919922, Train acc: 0.23666666666666666, Validation acc: 0.28, Test acc: 0.24666666666666667
Epoch 22, Loss: 50.90727996826172, Train acc: 0.31333333333333335, Validation acc: 0.2733333333333333, Test acc: 0.28
Epoch 23, Loss: 51.008872985839844, Train acc: 0.29333333333333333, Validation acc: 0.28, Test acc: 0.28
Epoch 24, Loss: 50.60108947753906, Train acc: 0.25666666666666665, Validation acc: 0.26, Test acc: 0.26666666666666666
Epoch 25, Loss: 50.783241271972656, Train acc: 0.27666666666666667, Validation acc: 0.28, Test acc: 0.28
Epoch 26, Loss: 50.492679595947266, Train acc: 0.29, Validation acc: 0.29333333333333333, Test acc: 0.3
Epoch 27, Loss: 50.10751724243164, Train acc: 0.2833333333333333, Validation acc: 0.29333333333333333, Test acc: 0.28
Epoch 28, Loss: 50.077823638916016, Train acc: 0.31, Validation acc: 0.2866666666666667, Test acc: 0.2733333333333333
Epoch 29, Loss: 49.291690826416016, Train acc: 0.32, Validation acc: 0.3333333333333333, Test acc: 0.28
Epoch 30, Loss: 50.262454986572266, Train acc: 0.3, Validation acc: 0.28, Test acc: 0.31333333333333335
Epoch 31, Loss: 49.18976974487305, Train acc: 0.3333333333333333, Validation acc: 0.29333333333333333, Test acc: 0.26
Epoch 32, Loss: 49.84638214111328, Train acc: 0.32666666666666666, Validation acc: 0.2866666666666667, Test acc: 0.26
Epoch 33, Loss: 49.58138656616211, Train acc: 0.2833333333333333, Validation acc: 0.26666666666666666, Test acc: 0.25333333333333335
Epoch 34, Loss: 49.94977951049805, Train acc: 0.34, Validation acc: 0.2866666666666667, Test acc: 0.3
Epoch 35, Loss: 49.424495697021484, Train acc: 0.3233333333333333, Validation acc: 0.31333333333333335, Test acc: 0.29333333333333333
Epoch 36, Loss: 49.08787155151367, Train acc: 0.35333333333333333, Validation acc: 0.32666666666666666, Test acc: 0.3
Epoch 37, Loss: 49.4006233215332, Train acc: 0.35, Validation acc: 0.28, Test acc: 0.29333333333333333
Epoch 38, Loss: 48.0218620300293, Train acc: 0.3233333333333333, Validation acc: 0.23333333333333334, Test acc: 0.24
Epoch 39, Loss: 49.00410079956055, Train acc: 0.35333333333333333, Validation acc: 0.2866666666666667, Test acc: 0.32
Epoch 40, Loss: 49.25479507446289, Train acc: 0.34, Validation acc: 0.2866666666666667, Test acc: 0.31333333333333335
Epoch 41, Loss: 48.9778938293457, Train acc: 0.32, Validation acc: 0.3, Test acc: 0.26
Epoch 42, Loss: 49.2599983215332, Train acc: 0.35333333333333333, Validation acc: 0.26666666666666666, Test acc: 0.28
Epoch 43, Loss: 48.355072021484375, Train acc: 0.35, Validation acc: 0.34, Test acc: 0.2866666666666667
Epoch 44, Loss: 48.726036071777344, Train acc: 0.2733333333333333, Validation acc: 0.3, Test acc: 0.28
Epoch 45, Loss: 49.376121520996094, Train acc: 0.31, Validation acc: 0.3333333333333333, Test acc: 0.30666666666666664
Epoch 46, Loss: 48.74996566772461, Train acc: 0.33, Validation acc: 0.28, Test acc: 0.2733333333333333
Epoch 47, Loss: 48.9009895324707, Train acc: 0.37, Validation acc: 0.2866666666666667, Test acc: 0.30666666666666664
Epoch 48, Loss: 48.191253662109375, Train acc: 0.35333333333333333, Validation acc: 0.3466666666666667, Test acc: 0.3
Epoch 49, Loss: 48.63380813598633, Train acc: 0.36333333333333334, Validation acc: 0.31333333333333335, Test acc: 0.30666666666666664
Epoch 50, Loss: 47.33842468261719, Train acc: 0.37, Validation acc: 0.3, Test acc: 0.3
Epoch 51, Loss: 46.845645904541016, Train acc: 0.37, Validation acc: 0.3, Test acc: 0.30666666666666664
Epoch 52, Loss: 47.83077621459961, Train acc: 0.37333333333333335, Validation acc: 0.31333333333333335, Test acc: 0.3
Epoch 53, Loss: 47.25337219238281, Train acc: 0.36333333333333334, Validation acc: 0.32666666666666666, Test acc: 0.2866666666666667
Epoch 54, Loss: 47.60814666748047, Train acc: 0.35333333333333333, Validation acc: 0.32666666666666666, Test acc: 0.2866666666666667
Epoch 55, Loss: 47.25170135498047, Train acc: 0.37333333333333335, Validation acc: 0.34, Test acc: 0.2866666666666667
Epoch 56, Loss: 47.29691696166992, Train acc: 0.36666666666666664, Validation acc: 0.34, Test acc: 0.29333333333333333
Epoch 57, Loss: 47.563819885253906, Train acc: 0.37333333333333335, Validation acc: 0.3333333333333333, Test acc: 0.3
Epoch 58, Loss: 48.03703689575195, Train acc: 0.3566666666666667, Validation acc: 0.3333333333333333, Test acc: 0.2866666666666667
Epoch 59, Loss: 47.0699348449707, Train acc: 0.3566666666666667, Validation acc: 0.34, Test acc: 0.2866666666666667
Epoch 60, Loss: 47.13386917114258, Train acc: 0.37333333333333335, Validation acc: 0.32666666666666666, Test acc: 0.29333333333333333
Epoch 61, Loss: 47.26345443725586, Train acc: 0.36, Validation acc: 0.32666666666666666, Test acc: 0.3
Epoch 62, Loss: 47.53443908691406, Train acc: 0.35333333333333333, Validation acc: 0.32, Test acc: 0.29333333333333333
Epoch 63, Loss: 46.99638748168945, Train acc: 0.3566666666666667, Validation acc: 0.32, Test acc: 0.29333333333333333
Epoch 64, Loss: 47.07787322998047, Train acc: 0.3566666666666667, Validation acc: 0.32, Test acc: 0.29333333333333333
Epoch 65, Loss: 46.822750091552734, Train acc: 0.3566666666666667, Validation acc: 0.32, Test acc: 0.29333333333333333
Epoch 66, Loss: 47.03822326660156, Train acc: 0.3566666666666667, Validation acc: 0.32666666666666666, Test acc: 0.3
Epoch 67, Loss: 47.382877349853516, Train acc: 0.3566666666666667, Validation acc: 0.32, Test acc: 0.29333333333333333
Epoch 68, Loss: 46.60676193237305, Train acc: 0.3566666666666667, Validation acc: 0.32666666666666666, Test acc: 0.3
Epoch 69, Loss: 46.99272537231445, Train acc: 0.36, Validation acc: 0.32666666666666666, Test acc: 0.3
Epoch 70, Loss: 47.579246520996094, Train acc: 0.3566666666666667, Validation acc: 0.32666666666666666, Test acc: 0.3
Epoch 71, Loss: 47.3160400390625, Train acc: 0.3566666666666667, Validation acc: 0.32666666666666666, Test acc: 0.3
Epoch 72, Loss: 47.33921813964844, Train acc: 0.3566666666666667, Validation acc: 0.32666666666666666, Test acc: 0.3
Epoch 73, Loss: 47.33362579345703, Train acc: 0.36, Validation acc: 0.32666666666666666, Test acc: 0.3
Epoch 74, Loss: 47.23533630371094, Train acc: 0.36, Validation acc: 0.32666666666666666, Test acc: 0.3
Epoch 75, Loss: 47.66676330566406, Train acc: 0.36, Validation acc: 0.32666666666666666, Test acc: 0.3
Epoch 76, Loss: 47.2628059387207, Train acc: 0.3566666666666667, Validation acc: 0.32666666666666666, Test acc: 0.3
Epoch 77, Loss: 47.00701141357422, Train acc: 0.36, Validation acc: 0.32666666666666666, Test acc: 0.3
Epoch 78, Loss: 47.084693908691406, Train acc: 0.36, Validation acc: 0.32666666666666666, Test acc: 0.3
Epoch 79, Loss: 46.98020553588867, Train acc: 0.36, Validation acc: 0.32666666666666666, Test acc: 0.3
Epoch 80, Loss: 47.437522888183594, Train acc: 0.36, Validation acc: 0.32666666666666666, Test acc: 0.3
Epoch 81, Loss: 47.16181564331055, Train acc: 0.36, Validation acc: 0.32666666666666666, Test acc: 0.3
Epoch 82, Loss: 47.1397819519043, Train acc: 0.36, Validation acc: 0.32666666666666666, Test acc: 0.3
Epoch 83, Loss: 47.11124038696289, Train acc: 0.36, Validation acc: 0.32666666666666666, Test acc: 0.3
Epoch 84, Loss: 47.26945495605469, Train acc: 0.36, Validation acc: 0.32666666666666666, Test acc: 0.3
Epoch 85, Loss: 47.01377487182617, Train acc: 0.36, Validation acc: 0.32666666666666666, Test acc: 0.3
Epoch 86, Loss: 47.404823303222656, Train acc: 0.36, Validation acc: 0.32666666666666666, Test acc: 0.3
Epoch 87, Loss: 47.195777893066406, Train acc: 0.36, Validation acc: 0.32666666666666666, Test acc: 0.3
Epoch 88, Loss: 47.66120910644531, Train acc: 0.36, Validation acc: 0.32666666666666666, Test acc: 0.3
Epoch 89, Loss: 47.119224548339844, Train acc: 0.36, Validation acc: 0.32666666666666666, Test acc: 0.3
Epoch 90, Loss: 47.367427825927734, Train acc: 0.36, Validation acc: 0.32666666666666666, Test acc: 0.3
Epoch 91, Loss: 47.04432678222656, Train acc: 0.36, Validation acc: 0.32666666666666666, Test acc: 0.3
Epoch 92, Loss: 46.79376983642578, Train acc: 0.36, Validation acc: 0.32666666666666666, Test acc: 0.3
Epoch 93, Loss: 47.04136657714844, Train acc: 0.36, Validation acc: 0.32666666666666666, Test acc: 0.3
Epoch 94, Loss: 46.92156219482422, Train acc: 0.36, Validation acc: 0.32666666666666666, Test acc: 0.3
Epoch 95, Loss: 46.729801177978516, Train acc: 0.36, Validation acc: 0.32666666666666666, Test acc: 0.3
Epoch 96, Loss: 47.495513916015625, Train acc: 0.36, Validation acc: 0.32666666666666666, Test acc: 0.3
Epoch 97, Loss: 47.23065948486328, Train acc: 0.36, Validation acc: 0.32666666666666666, Test acc: 0.3
Epoch 98, Loss: 47.219486236572266, Train acc: 0.36, Validation acc: 0.32666666666666666, Test acc: 0.3
Epoch 99, Loss: 47.4469108581543, Train acc: 0.36, Validation acc: 0.32666666666666666, Test acc: 0.3
Epoch 100, Loss: 47.25053405761719, Train acc: 0.36, Validation acc: 0.32666666666666666, Test acc: 0.3
Epoch 101, Loss: 46.96199417114258, Train acc: 0.36, Validation acc: 0.32666666666666666, Test acc: 0.3
Epoch 102, Loss: 47.245758056640625, Train acc: 0.36, Validation acc: 0.32666666666666666, Test acc: 0.3
Epoch 103, Loss: 46.93795394897461, Train acc: 0.36, Validation acc: 0.32666666666666666, Test acc: 0.3
Epoch 104, Loss: 47.67219924926758, Train acc: 0.36, Validation acc: 0.32666666666666666, Test acc: 0.3
Epoch 105, Loss: 47.85315704345703, Train acc: 0.36, Validation acc: 0.32666666666666666, Test acc: 0.3
Epoch 106, Loss: 47.2291374206543, Train acc: 0.36, Validation acc: 0.32666666666666666, Test acc: 0.3
Epoch 107, Loss: 46.99381637573242, Train acc: 0.36, Validation acc: 0.32666666666666666, Test acc: 0.3
Epoch 108, Loss: 46.807437896728516, Train acc: 0.36, Validation acc: 0.32666666666666666, Test acc: 0.3
Epoch 109, Loss: 47.26438522338867, Train acc: 0.36, Validation acc: 0.32666666666666666, Test acc: 0.3
Epoch 110, Loss: 47.2812385559082, Train acc: 0.36, Validation acc: 0.32666666666666666, Test acc: 0.3
