Epoch 1, Loss: 54.275394439697266, Train acc: 0.17, Validation acc: 0.14, Test acc: 0.18666666666666668
Epoch 2, Loss: 54.116127014160156, Train acc: 0.17, Validation acc: 0.14, Test acc: 0.18666666666666668
Epoch 3, Loss: 54.00624465942383, Train acc: 0.17, Validation acc: 0.14, Test acc: 0.18666666666666668
Epoch 4, Loss: 53.90669250488281, Train acc: 0.17, Validation acc: 0.14, Test acc: 0.18666666666666668
Epoch 5, Loss: 53.823123931884766, Train acc: 0.17, Validation acc: 0.14, Test acc: 0.18666666666666668
Epoch 6, Loss: 53.70409393310547, Train acc: 0.21333333333333335, Validation acc: 0.16666666666666666, Test acc: 0.17333333333333334
Epoch 7, Loss: 53.45703125, Train acc: 0.25, Validation acc: 0.18, Test acc: 0.20666666666666667
Epoch 8, Loss: 53.071598052978516, Train acc: 0.24, Validation acc: 0.18666666666666668, Test acc: 0.18666666666666668
Epoch 9, Loss: 52.82433319091797, Train acc: 0.24333333333333335, Validation acc: 0.17333333333333334, Test acc: 0.2
Epoch 10, Loss: 52.82371139526367, Train acc: 0.26, Validation acc: 0.18666666666666668, Test acc: 0.2
Epoch 11, Loss: 52.310218811035156, Train acc: 0.25333333333333335, Validation acc: 0.17333333333333334, Test acc: 0.19333333333333333
Epoch 12, Loss: 52.319847106933594, Train acc: 0.25333333333333335, Validation acc: 0.16666666666666666, Test acc: 0.19333333333333333
Epoch 13, Loss: 51.97840118408203, Train acc: 0.24666666666666667, Validation acc: 0.16, Test acc: 0.17333333333333334
Epoch 14, Loss: 52.245338439941406, Train acc: 0.24666666666666667, Validation acc: 0.18666666666666668, Test acc: 0.2
Epoch 15, Loss: 51.86066436767578, Train acc: 0.25333333333333335, Validation acc: 0.18, Test acc: 0.21333333333333335
Epoch 16, Loss: 51.78871154785156, Train acc: 0.2833333333333333, Validation acc: 0.18, Test acc: 0.22
Epoch 17, Loss: 51.580623626708984, Train acc: 0.2866666666666667, Validation acc: 0.18, Test acc: 0.24
Epoch 18, Loss: 51.766082763671875, Train acc: 0.2833333333333333, Validation acc: 0.2, Test acc: 0.22
Epoch 19, Loss: 52.367191314697266, Train acc: 0.27666666666666667, Validation acc: 0.2, Test acc: 0.22666666666666666
Epoch 20, Loss: 51.710453033447266, Train acc: 0.28, Validation acc: 0.18666666666666668, Test acc: 0.25333333333333335
Epoch 21, Loss: 51.445777893066406, Train acc: 0.2733333333333333, Validation acc: 0.18, Test acc: 0.25333333333333335
Epoch 22, Loss: 51.57719421386719, Train acc: 0.2833333333333333, Validation acc: 0.19333333333333333, Test acc: 0.24
Epoch 23, Loss: 51.19454574584961, Train acc: 0.25666666666666665, Validation acc: 0.2, Test acc: 0.24
Epoch 24, Loss: 51.482383728027344, Train acc: 0.2733333333333333, Validation acc: 0.2, Test acc: 0.22
Epoch 25, Loss: 51.454833984375, Train acc: 0.28, Validation acc: 0.20666666666666667, Test acc: 0.26666666666666666
Epoch 26, Loss: 51.241981506347656, Train acc: 0.2833333333333333, Validation acc: 0.18666666666666668, Test acc: 0.24666666666666667
Epoch 27, Loss: 51.298439025878906, Train acc: 0.28, Validation acc: 0.19333333333333333, Test acc: 0.25333333333333335
Epoch 28, Loss: 51.34377670288086, Train acc: 0.28, Validation acc: 0.22, Test acc: 0.25333333333333335
Epoch 29, Loss: 51.30294418334961, Train acc: 0.2733333333333333, Validation acc: 0.18666666666666668, Test acc: 0.24666666666666667
Epoch 30, Loss: 51.241878509521484, Train acc: 0.28, Validation acc: 0.19333333333333333, Test acc: 0.24666666666666667
Epoch 31, Loss: 51.37509536743164, Train acc: 0.2733333333333333, Validation acc: 0.18, Test acc: 0.24666666666666667
Epoch 32, Loss: 51.28401184082031, Train acc: 0.2733333333333333, Validation acc: 0.2, Test acc: 0.24
Epoch 33, Loss: 51.116355895996094, Train acc: 0.27, Validation acc: 0.2, Test acc: 0.23333333333333334
Epoch 34, Loss: 50.9969367980957, Train acc: 0.28, Validation acc: 0.19333333333333333, Test acc: 0.25333333333333335
Epoch 35, Loss: 51.00133514404297, Train acc: 0.2633333333333333, Validation acc: 0.20666666666666667, Test acc: 0.23333333333333334
Epoch 36, Loss: 51.10756301879883, Train acc: 0.26666666666666666, Validation acc: 0.19333333333333333, Test acc: 0.24666666666666667
Epoch 37, Loss: 51.05725860595703, Train acc: 0.27666666666666667, Validation acc: 0.18666666666666668, Test acc: 0.24666666666666667
Epoch 38, Loss: 51.05025863647461, Train acc: 0.2733333333333333, Validation acc: 0.21333333333333335, Test acc: 0.25333333333333335
Epoch 39, Loss: 50.949947357177734, Train acc: 0.27666666666666667, Validation acc: 0.18666666666666668, Test acc: 0.24666666666666667
Epoch 40, Loss: 51.00414276123047, Train acc: 0.27666666666666667, Validation acc: 0.21333333333333335, Test acc: 0.25333333333333335
Epoch 41, Loss: 50.91313552856445, Train acc: 0.27666666666666667, Validation acc: 0.18666666666666668, Test acc: 0.25333333333333335
Epoch 42, Loss: 51.114097595214844, Train acc: 0.27666666666666667, Validation acc: 0.19333333333333333, Test acc: 0.24666666666666667
Epoch 43, Loss: 50.90291976928711, Train acc: 0.27666666666666667, Validation acc: 0.19333333333333333, Test acc: 0.24666666666666667
Epoch 44, Loss: 50.75346374511719, Train acc: 0.28, Validation acc: 0.21333333333333335, Test acc: 0.24666666666666667
Epoch 45, Loss: 50.82387161254883, Train acc: 0.28, Validation acc: 0.20666666666666667, Test acc: 0.25333333333333335
Epoch 46, Loss: 50.3896484375, Train acc: 0.2833333333333333, Validation acc: 0.2, Test acc: 0.24
Epoch 47, Loss: 50.67478942871094, Train acc: 0.27666666666666667, Validation acc: 0.2, Test acc: 0.24
Epoch 48, Loss: 50.384178161621094, Train acc: 0.2733333333333333, Validation acc: 0.20666666666666667, Test acc: 0.22666666666666666
Epoch 49, Loss: 50.22810363769531, Train acc: 0.29333333333333333, Validation acc: 0.21333333333333335, Test acc: 0.24666666666666667
Epoch 50, Loss: 50.344844818115234, Train acc: 0.3, Validation acc: 0.2, Test acc: 0.25333333333333335
Epoch 51, Loss: 49.9319953918457, Train acc: 0.2866666666666667, Validation acc: 0.20666666666666667, Test acc: 0.25333333333333335
Epoch 52, Loss: 50.108367919921875, Train acc: 0.2833333333333333, Validation acc: 0.20666666666666667, Test acc: 0.23333333333333334
