Epoch 1, Loss: 38.286190032958984, Train acc: 0.5701438848920863, Validation acc: 0.6115107913669064, Test acc: 0.6308243727598566
Epoch 2, Loss: 37.36870574951172, Train acc: 0.6438848920863309, Validation acc: 0.6690647482014388, Test acc: 0.6559139784946236
Epoch 3, Loss: 35.698570251464844, Train acc: 0.6312949640287769, Validation acc: 0.6330935251798561, Test acc: 0.6415770609318996
Epoch 4, Loss: 34.42549514770508, Train acc: 0.7338129496402878, Validation acc: 0.7410071942446043, Test acc: 0.7275985663082437
Epoch 5, Loss: 33.371864318847656, Train acc: 0.7122302158273381, Validation acc: 0.7302158273381295, Test acc: 0.7204301075268817
Epoch 6, Loss: 33.24664306640625, Train acc: 0.7212230215827338, Validation acc: 0.7410071942446043, Test acc: 0.7168458781362007
Epoch 7, Loss: 32.53993606567383, Train acc: 0.7194244604316546, Validation acc: 0.7122302158273381, Test acc: 0.7025089605734767
Epoch 8, Loss: 32.416603088378906, Train acc: 0.7248201438848921, Validation acc: 0.7410071942446043, Test acc: 0.7275985663082437
Epoch 9, Loss: 32.56473922729492, Train acc: 0.7230215827338129, Validation acc: 0.7158273381294964, Test acc: 0.7204301075268817
Epoch 10, Loss: 32.188560485839844, Train acc: 0.7320143884892086, Validation acc: 0.7266187050359713, Test acc: 0.7240143369175627
Epoch 11, Loss: 32.75478744506836, Train acc: 0.7248201438848921, Validation acc: 0.7338129496402878, Test acc: 0.7096774193548387
Epoch 12, Loss: 31.726634979248047, Train acc: 0.6996402877697842, Validation acc: 0.6870503597122302, Test acc: 0.7311827956989247
Epoch 13, Loss: 32.351444244384766, Train acc: 0.6870503597122302, Validation acc: 0.6798561151079137, Test acc: 0.6845878136200717
Epoch 14, Loss: 33.04448699951172, Train acc: 0.7248201438848921, Validation acc: 0.7446043165467626, Test acc: 0.7311827956989247
Epoch 15, Loss: 32.39368438720703, Train acc: 0.7230215827338129, Validation acc: 0.7230215827338129, Test acc: 0.7168458781362007
Epoch 16, Loss: 32.04264831542969, Train acc: 0.7248201438848921, Validation acc: 0.7194244604316546, Test acc: 0.7204301075268817
Epoch 17, Loss: 31.910818099975586, Train acc: 0.7194244604316546, Validation acc: 0.7266187050359713, Test acc: 0.7204301075268817
Epoch 18, Loss: 31.97638511657715, Train acc: 0.7266187050359713, Validation acc: 0.737410071942446, Test acc: 0.7240143369175627
Epoch 19, Loss: 32.037742614746094, Train acc: 0.7212230215827338, Validation acc: 0.7338129496402878, Test acc: 0.7275985663082437
Epoch 20, Loss: 32.7872314453125, Train acc: 0.6996402877697842, Validation acc: 0.6834532374100719, Test acc: 0.7132616487455197
Epoch 21, Loss: 32.495323181152344, Train acc: 0.7122302158273381, Validation acc: 0.7230215827338129, Test acc: 0.7168458781362007
Epoch 22, Loss: 31.96125030517578, Train acc: 0.7230215827338129, Validation acc: 0.7266187050359713, Test acc: 0.7132616487455197
Epoch 23, Loss: 31.853553771972656, Train acc: 0.7284172661870504, Validation acc: 0.7302158273381295, Test acc: 0.7383512544802867
Epoch 24, Loss: 31.116971969604492, Train acc: 0.7266187050359713, Validation acc: 0.7338129496402878, Test acc: 0.7311827956989247
Epoch 25, Loss: 31.465818405151367, Train acc: 0.7284172661870504, Validation acc: 0.7302158273381295, Test acc: 0.7168458781362007
Epoch 26, Loss: 31.598581314086914, Train acc: 0.7284172661870504, Validation acc: 0.7302158273381295, Test acc: 0.7240143369175627
Epoch 27, Loss: 31.561447143554688, Train acc: 0.7266187050359713, Validation acc: 0.7302158273381295, Test acc: 0.7275985663082437
Epoch 28, Loss: 31.252639770507812, Train acc: 0.7266187050359713, Validation acc: 0.7338129496402878, Test acc: 0.7240143369175627
Epoch 29, Loss: 30.91037940979004, Train acc: 0.7302158273381295, Validation acc: 0.7338129496402878, Test acc: 0.7240143369175627
Epoch 30, Loss: 30.870922088623047, Train acc: 0.7266187050359713, Validation acc: 0.7338129496402878, Test acc: 0.7204301075268817
Epoch 31, Loss: 31.273366928100586, Train acc: 0.7266187050359713, Validation acc: 0.7338129496402878, Test acc: 0.7240143369175627
Epoch 32, Loss: 31.438720703125, Train acc: 0.7284172661870504, Validation acc: 0.7302158273381295, Test acc: 0.7275985663082437
Epoch 33, Loss: 31.105792999267578, Train acc: 0.7266187050359713, Validation acc: 0.7338129496402878, Test acc: 0.7240143369175627
Epoch 34, Loss: 31.686729431152344, Train acc: 0.7230215827338129, Validation acc: 0.7338129496402878, Test acc: 0.7204301075268817
Epoch 35, Loss: 30.9290828704834, Train acc: 0.7266187050359713, Validation acc: 0.7302158273381295, Test acc: 0.7204301075268817
Epoch 36, Loss: 31.43356704711914, Train acc: 0.7266187050359713, Validation acc: 0.7338129496402878, Test acc: 0.7204301075268817
Epoch 37, Loss: 31.297256469726562, Train acc: 0.7284172661870504, Validation acc: 0.7302158273381295, Test acc: 0.7240143369175627
