Epoch 1, Loss: 38.80173110961914, Train acc: 0.591726618705036, Validation acc: 0.5971223021582733, Test acc: 0.6021505376344086
Epoch 2, Loss: 37.929012298583984, Train acc: 0.591726618705036, Validation acc: 0.5971223021582733, Test acc: 0.6021505376344086
Epoch 3, Loss: 37.67570495605469, Train acc: 0.6115107913669064, Validation acc: 0.6223021582733813, Test acc: 0.6093189964157706
Epoch 4, Loss: 36.55335998535156, Train acc: 0.6618705035971223, Validation acc: 0.6618705035971223, Test acc: 0.6308243727598566
Epoch 5, Loss: 35.399715423583984, Train acc: 0.685251798561151, Validation acc: 0.7266187050359713, Test acc: 0.6810035842293907
Epoch 6, Loss: 35.56101608276367, Train acc: 0.6798561151079137, Validation acc: 0.7158273381294964, Test acc: 0.6738351254480287
Epoch 7, Loss: 33.85728454589844, Train acc: 0.6960431654676259, Validation acc: 0.7302158273381295, Test acc: 0.6594982078853047
Epoch 8, Loss: 33.89950180053711, Train acc: 0.7032374100719424, Validation acc: 0.7050359712230215, Test acc: 0.6702508960573477
Epoch 9, Loss: 33.89888381958008, Train acc: 0.7212230215827338, Validation acc: 0.7302158273381295, Test acc: 0.6738351254480287
Epoch 10, Loss: 32.86577224731445, Train acc: 0.6996402877697842, Validation acc: 0.7266187050359713, Test acc: 0.6702508960573477
Epoch 11, Loss: 33.475982666015625, Train acc: 0.6906474820143885, Validation acc: 0.7302158273381295, Test acc: 0.6630824372759857
Epoch 12, Loss: 32.73399353027344, Train acc: 0.7230215827338129, Validation acc: 0.7553956834532374, Test acc: 0.6989247311827957
Epoch 13, Loss: 32.76076889038086, Train acc: 0.7266187050359713, Validation acc: 0.7589928057553957, Test acc: 0.7060931899641577
Epoch 14, Loss: 32.25354766845703, Train acc: 0.6870503597122302, Validation acc: 0.6870503597122302, Test acc: 0.6379928315412187
Epoch 15, Loss: 32.67612075805664, Train acc: 0.7068345323741008, Validation acc: 0.7482014388489209, Test acc: 0.6881720430107527
Epoch 16, Loss: 32.56545639038086, Train acc: 0.7230215827338129, Validation acc: 0.7589928057553957, Test acc: 0.6989247311827957
Epoch 17, Loss: 31.46923828125, Train acc: 0.6888489208633094, Validation acc: 0.7230215827338129, Test acc: 0.6810035842293907
Epoch 18, Loss: 32.15354919433594, Train acc: 0.7302158273381295, Validation acc: 0.7517985611510791, Test acc: 0.7096774193548387
Epoch 19, Loss: 32.621517181396484, Train acc: 0.7266187050359713, Validation acc: 0.7589928057553957, Test acc: 0.6917562724014337
Epoch 20, Loss: 32.52012252807617, Train acc: 0.7014388489208633, Validation acc: 0.7338129496402878, Test acc: 0.6630824372759857
Epoch 21, Loss: 31.977014541625977, Train acc: 0.7158273381294964, Validation acc: 0.7517985611510791, Test acc: 0.6881720430107527
Epoch 22, Loss: 31.814767837524414, Train acc: 0.6834532374100719, Validation acc: 0.7230215827338129, Test acc: 0.6630824372759857
Epoch 23, Loss: 32.12289810180664, Train acc: 0.7176258992805755, Validation acc: 0.762589928057554, Test acc: 0.6917562724014337
Epoch 24, Loss: 32.20174789428711, Train acc: 0.7122302158273381, Validation acc: 0.7697841726618705, Test acc: 0.6845878136200717
Epoch 25, Loss: 31.95844841003418, Train acc: 0.7194244604316546, Validation acc: 0.7517985611510791, Test acc: 0.7025089605734767
Epoch 26, Loss: 32.16596603393555, Train acc: 0.710431654676259, Validation acc: 0.7589928057553957, Test acc: 0.7096774193548387
Epoch 27, Loss: 32.421199798583984, Train acc: 0.710431654676259, Validation acc: 0.7589928057553957, Test acc: 0.6845878136200717
Epoch 28, Loss: 31.5919189453125, Train acc: 0.6834532374100719, Validation acc: 0.7014388489208633, Test acc: 0.6738351254480287
Epoch 29, Loss: 31.761810302734375, Train acc: 0.7248201438848921, Validation acc: 0.7661870503597122, Test acc: 0.7204301075268817
Epoch 30, Loss: 31.121929168701172, Train acc: 0.7212230215827338, Validation acc: 0.7661870503597122, Test acc: 0.6989247311827957
Epoch 31, Loss: 31.697492599487305, Train acc: 0.7158273381294964, Validation acc: 0.7553956834532374, Test acc: 0.6953405017921147
Epoch 32, Loss: 31.670978546142578, Train acc: 0.7158273381294964, Validation acc: 0.7553956834532374, Test acc: 0.6953405017921147
Epoch 33, Loss: 30.918405532836914, Train acc: 0.7194244604316546, Validation acc: 0.7589928057553957, Test acc: 0.6953405017921147
Epoch 34, Loss: 31.420703887939453, Train acc: 0.7140287769784173, Validation acc: 0.7517985611510791, Test acc: 0.6881720430107527
Epoch 35, Loss: 30.907793045043945, Train acc: 0.7194244604316546, Validation acc: 0.7589928057553957, Test acc: 0.6953405017921147
Epoch 36, Loss: 31.37248420715332, Train acc: 0.7194244604316546, Validation acc: 0.7589928057553957, Test acc: 0.6953405017921147
Epoch 37, Loss: 30.890588760375977, Train acc: 0.7086330935251799, Validation acc: 0.762589928057554, Test acc: 0.6845878136200717
Epoch 38, Loss: 31.083467483520508, Train acc: 0.7158273381294964, Validation acc: 0.7553956834532374, Test acc: 0.6953405017921147
Epoch 39, Loss: 31.18360137939453, Train acc: 0.7140287769784173, Validation acc: 0.7553956834532374, Test acc: 0.6917562724014337
Epoch 40, Loss: 30.397008895874023, Train acc: 0.7212230215827338, Validation acc: 0.7589928057553957, Test acc: 0.6953405017921147
Epoch 41, Loss: 31.30034828186035, Train acc: 0.7230215827338129, Validation acc: 0.7661870503597122, Test acc: 0.7096774193548387
Epoch 42, Loss: 31.143136978149414, Train acc: 0.7140287769784173, Validation acc: 0.7517985611510791, Test acc: 0.6953405017921147
Epoch 43, Loss: 30.964109420776367, Train acc: 0.7158273381294964, Validation acc: 0.7553956834532374, Test acc: 0.6953405017921147
