Epoch 1, Loss: 38.42610549926758, Train acc: 0.5773381294964028, Validation acc: 0.6438848920863309, Test acc: 0.5842293906810035
Epoch 2, Loss: 37.807655334472656, Train acc: 0.6546762589928058, Validation acc: 0.6690647482014388, Test acc: 0.6379928315412187
Epoch 3, Loss: 36.872703552246094, Train acc: 0.6546762589928058, Validation acc: 0.6906474820143885, Test acc: 0.6666666666666666
Epoch 4, Loss: 36.66259765625, Train acc: 0.6474820143884892, Validation acc: 0.6870503597122302, Test acc: 0.6845878136200717
Epoch 5, Loss: 36.35545349121094, Train acc: 0.6474820143884892, Validation acc: 0.6834532374100719, Test acc: 0.6379928315412187
Epoch 6, Loss: 36.01263427734375, Train acc: 0.6420863309352518, Validation acc: 0.6690647482014388, Test acc: 0.6379928315412187
Epoch 7, Loss: 34.7418212890625, Train acc: 0.6816546762589928, Validation acc: 0.658273381294964, Test acc: 0.6594982078853047
Epoch 8, Loss: 34.66279220581055, Train acc: 0.6942446043165468, Validation acc: 0.7589928057553957, Test acc: 0.7275985663082437
Epoch 9, Loss: 33.65785217285156, Train acc: 0.6798561151079137, Validation acc: 0.6618705035971223, Test acc: 0.6594982078853047
Epoch 10, Loss: 33.8347282409668, Train acc: 0.7086330935251799, Validation acc: 0.7589928057553957, Test acc: 0.7383512544802867
Epoch 11, Loss: 33.147666931152344, Train acc: 0.6924460431654677, Validation acc: 0.737410071942446, Test acc: 0.7204301075268817
Epoch 12, Loss: 33.23642349243164, Train acc: 0.6870503597122302, Validation acc: 0.6726618705035972, Test acc: 0.6594982078853047
Epoch 13, Loss: 33.05559158325195, Train acc: 0.6924460431654677, Validation acc: 0.7769784172661871, Test acc: 0.7455197132616488
Epoch 14, Loss: 33.46771240234375, Train acc: 0.7032374100719424, Validation acc: 0.7302158273381295, Test acc: 0.7096774193548387
Epoch 15, Loss: 33.23937225341797, Train acc: 0.7014388489208633, Validation acc: 0.7482014388489209, Test acc: 0.7204301075268817
Epoch 16, Loss: 32.71244430541992, Train acc: 0.7086330935251799, Validation acc: 0.7697841726618705, Test acc: 0.7491039426523297
Epoch 17, Loss: 33.255516052246094, Train acc: 0.710431654676259, Validation acc: 0.762589928057554, Test acc: 0.7132616487455197
Epoch 18, Loss: 33.23886489868164, Train acc: 0.6906474820143885, Validation acc: 0.7517985611510791, Test acc: 0.7096774193548387
Epoch 19, Loss: 33.038612365722656, Train acc: 0.7122302158273381, Validation acc: 0.7553956834532374, Test acc: 0.7132616487455197
Epoch 20, Loss: 33.01680374145508, Train acc: 0.6924460431654677, Validation acc: 0.6834532374100719, Test acc: 0.6666666666666666
