Epoch 1, Loss: 40.352840423583984, Train acc: 0.6079136690647482, Validation acc: 0.564748201438849, Test acc: 0.6021505376344086
Epoch 2, Loss: 37.91261672973633, Train acc: 0.6079136690647482, Validation acc: 0.564748201438849, Test acc: 0.6021505376344086
Epoch 3, Loss: 37.59907150268555, Train acc: 0.6169064748201439, Validation acc: 0.5539568345323741, Test acc: 0.6021505376344086
Epoch 4, Loss: 37.23249435424805, Train acc: 0.6366906474820144, Validation acc: 0.5719424460431655, Test acc: 0.6272401433691757
Epoch 5, Loss: 37.02000045776367, Train acc: 0.658273381294964, Validation acc: 0.6402877697841727, Test acc: 0.6272401433691757
Epoch 6, Loss: 36.43875503540039, Train acc: 0.6780575539568345, Validation acc: 0.6618705035971223, Test acc: 0.6093189964157706
Epoch 7, Loss: 36.099605560302734, Train acc: 0.6672661870503597, Validation acc: 0.6726618705035972, Test acc: 0.6057347670250897
Epoch 8, Loss: 35.1834831237793, Train acc: 0.6474820143884892, Validation acc: 0.6294964028776978, Test acc: 0.6164874551971327
Epoch 9, Loss: 35.049110412597656, Train acc: 0.6780575539568345, Validation acc: 0.6690647482014388, Test acc: 0.6236559139784946
Epoch 10, Loss: 34.840667724609375, Train acc: 0.6510791366906474, Validation acc: 0.6546762589928058, Test acc: 0.6200716845878136
Epoch 11, Loss: 34.149742126464844, Train acc: 0.6115107913669064, Validation acc: 0.6187050359712231, Test acc: 0.5591397849462365
Epoch 12, Loss: 34.35969924926758, Train acc: 0.7230215827338129, Validation acc: 0.7517985611510791, Test acc: 0.6810035842293907
Epoch 13, Loss: 34.50212478637695, Train acc: 0.6996402877697842, Validation acc: 0.7302158273381295, Test acc: 0.6630824372759857
Epoch 14, Loss: 33.0350341796875, Train acc: 0.7302158273381295, Validation acc: 0.7410071942446043, Test acc: 0.6881720430107527
Epoch 15, Loss: 33.00601577758789, Train acc: 0.6906474820143885, Validation acc: 0.7266187050359713, Test acc: 0.6594982078853047
Epoch 16, Loss: 33.10036849975586, Train acc: 0.7176258992805755, Validation acc: 0.7517985611510791, Test acc: 0.6953405017921147
Epoch 17, Loss: 33.103023529052734, Train acc: 0.7230215827338129, Validation acc: 0.7517985611510791, Test acc: 0.6953405017921147
Epoch 18, Loss: 32.73980712890625, Train acc: 0.7230215827338129, Validation acc: 0.7446043165467626, Test acc: 0.6845878136200717
Epoch 19, Loss: 32.006080627441406, Train acc: 0.7140287769784173, Validation acc: 0.7338129496402878, Test acc: 0.6594982078853047
Epoch 20, Loss: 32.292510986328125, Train acc: 0.7086330935251799, Validation acc: 0.7050359712230215, Test acc: 0.6415770609318996
Epoch 21, Loss: 32.083248138427734, Train acc: 0.7320143884892086, Validation acc: 0.7410071942446043, Test acc: 0.6989247311827957
Epoch 22, Loss: 32.01494216918945, Train acc: 0.7140287769784173, Validation acc: 0.7338129496402878, Test acc: 0.6666666666666666
Epoch 23, Loss: 32.26399612426758, Train acc: 0.7194244604316546, Validation acc: 0.7302158273381295, Test acc: 0.6774193548387096
Epoch 24, Loss: 33.58728790283203, Train acc: 0.7302158273381295, Validation acc: 0.7482014388489209, Test acc: 0.7025089605734767
Epoch 25, Loss: 32.62495422363281, Train acc: 0.7266187050359713, Validation acc: 0.7338129496402878, Test acc: 0.7025089605734767
Epoch 26, Loss: 32.274784088134766, Train acc: 0.7284172661870504, Validation acc: 0.7482014388489209, Test acc: 0.7132616487455197
Epoch 27, Loss: 32.03388977050781, Train acc: 0.7176258992805755, Validation acc: 0.7338129496402878, Test acc: 0.6774193548387096
Epoch 28, Loss: 31.791461944580078, Train acc: 0.7230215827338129, Validation acc: 0.762589928057554, Test acc: 0.7096774193548387
Epoch 29, Loss: 32.187767028808594, Train acc: 0.7320143884892086, Validation acc: 0.7589928057553957, Test acc: 0.6989247311827957
Epoch 30, Loss: 31.648956298828125, Train acc: 0.7158273381294964, Validation acc: 0.7302158273381295, Test acc: 0.6666666666666666
Epoch 31, Loss: 31.8257999420166, Train acc: 0.7284172661870504, Validation acc: 0.7517985611510791, Test acc: 0.6953405017921147
Epoch 32, Loss: 32.13843536376953, Train acc: 0.7086330935251799, Validation acc: 0.7302158273381295, Test acc: 0.6845878136200717
Epoch 33, Loss: 31.835233688354492, Train acc: 0.7176258992805755, Validation acc: 0.7302158273381295, Test acc: 0.6917562724014337
Epoch 34, Loss: 31.723180770874023, Train acc: 0.7284172661870504, Validation acc: 0.7446043165467626, Test acc: 0.6953405017921147
Epoch 35, Loss: 31.523332595825195, Train acc: 0.7302158273381295, Validation acc: 0.7517985611510791, Test acc: 0.7025089605734767
