Epoch 1, Loss: 39.25101089477539, Train acc: 0.6133093525179856, Validation acc: 0.5611510791366906, Test acc: 0.5949820788530465
Epoch 2, Loss: 37.530723571777344, Train acc: 0.6133093525179856, Validation acc: 0.5611510791366906, Test acc: 0.5949820788530465
Epoch 3, Loss: 37.104122161865234, Train acc: 0.6133093525179856, Validation acc: 0.5611510791366906, Test acc: 0.5949820788530465
Epoch 4, Loss: 36.74537658691406, Train acc: 0.6672661870503597, Validation acc: 0.6258992805755396, Test acc: 0.6272401433691757
Epoch 5, Loss: 35.93402099609375, Train acc: 0.6546762589928058, Validation acc: 0.5899280575539568, Test acc: 0.6236559139784946
Epoch 6, Loss: 35.656776428222656, Train acc: 0.6924460431654677, Validation acc: 0.6115107913669064, Test acc: 0.6630824372759857
Epoch 7, Loss: 34.69496536254883, Train acc: 0.710431654676259, Validation acc: 0.6726618705035972, Test acc: 0.6845878136200717
Epoch 8, Loss: 33.67924499511719, Train acc: 0.6996402877697842, Validation acc: 0.658273381294964, Test acc: 0.6594982078853047
Epoch 9, Loss: 33.50790023803711, Train acc: 0.7086330935251799, Validation acc: 0.6510791366906474, Test acc: 0.6594982078853047
Epoch 10, Loss: 33.57402038574219, Train acc: 0.7140287769784173, Validation acc: 0.6762589928057554, Test acc: 0.6774193548387096
Epoch 11, Loss: 34.13359451293945, Train acc: 0.7032374100719424, Validation acc: 0.6223021582733813, Test acc: 0.6630824372759857
Epoch 12, Loss: 33.30827331542969, Train acc: 0.7140287769784173, Validation acc: 0.7194244604316546, Test acc: 0.7025089605734767
Epoch 13, Loss: 33.293617248535156, Train acc: 0.7194244604316546, Validation acc: 0.6834532374100719, Test acc: 0.6702508960573477
Epoch 14, Loss: 33.42424011230469, Train acc: 0.7032374100719424, Validation acc: 0.6294964028776978, Test acc: 0.6523297491039427
Epoch 15, Loss: 32.71024703979492, Train acc: 0.7176258992805755, Validation acc: 0.6690647482014388, Test acc: 0.6666666666666666
Epoch 16, Loss: 33.28754806518555, Train acc: 0.7230215827338129, Validation acc: 0.6618705035971223, Test acc: 0.6594982078853047
Epoch 17, Loss: 32.99258804321289, Train acc: 0.7176258992805755, Validation acc: 0.7302158273381295, Test acc: 0.6989247311827957
