Epoch 1, Loss: 38.23943328857422, Train acc: 0.5953237410071942, Validation acc: 0.5971223021582733, Test acc: 0.5949820788530465
Epoch 2, Loss: 37.41888427734375, Train acc: 0.6133093525179856, Validation acc: 0.60431654676259, Test acc: 0.6164874551971327
Epoch 3, Loss: 36.5092887878418, Train acc: 0.6798561151079137, Validation acc: 0.6438848920863309, Test acc: 0.6451612903225806
Epoch 4, Loss: 35.58076858520508, Train acc: 0.6798561151079137, Validation acc: 0.6474820143884892, Test acc: 0.6379928315412187
Epoch 5, Loss: 34.43344497680664, Train acc: 0.7284172661870504, Validation acc: 0.6690647482014388, Test acc: 0.6989247311827957
Epoch 6, Loss: 33.73954772949219, Train acc: 0.7482014388489209, Validation acc: 0.6834532374100719, Test acc: 0.6523297491039427
Epoch 7, Loss: 31.887622833251953, Train acc: 0.7535971223021583, Validation acc: 0.7194244604316546, Test acc: 0.6845878136200717
Epoch 8, Loss: 31.16636085510254, Train acc: 0.7553956834532374, Validation acc: 0.697841726618705, Test acc: 0.6845878136200717
Epoch 9, Loss: 30.837562561035156, Train acc: 0.7410071942446043, Validation acc: 0.6402877697841727, Test acc: 0.6630824372759857
Epoch 10, Loss: 30.48297882080078, Train acc: 0.737410071942446, Validation acc: 0.6294964028776978, Test acc: 0.6523297491039427
Epoch 11, Loss: 30.799943923950195, Train acc: 0.7589928057553957, Validation acc: 0.6942446043165468, Test acc: 0.6702508960573477
Epoch 12, Loss: 30.418235778808594, Train acc: 0.7607913669064749, Validation acc: 0.7014388489208633, Test acc: 0.6881720430107527
Epoch 13, Loss: 30.88804817199707, Train acc: 0.7446043165467626, Validation acc: 0.6402877697841727, Test acc: 0.6702508960573477
Epoch 14, Loss: 30.48882293701172, Train acc: 0.7643884892086331, Validation acc: 0.6906474820143885, Test acc: 0.6774193548387096
Epoch 15, Loss: 30.45928382873535, Train acc: 0.7643884892086331, Validation acc: 0.6762589928057554, Test acc: 0.6953405017921147
Epoch 16, Loss: 30.495887756347656, Train acc: 0.7679856115107914, Validation acc: 0.6726618705035972, Test acc: 0.6810035842293907
Epoch 17, Loss: 29.35813331604004, Train acc: 0.762589928057554, Validation acc: 0.658273381294964, Test acc: 0.6917562724014337
Epoch 18, Loss: 30.063453674316406, Train acc: 0.7715827338129496, Validation acc: 0.7014388489208633, Test acc: 0.6917562724014337
Epoch 19, Loss: 30.254276275634766, Train acc: 0.7571942446043165, Validation acc: 0.6834532374100719, Test acc: 0.6810035842293907
Epoch 20, Loss: 29.31638526916504, Train acc: 0.7410071942446043, Validation acc: 0.6258992805755396, Test acc: 0.6774193548387096
Epoch 21, Loss: 30.04768943786621, Train acc: 0.6870503597122302, Validation acc: 0.6618705035971223, Test acc: 0.6953405017921147
Epoch 22, Loss: 29.620826721191406, Train acc: 0.7679856115107914, Validation acc: 0.6942446043165468, Test acc: 0.6953405017921147
Epoch 23, Loss: 29.431894302368164, Train acc: 0.7679856115107914, Validation acc: 0.6834532374100719, Test acc: 0.6953405017921147
Epoch 24, Loss: 29.549848556518555, Train acc: 0.7715827338129496, Validation acc: 0.6510791366906474, Test acc: 0.6953405017921147
Epoch 25, Loss: 29.306259155273438, Train acc: 0.7643884892086331, Validation acc: 0.6834532374100719, Test acc: 0.6881720430107527
Epoch 26, Loss: 29.599342346191406, Train acc: 0.7769784172661871, Validation acc: 0.6654676258992805, Test acc: 0.6917562724014337
Epoch 27, Loss: 29.09903335571289, Train acc: 0.7733812949640287, Validation acc: 0.6942446043165468, Test acc: 0.6917562724014337
Epoch 28, Loss: 29.245361328125, Train acc: 0.7769784172661871, Validation acc: 0.6726618705035972, Test acc: 0.7025089605734767
Epoch 29, Loss: 29.498117446899414, Train acc: 0.7697841726618705, Validation acc: 0.6726618705035972, Test acc: 0.6989247311827957
Epoch 30, Loss: 29.358558654785156, Train acc: 0.7751798561151079, Validation acc: 0.658273381294964, Test acc: 0.6881720430107527
Epoch 31, Loss: 30.307233810424805, Train acc: 0.7787769784172662, Validation acc: 0.6906474820143885, Test acc: 0.6917562724014337
Epoch 32, Loss: 29.450687408447266, Train acc: 0.7841726618705036, Validation acc: 0.7014388489208633, Test acc: 0.6953405017921147
Epoch 33, Loss: 28.987998962402344, Train acc: 0.7643884892086331, Validation acc: 0.7014388489208633, Test acc: 0.6881720430107527
Epoch 34, Loss: 29.504077911376953, Train acc: 0.762589928057554, Validation acc: 0.6906474820143885, Test acc: 0.6917562724014337
Epoch 35, Loss: 29.317359924316406, Train acc: 0.7769784172661871, Validation acc: 0.6618705035971223, Test acc: 0.6953405017921147
Epoch 36, Loss: 29.48229217529297, Train acc: 0.7805755395683454, Validation acc: 0.6906474820143885, Test acc: 0.7060931899641577
Epoch 37, Loss: 28.50121307373047, Train acc: 0.7733812949640287, Validation acc: 0.6798561151079137, Test acc: 0.6917562724014337
Epoch 38, Loss: 28.903217315673828, Train acc: 0.7643884892086331, Validation acc: 0.7050359712230215, Test acc: 0.6953405017921147
Epoch 39, Loss: 30.02033233642578, Train acc: 0.7733812949640287, Validation acc: 0.6762589928057554, Test acc: 0.7025089605734767
Epoch 40, Loss: 29.157119750976562, Train acc: 0.7805755395683454, Validation acc: 0.697841726618705, Test acc: 0.6953405017921147
Epoch 41, Loss: 29.20973777770996, Train acc: 0.7715827338129496, Validation acc: 0.7122302158273381, Test acc: 0.6989247311827957
Epoch 42, Loss: 28.841428756713867, Train acc: 0.7607913669064749, Validation acc: 0.6762589928057554, Test acc: 0.6953405017921147
Epoch 43, Loss: 29.130186080932617, Train acc: 0.7715827338129496, Validation acc: 0.6870503597122302, Test acc: 0.6953405017921147
Epoch 44, Loss: 29.535554885864258, Train acc: 0.7787769784172662, Validation acc: 0.6906474820143885, Test acc: 0.6989247311827957
Epoch 45, Loss: 28.8467960357666, Train acc: 0.7733812949640287, Validation acc: 0.6618705035971223, Test acc: 0.6917562724014337
Epoch 46, Loss: 29.68276596069336, Train acc: 0.7769784172661871, Validation acc: 0.6834532374100719, Test acc: 0.6989247311827957
Epoch 47, Loss: 28.736642837524414, Train acc: 0.7859712230215827, Validation acc: 0.697841726618705, Test acc: 0.6989247311827957
Epoch 48, Loss: 29.077150344848633, Train acc: 0.7769784172661871, Validation acc: 0.6618705035971223, Test acc: 0.6953405017921147
Epoch 49, Loss: 28.599843978881836, Train acc: 0.7823741007194245, Validation acc: 0.6798561151079137, Test acc: 0.7025089605734767
Epoch 50, Loss: 28.173723220825195, Train acc: 0.7769784172661871, Validation acc: 0.6618705035971223, Test acc: 0.6953405017921147
Epoch 51, Loss: 28.51693344116211, Train acc: 0.7787769784172662, Validation acc: 0.6654676258992805, Test acc: 0.6989247311827957
Epoch 52, Loss: 28.453462600708008, Train acc: 0.7805755395683454, Validation acc: 0.6834532374100719, Test acc: 0.6989247311827957
Epoch 53, Loss: 28.442594528198242, Train acc: 0.7805755395683454, Validation acc: 0.6690647482014388, Test acc: 0.6989247311827957
Epoch 54, Loss: 28.651243209838867, Train acc: 0.7787769784172662, Validation acc: 0.6726618705035972, Test acc: 0.6989247311827957
