Epoch 1, Loss: 37.642494201660156, Train acc: 0.5989208633093526, Validation acc: 0.6115107913669064, Test acc: 0.5734767025089605
Epoch 2, Loss: 36.86433029174805, Train acc: 0.6276978417266187, Validation acc: 0.6474820143884892, Test acc: 0.6272401433691757
Epoch 3, Loss: 36.634788513183594, Train acc: 0.6834532374100719, Validation acc: 0.6690647482014388, Test acc: 0.6559139784946236
Epoch 4, Loss: 35.79084777832031, Train acc: 0.6402877697841727, Validation acc: 0.6654676258992805, Test acc: 0.6379928315412187
Epoch 5, Loss: 35.55713653564453, Train acc: 0.658273381294964, Validation acc: 0.6618705035971223, Test acc: 0.6594982078853047
Epoch 6, Loss: 33.25368118286133, Train acc: 0.7014388489208633, Validation acc: 0.7194244604316546, Test acc: 0.7168458781362007
Epoch 7, Loss: 33.046836853027344, Train acc: 0.6564748201438849, Validation acc: 0.6906474820143885, Test acc: 0.6666666666666666
Epoch 8, Loss: 32.178768157958984, Train acc: 0.6942446043165468, Validation acc: 0.7122302158273381, Test acc: 0.7060931899641577
Epoch 9, Loss: 33.44388961791992, Train acc: 0.7176258992805755, Validation acc: 0.7194244604316546, Test acc: 0.7168458781362007
Epoch 10, Loss: 32.75388717651367, Train acc: 0.7284172661870504, Validation acc: 0.7230215827338129, Test acc: 0.7383512544802867
Epoch 11, Loss: 32.6513786315918, Train acc: 0.7284172661870504, Validation acc: 0.7194244604316546, Test acc: 0.7311827956989247
Epoch 12, Loss: 31.700654983520508, Train acc: 0.7158273381294964, Validation acc: 0.7266187050359713, Test acc: 0.7347670250896058
Epoch 13, Loss: 32.450721740722656, Train acc: 0.7302158273381295, Validation acc: 0.7266187050359713, Test acc: 0.7383512544802867
Epoch 14, Loss: 32.31320571899414, Train acc: 0.7032374100719424, Validation acc: 0.7122302158273381, Test acc: 0.7204301075268817
Epoch 15, Loss: 31.84577751159668, Train acc: 0.7230215827338129, Validation acc: 0.7338129496402878, Test acc: 0.7526881720430108
Epoch 16, Loss: 31.679298400878906, Train acc: 0.7158273381294964, Validation acc: 0.7230215827338129, Test acc: 0.7204301075268817
Epoch 17, Loss: 31.946449279785156, Train acc: 0.7194244604316546, Validation acc: 0.7050359712230215, Test acc: 0.7204301075268817
Epoch 18, Loss: 31.75065803527832, Train acc: 0.7248201438848921, Validation acc: 0.7194244604316546, Test acc: 0.7383512544802867
Epoch 19, Loss: 32.34731674194336, Train acc: 0.7140287769784173, Validation acc: 0.7014388489208633, Test acc: 0.7132616487455197
Epoch 20, Loss: 31.51185417175293, Train acc: 0.7140287769784173, Validation acc: 0.7122302158273381, Test acc: 0.7132616487455197
Epoch 21, Loss: 31.32228660583496, Train acc: 0.7176258992805755, Validation acc: 0.737410071942446, Test acc: 0.7419354838709677
Epoch 22, Loss: 32.08177947998047, Train acc: 0.7248201438848921, Validation acc: 0.7230215827338129, Test acc: 0.7347670250896058
Epoch 23, Loss: 31.460752487182617, Train acc: 0.7248201438848921, Validation acc: 0.7230215827338129, Test acc: 0.7383512544802867
Epoch 24, Loss: 31.77914810180664, Train acc: 0.7230215827338129, Validation acc: 0.7230215827338129, Test acc: 0.7240143369175627
