Epoch 1, Loss: 38.39493942260742, Train acc: 0.6079136690647482, Validation acc: 0.6007194244604317, Test acc: 0.5663082437275986
Epoch 2, Loss: 37.58697509765625, Train acc: 0.6079136690647482, Validation acc: 0.6007194244604317, Test acc: 0.5663082437275986
Epoch 3, Loss: 37.462650299072266, Train acc: 0.6079136690647482, Validation acc: 0.6007194244604317, Test acc: 0.5663082437275986
Epoch 4, Loss: 36.571868896484375, Train acc: 0.6384892086330936, Validation acc: 0.6258992805755396, Test acc: 0.6308243727598566
Epoch 5, Loss: 36.090980529785156, Train acc: 0.6780575539568345, Validation acc: 0.6294964028776978, Test acc: 0.6559139784946236
Epoch 6, Loss: 34.88742446899414, Train acc: 0.7248201438848921, Validation acc: 0.6654676258992805, Test acc: 0.7096774193548387
Epoch 7, Loss: 33.57006072998047, Train acc: 0.7302158273381295, Validation acc: 0.6798561151079137, Test acc: 0.7132616487455197
Epoch 8, Loss: 33.74980545043945, Train acc: 0.7032374100719424, Validation acc: 0.6834532374100719, Test acc: 0.6666666666666666
Epoch 9, Loss: 32.22606658935547, Train acc: 0.7212230215827338, Validation acc: 0.697841726618705, Test acc: 0.7132616487455197
Epoch 10, Loss: 32.63633346557617, Train acc: 0.6870503597122302, Validation acc: 0.6870503597122302, Test acc: 0.6594982078853047
Epoch 11, Loss: 31.74665069580078, Train acc: 0.75, Validation acc: 0.7122302158273381, Test acc: 0.7204301075268817
Epoch 12, Loss: 31.72457504272461, Train acc: 0.7410071942446043, Validation acc: 0.7158273381294964, Test acc: 0.7240143369175627
Epoch 13, Loss: 31.4752197265625, Train acc: 0.7158273381294964, Validation acc: 0.6726618705035972, Test acc: 0.6845878136200717
Epoch 14, Loss: 31.93707847595215, Train acc: 0.7266187050359713, Validation acc: 0.7086330935251799, Test acc: 0.7204301075268817
Epoch 15, Loss: 31.228546142578125, Train acc: 0.7122302158273381, Validation acc: 0.7014388489208633, Test acc: 0.7025089605734767
Epoch 16, Loss: 31.221446990966797, Train acc: 0.7482014388489209, Validation acc: 0.7194244604316546, Test acc: 0.7132616487455197
Epoch 17, Loss: 32.33119583129883, Train acc: 0.7194244604316546, Validation acc: 0.7266187050359713, Test acc: 0.6989247311827957
Epoch 18, Loss: 31.35112762451172, Train acc: 0.7266187050359713, Validation acc: 0.7050359712230215, Test acc: 0.7025089605734767
Epoch 19, Loss: 31.19771957397461, Train acc: 0.737410071942446, Validation acc: 0.7194244604316546, Test acc: 0.7204301075268817
Epoch 20, Loss: 31.22631072998047, Train acc: 0.7266187050359713, Validation acc: 0.7050359712230215, Test acc: 0.6989247311827957
Epoch 21, Loss: 31.019010543823242, Train acc: 0.7517985611510791, Validation acc: 0.7086330935251799, Test acc: 0.7096774193548387
Epoch 22, Loss: 31.71925163269043, Train acc: 0.75, Validation acc: 0.7086330935251799, Test acc: 0.7132616487455197
Epoch 23, Loss: 31.363996505737305, Train acc: 0.737410071942446, Validation acc: 0.7230215827338129, Test acc: 0.7204301075268817
Epoch 24, Loss: 31.18837547302246, Train acc: 0.7302158273381295, Validation acc: 0.7410071942446043, Test acc: 0.7060931899641577
Epoch 25, Loss: 30.910245895385742, Train acc: 0.7140287769784173, Validation acc: 0.6942446043165468, Test acc: 0.6989247311827957
Epoch 26, Loss: 30.858417510986328, Train acc: 0.7302158273381295, Validation acc: 0.7302158273381295, Test acc: 0.7168458781362007
Epoch 27, Loss: 31.58724021911621, Train acc: 0.75, Validation acc: 0.7302158273381295, Test acc: 0.7204301075268817
Epoch 28, Loss: 30.90825653076172, Train acc: 0.7320143884892086, Validation acc: 0.7302158273381295, Test acc: 0.7132616487455197
Epoch 29, Loss: 30.594398498535156, Train acc: 0.7356115107913669, Validation acc: 0.7122302158273381, Test acc: 0.7132616487455197
