Epoch 1, Loss: 38.658782958984375, Train acc: 0.60431654676259, Validation acc: 0.5935251798561151, Test acc: 0.5806451612903226
Epoch 2, Loss: 37.6182746887207, Train acc: 0.60431654676259, Validation acc: 0.5935251798561151, Test acc: 0.5806451612903226
Epoch 3, Loss: 37.2255973815918, Train acc: 0.60431654676259, Validation acc: 0.5935251798561151, Test acc: 0.5806451612903226
Epoch 4, Loss: 36.91352462768555, Train acc: 0.6312949640287769, Validation acc: 0.6223021582733813, Test acc: 0.6057347670250897
Epoch 5, Loss: 36.197166442871094, Train acc: 0.6079136690647482, Validation acc: 0.6115107913669064, Test acc: 0.6164874551971327
Epoch 6, Loss: 36.151763916015625, Train acc: 0.7086330935251799, Validation acc: 0.7014388489208633, Test acc: 0.6917562724014337
Epoch 7, Loss: 35.40093994140625, Train acc: 0.7068345323741008, Validation acc: 0.7014388489208633, Test acc: 0.6774193548387096
Epoch 8, Loss: 34.66309356689453, Train acc: 0.7050359712230215, Validation acc: 0.6942446043165468, Test acc: 0.6881720430107527
Epoch 9, Loss: 35.96096420288086, Train acc: 0.6924460431654677, Validation acc: 0.6690647482014388, Test acc: 0.6810035842293907
Epoch 10, Loss: 34.26687240600586, Train acc: 0.7140287769784173, Validation acc: 0.6942446043165468, Test acc: 0.6953405017921147
Epoch 11, Loss: 33.9106330871582, Train acc: 0.7158273381294964, Validation acc: 0.7122302158273381, Test acc: 0.7025089605734767
Epoch 12, Loss: 34.266544342041016, Train acc: 0.6996402877697842, Validation acc: 0.6942446043165468, Test acc: 0.6917562724014337
Epoch 13, Loss: 34.36193084716797, Train acc: 0.6780575539568345, Validation acc: 0.6546762589928058, Test acc: 0.6702508960573477
Epoch 14, Loss: 34.168739318847656, Train acc: 0.7122302158273381, Validation acc: 0.7194244604316546, Test acc: 0.7204301075268817
Epoch 15, Loss: 33.632080078125, Train acc: 0.7086330935251799, Validation acc: 0.697841726618705, Test acc: 0.7025089605734767
Epoch 16, Loss: 33.69914245605469, Train acc: 0.710431654676259, Validation acc: 0.7014388489208633, Test acc: 0.7060931899641577
Epoch 17, Loss: 33.77931594848633, Train acc: 0.7194244604316546, Validation acc: 0.6834532374100719, Test acc: 0.6953405017921147
Epoch 18, Loss: 33.61008834838867, Train acc: 0.6996402877697842, Validation acc: 0.7122302158273381, Test acc: 0.7132616487455197
Epoch 19, Loss: 33.56398010253906, Train acc: 0.6942446043165468, Validation acc: 0.7014388489208633, Test acc: 0.6881720430107527
Epoch 20, Loss: 33.38652038574219, Train acc: 0.7230215827338129, Validation acc: 0.6906474820143885, Test acc: 0.7275985663082437
Epoch 21, Loss: 32.728424072265625, Train acc: 0.7266187050359713, Validation acc: 0.7230215827338129, Test acc: 0.7419354838709677
Epoch 22, Loss: 32.85103988647461, Train acc: 0.7338129496402878, Validation acc: 0.7086330935251799, Test acc: 0.7240143369175627
Epoch 23, Loss: 32.613861083984375, Train acc: 0.7212230215827338, Validation acc: 0.7014388489208633, Test acc: 0.7419354838709677
Epoch 24, Loss: 32.52334213256836, Train acc: 0.6654676258992805, Validation acc: 0.6618705035971223, Test acc: 0.6415770609318996
Epoch 25, Loss: 32.0272216796875, Train acc: 0.7356115107913669, Validation acc: 0.7266187050359713, Test acc: 0.7491039426523297
Epoch 26, Loss: 31.806007385253906, Train acc: 0.7338129496402878, Validation acc: 0.7014388489208633, Test acc: 0.7168458781362007
Epoch 27, Loss: 32.100303649902344, Train acc: 0.7032374100719424, Validation acc: 0.7158273381294964, Test acc: 0.7025089605734767
Epoch 28, Loss: 32.05409240722656, Train acc: 0.7410071942446043, Validation acc: 0.7266187050359713, Test acc: 0.7383512544802867
Epoch 29, Loss: 31.490610122680664, Train acc: 0.737410071942446, Validation acc: 0.7086330935251799, Test acc: 0.7168458781362007
Epoch 30, Loss: 31.79493522644043, Train acc: 0.7356115107913669, Validation acc: 0.7338129496402878, Test acc: 0.7311827956989247
Epoch 31, Loss: 31.923734664916992, Train acc: 0.7428057553956835, Validation acc: 0.697841726618705, Test acc: 0.7240143369175627
Epoch 32, Loss: 30.881620407104492, Train acc: 0.7356115107913669, Validation acc: 0.6870503597122302, Test acc: 0.7096774193548387
Epoch 33, Loss: 32.24799728393555, Train acc: 0.7320143884892086, Validation acc: 0.7086330935251799, Test acc: 0.6845878136200717
Epoch 34, Loss: 30.856632232666016, Train acc: 0.737410071942446, Validation acc: 0.7158273381294964, Test acc: 0.6989247311827957
Epoch 35, Loss: 31.780569076538086, Train acc: 0.7248201438848921, Validation acc: 0.7230215827338129, Test acc: 0.7311827956989247
Epoch 36, Loss: 31.493610382080078, Train acc: 0.7410071942446043, Validation acc: 0.7338129496402878, Test acc: 0.7132616487455197
Epoch 37, Loss: 30.784713745117188, Train acc: 0.7266187050359713, Validation acc: 0.7158273381294964, Test acc: 0.7025089605734767
Epoch 38, Loss: 31.158037185668945, Train acc: 0.7032374100719424, Validation acc: 0.7014388489208633, Test acc: 0.6989247311827957
Epoch 39, Loss: 30.930030822753906, Train acc: 0.7320143884892086, Validation acc: 0.7122302158273381, Test acc: 0.7491039426523297
Epoch 40, Loss: 30.804710388183594, Train acc: 0.737410071942446, Validation acc: 0.7158273381294964, Test acc: 0.7060931899641577
Epoch 41, Loss: 31.954875946044922, Train acc: 0.7446043165467626, Validation acc: 0.7194244604316546, Test acc: 0.7132616487455197
Epoch 42, Loss: 30.67616844177246, Train acc: 0.7248201438848921, Validation acc: 0.7122302158273381, Test acc: 0.7526881720430108
Epoch 43, Loss: 30.972463607788086, Train acc: 0.7392086330935251, Validation acc: 0.7230215827338129, Test acc: 0.7383512544802867
Epoch 44, Loss: 31.008075714111328, Train acc: 0.7338129496402878, Validation acc: 0.7194244604316546, Test acc: 0.6953405017921147
Epoch 45, Loss: 31.165876388549805, Train acc: 0.7230215827338129, Validation acc: 0.7194244604316546, Test acc: 0.7096774193548387
Epoch 46, Loss: 31.14014434814453, Train acc: 0.7392086330935251, Validation acc: 0.7158273381294964, Test acc: 0.7240143369175627
Epoch 47, Loss: 30.412691116333008, Train acc: 0.7410071942446043, Validation acc: 0.7194244604316546, Test acc: 0.7025089605734767
Epoch 48, Loss: 31.453092575073242, Train acc: 0.737410071942446, Validation acc: 0.7194244604316546, Test acc: 0.6989247311827957
Epoch 49, Loss: 31.27253532409668, Train acc: 0.7356115107913669, Validation acc: 0.7302158273381295, Test acc: 0.7526881720430108
Epoch 50, Loss: 30.56766128540039, Train acc: 0.7302158273381295, Validation acc: 0.7086330935251799, Test acc: 0.6881720430107527
Epoch 51, Loss: 31.48212432861328, Train acc: 0.7320143884892086, Validation acc: 0.7338129496402878, Test acc: 0.7598566308243727
Epoch 52, Loss: 30.931856155395508, Train acc: 0.737410071942446, Validation acc: 0.7266187050359713, Test acc: 0.7347670250896058
Epoch 53, Loss: 31.480436325073242, Train acc: 0.7392086330935251, Validation acc: 0.7266187050359713, Test acc: 0.7240143369175627
Epoch 54, Loss: 31.337425231933594, Train acc: 0.7410071942446043, Validation acc: 0.7338129496402878, Test acc: 0.7419354838709677
Epoch 55, Loss: 30.800613403320312, Train acc: 0.7356115107913669, Validation acc: 0.7230215827338129, Test acc: 0.7634408602150538
Epoch 56, Loss: 31.292654037475586, Train acc: 0.7356115107913669, Validation acc: 0.7194244604316546, Test acc: 0.7060931899641577
Epoch 57, Loss: 30.691207885742188, Train acc: 0.7446043165467626, Validation acc: 0.7050359712230215, Test acc: 0.7096774193548387
Epoch 58, Loss: 30.837669372558594, Train acc: 0.7464028776978417, Validation acc: 0.7158273381294964, Test acc: 0.7204301075268817
Epoch 59, Loss: 30.41537857055664, Train acc: 0.7535971223021583, Validation acc: 0.7230215827338129, Test acc: 0.7240143369175627
Epoch 60, Loss: 29.932008743286133, Train acc: 0.7571942446043165, Validation acc: 0.7194244604316546, Test acc: 0.7347670250896058
Epoch 61, Loss: 31.123519897460938, Train acc: 0.7535971223021583, Validation acc: 0.7230215827338129, Test acc: 0.7168458781362007
Epoch 62, Loss: 29.62676239013672, Train acc: 0.7482014388489209, Validation acc: 0.7194244604316546, Test acc: 0.7096774193548387
Epoch 63, Loss: 30.017162322998047, Train acc: 0.7553956834532374, Validation acc: 0.7194244604316546, Test acc: 0.7240143369175627
Epoch 64, Loss: 30.034067153930664, Train acc: 0.7517985611510791, Validation acc: 0.7194244604316546, Test acc: 0.7204301075268817
Epoch 65, Loss: 30.26968765258789, Train acc: 0.7571942446043165, Validation acc: 0.7194244604316546, Test acc: 0.7240143369175627
Epoch 66, Loss: 30.113428115844727, Train acc: 0.7517985611510791, Validation acc: 0.7194244604316546, Test acc: 0.7204301075268817
Epoch 67, Loss: 29.80929946899414, Train acc: 0.7535971223021583, Validation acc: 0.7194244604316546, Test acc: 0.7204301075268817
Epoch 68, Loss: 29.731157302856445, Train acc: 0.7482014388489209, Validation acc: 0.7158273381294964, Test acc: 0.7132616487455197
Epoch 69, Loss: 29.928035736083984, Train acc: 0.7553956834532374, Validation acc: 0.7194244604316546, Test acc: 0.7240143369175627
Epoch 70, Loss: 29.435712814331055, Train acc: 0.7535971223021583, Validation acc: 0.7230215827338129, Test acc: 0.7204301075268817
Epoch 71, Loss: 29.574689865112305, Train acc: 0.7553956834532374, Validation acc: 0.7194244604316546, Test acc: 0.7204301075268817
Epoch 72, Loss: 29.757450103759766, Train acc: 0.7535971223021583, Validation acc: 0.7194244604316546, Test acc: 0.7204301075268817
Epoch 73, Loss: 29.844179153442383, Train acc: 0.7571942446043165, Validation acc: 0.7194244604316546, Test acc: 0.7347670250896058
Epoch 74, Loss: 30.305971145629883, Train acc: 0.7464028776978417, Validation acc: 0.7230215827338129, Test acc: 0.7168458781362007
Epoch 75, Loss: 29.809755325317383, Train acc: 0.7589928057553957, Validation acc: 0.7194244604316546, Test acc: 0.7347670250896058
Epoch 76, Loss: 30.046354293823242, Train acc: 0.75, Validation acc: 0.7158273381294964, Test acc: 0.7168458781362007
Epoch 77, Loss: 30.15334129333496, Train acc: 0.7589928057553957, Validation acc: 0.7194244604316546, Test acc: 0.7275985663082437
Epoch 78, Loss: 29.621543884277344, Train acc: 0.7607913669064749, Validation acc: 0.7158273381294964, Test acc: 0.7383512544802867
Epoch 79, Loss: 29.292089462280273, Train acc: 0.7517985611510791, Validation acc: 0.7194244604316546, Test acc: 0.7311827956989247
Epoch 80, Loss: 29.690834045410156, Train acc: 0.7535971223021583, Validation acc: 0.7230215827338129, Test acc: 0.7204301075268817
Epoch 81, Loss: 29.84015655517578, Train acc: 0.7535971223021583, Validation acc: 0.7194244604316546, Test acc: 0.7240143369175627
Epoch 82, Loss: 29.858600616455078, Train acc: 0.75, Validation acc: 0.7158273381294964, Test acc: 0.7168458781362007
Epoch 83, Loss: 30.11177635192871, Train acc: 0.7535971223021583, Validation acc: 0.7158273381294964, Test acc: 0.7347670250896058
Epoch 84, Loss: 29.8504638671875, Train acc: 0.7535971223021583, Validation acc: 0.7194244604316546, Test acc: 0.7240143369175627
Epoch 85, Loss: 29.842620849609375, Train acc: 0.75, Validation acc: 0.7194244604316546, Test acc: 0.7132616487455197
Epoch 86, Loss: 29.955984115600586, Train acc: 0.7553956834532374, Validation acc: 0.7194244604316546, Test acc: 0.7240143369175627
Epoch 87, Loss: 29.467029571533203, Train acc: 0.7553956834532374, Validation acc: 0.7194244604316546, Test acc: 0.7275985663082437
Epoch 88, Loss: 30.275894165039062, Train acc: 0.7517985611510791, Validation acc: 0.7158273381294964, Test acc: 0.7347670250896058
Epoch 89, Loss: 29.27179718017578, Train acc: 0.7535971223021583, Validation acc: 0.7158273381294964, Test acc: 0.7204301075268817
Epoch 90, Loss: 29.772794723510742, Train acc: 0.7535971223021583, Validation acc: 0.7194244604316546, Test acc: 0.7240143369175627
Epoch 91, Loss: 29.815155029296875, Train acc: 0.75, Validation acc: 0.7122302158273381, Test acc: 0.7204301075268817
Epoch 92, Loss: 29.661483764648438, Train acc: 0.7517985611510791, Validation acc: 0.7122302158273381, Test acc: 0.7204301075268817
Epoch 93, Loss: 29.556116104125977, Train acc: 0.7571942446043165, Validation acc: 0.7194244604316546, Test acc: 0.7240143369175627
Epoch 94, Loss: 29.619243621826172, Train acc: 0.7517985611510791, Validation acc: 0.7194244604316546, Test acc: 0.7383512544802867
Epoch 95, Loss: 30.074283599853516, Train acc: 0.7535971223021583, Validation acc: 0.7194244604316546, Test acc: 0.7311827956989247
Epoch 96, Loss: 29.912803649902344, Train acc: 0.7517985611510791, Validation acc: 0.7158273381294964, Test acc: 0.7383512544802867
Epoch 97, Loss: 29.880212783813477, Train acc: 0.7571942446043165, Validation acc: 0.7194244604316546, Test acc: 0.7311827956989247
Epoch 98, Loss: 30.022424697875977, Train acc: 0.7553956834532374, Validation acc: 0.7230215827338129, Test acc: 0.7419354838709677
Epoch 99, Loss: 29.81542205810547, Train acc: 0.7535971223021583, Validation acc: 0.7194244604316546, Test acc: 0.7311827956989247
Epoch 100, Loss: 30.399169921875, Train acc: 0.7517985611510791, Validation acc: 0.7194244604316546, Test acc: 0.7347670250896058
Epoch 101, Loss: 29.644704818725586, Train acc: 0.7517985611510791, Validation acc: 0.7158273381294964, Test acc: 0.7347670250896058
Epoch 102, Loss: 29.719799041748047, Train acc: 0.7517985611510791, Validation acc: 0.7158273381294964, Test acc: 0.7347670250896058
Epoch 103, Loss: 29.831331253051758, Train acc: 0.7517985611510791, Validation acc: 0.7158273381294964, Test acc: 0.7347670250896058
Epoch 104, Loss: 29.578346252441406, Train acc: 0.7517985611510791, Validation acc: 0.7158273381294964, Test acc: 0.7347670250896058
Epoch 105, Loss: 30.23360824584961, Train acc: 0.7517985611510791, Validation acc: 0.7158273381294964, Test acc: 0.7347670250896058
Epoch 106, Loss: 29.13128662109375, Train acc: 0.7517985611510791, Validation acc: 0.7158273381294964, Test acc: 0.7347670250896058
Epoch 107, Loss: 29.94613265991211, Train acc: 0.7517985611510791, Validation acc: 0.7158273381294964, Test acc: 0.7347670250896058
Epoch 108, Loss: 29.55966567993164, Train acc: 0.7535971223021583, Validation acc: 0.7158273381294964, Test acc: 0.7347670250896058
Epoch 109, Loss: 29.68744659423828, Train acc: 0.7535971223021583, Validation acc: 0.7194244604316546, Test acc: 0.7311827956989247
Epoch 110, Loss: 29.715280532836914, Train acc: 0.7553956834532374, Validation acc: 0.7158273381294964, Test acc: 0.7347670250896058
Epoch 111, Loss: 29.56871223449707, Train acc: 0.7553956834532374, Validation acc: 0.7194244604316546, Test acc: 0.7311827956989247
