Epoch 1, Loss: 38.99646759033203, Train acc: 0.5755395683453237, Validation acc: 0.6294964028776978, Test acc: 0.6021505376344086
Epoch 2, Loss: 38.59119415283203, Train acc: 0.5755395683453237, Validation acc: 0.6294964028776978, Test acc: 0.6021505376344086
Epoch 3, Loss: 38.18163299560547, Train acc: 0.6312949640287769, Validation acc: 0.697841726618705, Test acc: 0.6559139784946236
Epoch 4, Loss: 37.768943786621094, Train acc: 0.5809352517985612, Validation acc: 0.6546762589928058, Test acc: 0.6200716845878136
Epoch 5, Loss: 37.143089294433594, Train acc: 0.6636690647482014, Validation acc: 0.7302158273381295, Test acc: 0.6738351254480287
Epoch 6, Loss: 35.19369888305664, Train acc: 0.6924460431654677, Validation acc: 0.7194244604316546, Test acc: 0.6953405017921147
Epoch 7, Loss: 36.262996673583984, Train acc: 0.6564748201438849, Validation acc: 0.7014388489208633, Test acc: 0.6702508960573477
Epoch 8, Loss: 34.85340881347656, Train acc: 0.6600719424460432, Validation acc: 0.6942446043165468, Test acc: 0.7168458781362007
Epoch 9, Loss: 33.724327087402344, Train acc: 0.7068345323741008, Validation acc: 0.7194244604316546, Test acc: 0.7383512544802867
Epoch 10, Loss: 33.77338790893555, Train acc: 0.7158273381294964, Validation acc: 0.7158273381294964, Test acc: 0.7311827956989247
Epoch 11, Loss: 33.919471740722656, Train acc: 0.7248201438848921, Validation acc: 0.7194244604316546, Test acc: 0.7275985663082437
Epoch 12, Loss: 33.74420166015625, Train acc: 0.7284172661870504, Validation acc: 0.7446043165467626, Test acc: 0.7347670250896058
Epoch 13, Loss: 32.675289154052734, Train acc: 0.7086330935251799, Validation acc: 0.6870503597122302, Test acc: 0.7526881720430108
Epoch 14, Loss: 32.56725311279297, Train acc: 0.6996402877697842, Validation acc: 0.6726618705035972, Test acc: 0.7275985663082437
Epoch 15, Loss: 33.78447341918945, Train acc: 0.7194244604316546, Validation acc: 0.658273381294964, Test acc: 0.7204301075268817
Epoch 16, Loss: 32.20701217651367, Train acc: 0.7050359712230215, Validation acc: 0.7194244604316546, Test acc: 0.7096774193548387
Epoch 17, Loss: 32.37675094604492, Train acc: 0.710431654676259, Validation acc: 0.7194244604316546, Test acc: 0.7383512544802867
Epoch 18, Loss: 31.789020538330078, Train acc: 0.7158273381294964, Validation acc: 0.6906474820143885, Test acc: 0.7419354838709677
Epoch 19, Loss: 31.471799850463867, Train acc: 0.7302158273381295, Validation acc: 0.7086330935251799, Test acc: 0.7383512544802867
Epoch 20, Loss: 32.37290954589844, Train acc: 0.7194244604316546, Validation acc: 0.697841726618705, Test acc: 0.7455197132616488
Epoch 21, Loss: 32.438411712646484, Train acc: 0.7284172661870504, Validation acc: 0.6690647482014388, Test acc: 0.7419354838709677
Epoch 22, Loss: 31.67569923400879, Train acc: 0.7248201438848921, Validation acc: 0.6834532374100719, Test acc: 0.7383512544802867
Epoch 23, Loss: 32.00779342651367, Train acc: 0.7356115107913669, Validation acc: 0.7122302158273381, Test acc: 0.7455197132616488
Epoch 24, Loss: 31.868324279785156, Train acc: 0.737410071942446, Validation acc: 0.7338129496402878, Test acc: 0.7526881720430108
Epoch 25, Loss: 31.262828826904297, Train acc: 0.7338129496402878, Validation acc: 0.737410071942446, Test acc: 0.7455197132616488
Epoch 26, Loss: 30.491724014282227, Train acc: 0.7158273381294964, Validation acc: 0.7158273381294964, Test acc: 0.7168458781362007
Epoch 27, Loss: 31.83145523071289, Train acc: 0.7212230215827338, Validation acc: 0.7158273381294964, Test acc: 0.7419354838709677
Epoch 28, Loss: 31.302515029907227, Train acc: 0.7266187050359713, Validation acc: 0.6798561151079137, Test acc: 0.7383512544802867
Epoch 29, Loss: 32.42266845703125, Train acc: 0.7428057553956835, Validation acc: 0.7338129496402878, Test acc: 0.7491039426523297
Epoch 30, Loss: 31.498498916625977, Train acc: 0.7320143884892086, Validation acc: 0.6870503597122302, Test acc: 0.7526881720430108
Epoch 31, Loss: 31.290807723999023, Train acc: 0.7194244604316546, Validation acc: 0.7482014388489209, Test acc: 0.7347670250896058
Epoch 32, Loss: 32.00983428955078, Train acc: 0.7248201438848921, Validation acc: 0.7553956834532374, Test acc: 0.7383512544802867
Epoch 33, Loss: 31.822559356689453, Train acc: 0.7248201438848921, Validation acc: 0.7266187050359713, Test acc: 0.7347670250896058
Epoch 34, Loss: 31.106792449951172, Train acc: 0.7140287769784173, Validation acc: 0.6906474820143885, Test acc: 0.7275985663082437
Epoch 35, Loss: 31.488252639770508, Train acc: 0.7428057553956835, Validation acc: 0.7122302158273381, Test acc: 0.7491039426523297
Epoch 36, Loss: 31.203588485717773, Train acc: 0.7284172661870504, Validation acc: 0.7194244604316546, Test acc: 0.7383512544802867
Epoch 37, Loss: 30.891860961914062, Train acc: 0.7302158273381295, Validation acc: 0.737410071942446, Test acc: 0.7455197132616488
Epoch 38, Loss: 30.48243522644043, Train acc: 0.7356115107913669, Validation acc: 0.7338129496402878, Test acc: 0.7419354838709677
Epoch 39, Loss: 30.55433464050293, Train acc: 0.7428057553956835, Validation acc: 0.7194244604316546, Test acc: 0.7491039426523297
Epoch 40, Loss: 30.593856811523438, Train acc: 0.7446043165467626, Validation acc: 0.7194244604316546, Test acc: 0.7526881720430108
Epoch 41, Loss: 30.51396942138672, Train acc: 0.7428057553956835, Validation acc: 0.7158273381294964, Test acc: 0.7455197132616488
Epoch 42, Loss: 30.737102508544922, Train acc: 0.7428057553956835, Validation acc: 0.7158273381294964, Test acc: 0.7491039426523297
Epoch 43, Loss: 30.629085540771484, Train acc: 0.7410071942446043, Validation acc: 0.7194244604316546, Test acc: 0.7455197132616488
Epoch 44, Loss: 30.328750610351562, Train acc: 0.7410071942446043, Validation acc: 0.7086330935251799, Test acc: 0.7491039426523297
Epoch 45, Loss: 30.71292495727539, Train acc: 0.7428057553956835, Validation acc: 0.7230215827338129, Test acc: 0.7491039426523297
Epoch 46, Loss: 30.613067626953125, Train acc: 0.7410071942446043, Validation acc: 0.7086330935251799, Test acc: 0.7419354838709677
Epoch 47, Loss: 30.657978057861328, Train acc: 0.7446043165467626, Validation acc: 0.7230215827338129, Test acc: 0.7526881720430108
Epoch 48, Loss: 30.582298278808594, Train acc: 0.7410071942446043, Validation acc: 0.7194244604316546, Test acc: 0.7491039426523297
Epoch 49, Loss: 30.396114349365234, Train acc: 0.7428057553956835, Validation acc: 0.7122302158273381, Test acc: 0.7455197132616488
Epoch 50, Loss: 30.74062156677246, Train acc: 0.7446043165467626, Validation acc: 0.7266187050359713, Test acc: 0.7455197132616488
Epoch 51, Loss: 30.486671447753906, Train acc: 0.7410071942446043, Validation acc: 0.7194244604316546, Test acc: 0.7455197132616488
Epoch 52, Loss: 30.047367095947266, Train acc: 0.7446043165467626, Validation acc: 0.7050359712230215, Test acc: 0.7455197132616488
Epoch 53, Loss: 30.342561721801758, Train acc: 0.7428057553956835, Validation acc: 0.7230215827338129, Test acc: 0.7455197132616488
Epoch 54, Loss: 30.221940994262695, Train acc: 0.7410071942446043, Validation acc: 0.7158273381294964, Test acc: 0.7491039426523297
Epoch 55, Loss: 30.342456817626953, Train acc: 0.7428057553956835, Validation acc: 0.7230215827338129, Test acc: 0.7491039426523297
Epoch 56, Loss: 30.667896270751953, Train acc: 0.7410071942446043, Validation acc: 0.7194244604316546, Test acc: 0.7455197132616488
Epoch 57, Loss: 30.355195999145508, Train acc: 0.7428057553956835, Validation acc: 0.7158273381294964, Test acc: 0.7455197132616488
Epoch 58, Loss: 30.493549346923828, Train acc: 0.7410071942446043, Validation acc: 0.7158273381294964, Test acc: 0.7455197132616488
Epoch 59, Loss: 30.16973114013672, Train acc: 0.7446043165467626, Validation acc: 0.7086330935251799, Test acc: 0.7419354838709677
Epoch 60, Loss: 30.70090675354004, Train acc: 0.7446043165467626, Validation acc: 0.7050359712230215, Test acc: 0.7419354838709677
