Epoch 1, Loss: 34.88713455200195, Train acc: 0.504, Validation acc: 0.468, Test acc: 0.524
Epoch 2, Loss: 34.714107513427734, Train acc: 0.504, Validation acc: 0.468, Test acc: 0.524
Epoch 3, Loss: 34.75566864013672, Train acc: 0.504, Validation acc: 0.468, Test acc: 0.524
Epoch 4, Loss: 34.71364974975586, Train acc: 0.504, Validation acc: 0.468, Test acc: 0.524
Epoch 5, Loss: 34.69259262084961, Train acc: 0.504, Validation acc: 0.468, Test acc: 0.524
Epoch 6, Loss: 34.69481658935547, Train acc: 0.504, Validation acc: 0.468, Test acc: 0.524
Epoch 7, Loss: 34.676204681396484, Train acc: 0.504, Validation acc: 0.468, Test acc: 0.524
Epoch 8, Loss: 34.72030258178711, Train acc: 0.504, Validation acc: 0.468, Test acc: 0.524
Epoch 9, Loss: 34.65970230102539, Train acc: 0.504, Validation acc: 0.468, Test acc: 0.524
Epoch 10, Loss: 34.6953010559082, Train acc: 0.504, Validation acc: 0.468, Test acc: 0.524
Epoch 11, Loss: 34.68994903564453, Train acc: 0.504, Validation acc: 0.468, Test acc: 0.524
Epoch 12, Loss: 34.66413497924805, Train acc: 0.504, Validation acc: 0.468, Test acc: 0.524
Epoch 13, Loss: 34.66081619262695, Train acc: 0.504, Validation acc: 0.468, Test acc: 0.524
Epoch 14, Loss: 34.665931701660156, Train acc: 0.504, Validation acc: 0.468, Test acc: 0.524
Epoch 15, Loss: 34.663780212402344, Train acc: 0.504, Validation acc: 0.468, Test acc: 0.524
Epoch 16, Loss: 34.669002532958984, Train acc: 0.504, Validation acc: 0.468, Test acc: 0.524
Epoch 17, Loss: 34.669654846191406, Train acc: 0.504, Validation acc: 0.468, Test acc: 0.524
Epoch 18, Loss: 34.662559509277344, Train acc: 0.504, Validation acc: 0.468, Test acc: 0.524
Epoch 19, Loss: 34.657447814941406, Train acc: 0.504, Validation acc: 0.468, Test acc: 0.524
Epoch 20, Loss: 34.694828033447266, Train acc: 0.504, Validation acc: 0.468, Test acc: 0.524
Epoch 21, Loss: 34.66246795654297, Train acc: 0.504, Validation acc: 0.468, Test acc: 0.524
Epoch 22, Loss: 34.668846130371094, Train acc: 0.504, Validation acc: 0.468, Test acc: 0.524
Epoch 23, Loss: 34.6537971496582, Train acc: 0.504, Validation acc: 0.468, Test acc: 0.524
Epoch 24, Loss: 34.64963912963867, Train acc: 0.504, Validation acc: 0.468, Test acc: 0.524
Epoch 25, Loss: 34.64656448364258, Train acc: 0.504, Validation acc: 0.468, Test acc: 0.524
Epoch 26, Loss: 34.65252685546875, Train acc: 0.504, Validation acc: 0.468, Test acc: 0.524
Epoch 27, Loss: 34.64316177368164, Train acc: 0.504, Validation acc: 0.468, Test acc: 0.524
Epoch 28, Loss: 34.6559944152832, Train acc: 0.504, Validation acc: 0.468, Test acc: 0.524
Epoch 29, Loss: 34.63075637817383, Train acc: 0.504, Validation acc: 0.468, Test acc: 0.524
Epoch 30, Loss: 34.648590087890625, Train acc: 0.504, Validation acc: 0.468, Test acc: 0.524
Epoch 31, Loss: 34.64207458496094, Train acc: 0.504, Validation acc: 0.468, Test acc: 0.524
Epoch 32, Loss: 34.64202880859375, Train acc: 0.504, Validation acc: 0.468, Test acc: 0.524
Epoch 33, Loss: 34.64269256591797, Train acc: 0.504, Validation acc: 0.468, Test acc: 0.524
Epoch 34, Loss: 34.64611053466797, Train acc: 0.504, Validation acc: 0.468, Test acc: 0.524
Epoch 35, Loss: 34.63758850097656, Train acc: 0.504, Validation acc: 0.468, Test acc: 0.524
Epoch 36, Loss: 34.624176025390625, Train acc: 0.504, Validation acc: 0.468, Test acc: 0.524
Epoch 37, Loss: 34.62030792236328, Train acc: 0.504, Validation acc: 0.468, Test acc: 0.524
Epoch 38, Loss: 34.64640808105469, Train acc: 0.504, Validation acc: 0.468, Test acc: 0.524
Epoch 39, Loss: 34.624656677246094, Train acc: 0.504, Validation acc: 0.468, Test acc: 0.524
Epoch 40, Loss: 34.622276306152344, Train acc: 0.504, Validation acc: 0.468, Test acc: 0.524
Epoch 41, Loss: 34.627357482910156, Train acc: 0.504, Validation acc: 0.468, Test acc: 0.524
