Epoch 1, Loss: 34.848915100097656, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 2, Loss: 34.72087860107422, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 3, Loss: 34.688114166259766, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 4, Loss: 34.70451354980469, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 5, Loss: 34.67710494995117, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 6, Loss: 34.68195343017578, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 7, Loss: 34.67341232299805, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 8, Loss: 34.67708206176758, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 9, Loss: 34.67586898803711, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 10, Loss: 34.67121505737305, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 11, Loss: 34.696834564208984, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 12, Loss: 34.654178619384766, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 13, Loss: 34.66824722290039, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 14, Loss: 34.663394927978516, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 15, Loss: 34.665897369384766, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 16, Loss: 34.65592956542969, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 17, Loss: 34.66768264770508, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 18, Loss: 34.652870178222656, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 19, Loss: 34.67901611328125, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 20, Loss: 34.66224670410156, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 21, Loss: 34.668663024902344, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 22, Loss: 34.66058349609375, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 23, Loss: 34.684085845947266, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 24, Loss: 34.64249801635742, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 25, Loss: 34.643516540527344, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 26, Loss: 34.64595413208008, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 27, Loss: 34.642333984375, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 28, Loss: 34.641685485839844, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 29, Loss: 34.64119338989258, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 30, Loss: 34.63525390625, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 31, Loss: 34.648597717285156, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 32, Loss: 34.65241241455078, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 33, Loss: 34.63724899291992, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 34, Loss: 34.63981628417969, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 35, Loss: 34.6380615234375, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 36, Loss: 34.641727447509766, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 37, Loss: 34.637943267822266, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 38, Loss: 34.63322448730469, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 39, Loss: 34.63850021362305, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 40, Loss: 34.63105773925781, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 41, Loss: 34.641292572021484, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 42, Loss: 34.631168365478516, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 43, Loss: 34.63121795654297, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 44, Loss: 34.63325119018555, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 45, Loss: 34.636016845703125, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 46, Loss: 34.63078308105469, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 47, Loss: 34.63325500488281, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 48, Loss: 34.62447738647461, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 49, Loss: 34.62644958496094, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 50, Loss: 34.61687469482422, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 51, Loss: 34.63302230834961, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
Epoch 52, Loss: 34.61420440673828, Train acc: 0.51, Validation acc: 0.488, Test acc: 0.492
