Epoch 1, Loss: 34.675655364990234, Train acc: 0.51, Validation acc: 0.516, Test acc: 0.464
Epoch 2, Loss: 34.685752868652344, Train acc: 0.51, Validation acc: 0.516, Test acc: 0.464
Epoch 3, Loss: 34.68076705932617, Train acc: 0.51, Validation acc: 0.516, Test acc: 0.464
Epoch 4, Loss: 34.670589447021484, Train acc: 0.51, Validation acc: 0.516, Test acc: 0.464
Epoch 5, Loss: 34.66666030883789, Train acc: 0.51, Validation acc: 0.516, Test acc: 0.464
Epoch 6, Loss: 34.65653991699219, Train acc: 0.51, Validation acc: 0.516, Test acc: 0.464
Epoch 7, Loss: 34.65155792236328, Train acc: 0.51, Validation acc: 0.516, Test acc: 0.464
Epoch 8, Loss: 34.6622428894043, Train acc: 0.51, Validation acc: 0.516, Test acc: 0.464
Epoch 9, Loss: 34.67278289794922, Train acc: 0.51, Validation acc: 0.516, Test acc: 0.464
Epoch 10, Loss: 34.69866180419922, Train acc: 0.51, Validation acc: 0.516, Test acc: 0.464
Epoch 11, Loss: 34.641632080078125, Train acc: 0.51, Validation acc: 0.516, Test acc: 0.464
Epoch 12, Loss: 34.69275665283203, Train acc: 0.51, Validation acc: 0.516, Test acc: 0.464
Epoch 13, Loss: 34.70395278930664, Train acc: 0.51, Validation acc: 0.516, Test acc: 0.464
Epoch 14, Loss: 34.67796325683594, Train acc: 0.51, Validation acc: 0.516, Test acc: 0.464
Epoch 15, Loss: 34.658546447753906, Train acc: 0.51, Validation acc: 0.516, Test acc: 0.464
Epoch 16, Loss: 34.681602478027344, Train acc: 0.51, Validation acc: 0.516, Test acc: 0.464
Epoch 17, Loss: 34.644222259521484, Train acc: 0.51, Validation acc: 0.516, Test acc: 0.464
Epoch 18, Loss: 34.661319732666016, Train acc: 0.51, Validation acc: 0.516, Test acc: 0.464
Epoch 19, Loss: 34.663795471191406, Train acc: 0.51, Validation acc: 0.516, Test acc: 0.464
Epoch 20, Loss: 34.65270233154297, Train acc: 0.51, Validation acc: 0.516, Test acc: 0.464
Epoch 21, Loss: 34.63666534423828, Train acc: 0.51, Validation acc: 0.516, Test acc: 0.464
Epoch 22, Loss: 34.65336227416992, Train acc: 0.51, Validation acc: 0.516, Test acc: 0.464
Epoch 23, Loss: 34.716129302978516, Train acc: 0.51, Validation acc: 0.516, Test acc: 0.464
Epoch 24, Loss: 34.65794372558594, Train acc: 0.51, Validation acc: 0.516, Test acc: 0.464
Epoch 25, Loss: 34.65983581542969, Train acc: 0.51, Validation acc: 0.516, Test acc: 0.464
Epoch 26, Loss: 34.661102294921875, Train acc: 0.51, Validation acc: 0.516, Test acc: 0.464
Epoch 27, Loss: 34.640953063964844, Train acc: 0.51, Validation acc: 0.516, Test acc: 0.464
Epoch 28, Loss: 34.653297424316406, Train acc: 0.51, Validation acc: 0.516, Test acc: 0.464
Epoch 29, Loss: 34.642677307128906, Train acc: 0.51, Validation acc: 0.516, Test acc: 0.464
Epoch 30, Loss: 34.673194885253906, Train acc: 0.51, Validation acc: 0.516, Test acc: 0.464
Epoch 31, Loss: 34.65939712524414, Train acc: 0.51, Validation acc: 0.516, Test acc: 0.464
