Epoch 1, Loss: 34.69892501831055, Train acc: 0.526, Validation acc: 0.44, Test acc: 0.508
Epoch 2, Loss: 34.635311126708984, Train acc: 0.526, Validation acc: 0.44, Test acc: 0.508
Epoch 3, Loss: 34.63774108886719, Train acc: 0.526, Validation acc: 0.44, Test acc: 0.508
Epoch 4, Loss: 34.615013122558594, Train acc: 0.526, Validation acc: 0.44, Test acc: 0.508
Epoch 5, Loss: 34.61631393432617, Train acc: 0.526, Validation acc: 0.44, Test acc: 0.508
Epoch 6, Loss: 34.59962463378906, Train acc: 0.526, Validation acc: 0.44, Test acc: 0.508
Epoch 7, Loss: 34.59217071533203, Train acc: 0.526, Validation acc: 0.44, Test acc: 0.508
Epoch 8, Loss: 34.61030197143555, Train acc: 0.526, Validation acc: 0.44, Test acc: 0.508
Epoch 9, Loss: 34.65517807006836, Train acc: 0.526, Validation acc: 0.44, Test acc: 0.508
Epoch 10, Loss: 34.61548614501953, Train acc: 0.526, Validation acc: 0.44, Test acc: 0.508
Epoch 11, Loss: 34.60752487182617, Train acc: 0.526, Validation acc: 0.44, Test acc: 0.508
Epoch 12, Loss: 34.60064697265625, Train acc: 0.526, Validation acc: 0.44, Test acc: 0.508
Epoch 13, Loss: 34.6321907043457, Train acc: 0.526, Validation acc: 0.44, Test acc: 0.508
Epoch 14, Loss: 34.601314544677734, Train acc: 0.526, Validation acc: 0.44, Test acc: 0.508
Epoch 15, Loss: 34.6008415222168, Train acc: 0.526, Validation acc: 0.44, Test acc: 0.508
Epoch 16, Loss: 34.605411529541016, Train acc: 0.526, Validation acc: 0.44, Test acc: 0.508
Epoch 17, Loss: 34.60517120361328, Train acc: 0.526, Validation acc: 0.44, Test acc: 0.508
Epoch 18, Loss: 34.60663986206055, Train acc: 0.526, Validation acc: 0.44, Test acc: 0.508
Epoch 19, Loss: 34.583335876464844, Train acc: 0.526, Validation acc: 0.44, Test acc: 0.508
Epoch 20, Loss: 34.58232879638672, Train acc: 0.526, Validation acc: 0.44, Test acc: 0.508
Epoch 21, Loss: 34.574893951416016, Train acc: 0.526, Validation acc: 0.44, Test acc: 0.508
Epoch 22, Loss: 34.568878173828125, Train acc: 0.526, Validation acc: 0.44, Test acc: 0.508
Epoch 23, Loss: 34.572059631347656, Train acc: 0.526, Validation acc: 0.44, Test acc: 0.508
