Epoch 1, Loss: 35.456424713134766, Train acc: 0.484, Validation acc: 0.536, Test acc: 0.496
Epoch 2, Loss: 34.7668342590332, Train acc: 0.516, Validation acc: 0.464, Test acc: 0.504
Epoch 3, Loss: 34.7236442565918, Train acc: 0.516, Validation acc: 0.464, Test acc: 0.504
Epoch 4, Loss: 34.647186279296875, Train acc: 0.484, Validation acc: 0.536, Test acc: 0.496
Epoch 5, Loss: 34.79751968383789, Train acc: 0.484, Validation acc: 0.536, Test acc: 0.496
Epoch 6, Loss: 34.75530242919922, Train acc: 0.516, Validation acc: 0.464, Test acc: 0.504
Epoch 7, Loss: 34.71709060668945, Train acc: 0.516, Validation acc: 0.464, Test acc: 0.504
Epoch 8, Loss: 34.740386962890625, Train acc: 0.516, Validation acc: 0.464, Test acc: 0.504
Epoch 9, Loss: 34.603607177734375, Train acc: 0.516, Validation acc: 0.464, Test acc: 0.504
Epoch 10, Loss: 34.58793640136719, Train acc: 0.484, Validation acc: 0.536, Test acc: 0.496
Epoch 11, Loss: 34.748268127441406, Train acc: 0.516, Validation acc: 0.464, Test acc: 0.504
Epoch 12, Loss: 34.640052795410156, Train acc: 0.516, Validation acc: 0.464, Test acc: 0.504
Epoch 13, Loss: 34.69410705566406, Train acc: 0.516, Validation acc: 0.464, Test acc: 0.504
Epoch 14, Loss: 34.686065673828125, Train acc: 0.516, Validation acc: 0.464, Test acc: 0.504
Epoch 15, Loss: 34.6761360168457, Train acc: 0.484, Validation acc: 0.536, Test acc: 0.496
Epoch 16, Loss: 34.695560455322266, Train acc: 0.516, Validation acc: 0.464, Test acc: 0.504
Epoch 17, Loss: 34.7497673034668, Train acc: 0.484, Validation acc: 0.536, Test acc: 0.496
Epoch 18, Loss: 34.651268005371094, Train acc: 0.516, Validation acc: 0.464, Test acc: 0.504
Epoch 19, Loss: 34.66768264770508, Train acc: 0.516, Validation acc: 0.464, Test acc: 0.504
Epoch 20, Loss: 34.605621337890625, Train acc: 0.516, Validation acc: 0.464, Test acc: 0.504
Epoch 21, Loss: 34.68967819213867, Train acc: 0.516, Validation acc: 0.464, Test acc: 0.504
Epoch 22, Loss: 34.65153121948242, Train acc: 0.516, Validation acc: 0.464, Test acc: 0.504
Epoch 23, Loss: 34.5829963684082, Train acc: 0.516, Validation acc: 0.464, Test acc: 0.504
Epoch 24, Loss: 34.588592529296875, Train acc: 0.516, Validation acc: 0.464, Test acc: 0.504
Epoch 25, Loss: 34.613590240478516, Train acc: 0.516, Validation acc: 0.464, Test acc: 0.504
Epoch 26, Loss: 34.57168197631836, Train acc: 0.516, Validation acc: 0.464, Test acc: 0.504
Epoch 27, Loss: 34.58491134643555, Train acc: 0.516, Validation acc: 0.464, Test acc: 0.504
Epoch 28, Loss: 34.57463836669922, Train acc: 0.516, Validation acc: 0.464, Test acc: 0.504
Epoch 29, Loss: 34.5445556640625, Train acc: 0.516, Validation acc: 0.464, Test acc: 0.504
Epoch 30, Loss: 34.573856353759766, Train acc: 0.516, Validation acc: 0.464, Test acc: 0.504
Epoch 31, Loss: 34.59642028808594, Train acc: 0.516, Validation acc: 0.464, Test acc: 0.504
