Epoch 1, Loss: 34.76436233520508, Train acc: 0.48, Validation acc: 0.524, Test acc: 0.516
Epoch 2, Loss: 34.72652053833008, Train acc: 0.52, Validation acc: 0.476, Test acc: 0.484
Epoch 3, Loss: 34.64231872558594, Train acc: 0.52, Validation acc: 0.476, Test acc: 0.484
Epoch 4, Loss: 34.70454406738281, Train acc: 0.52, Validation acc: 0.476, Test acc: 0.484
Epoch 5, Loss: 34.67216873168945, Train acc: 0.52, Validation acc: 0.476, Test acc: 0.484
Epoch 6, Loss: 34.63613510131836, Train acc: 0.52, Validation acc: 0.476, Test acc: 0.484
Epoch 7, Loss: 34.68503952026367, Train acc: 0.52, Validation acc: 0.476, Test acc: 0.484
Epoch 8, Loss: 34.776363372802734, Train acc: 0.48, Validation acc: 0.524, Test acc: 0.516
Epoch 9, Loss: 34.69706726074219, Train acc: 0.52, Validation acc: 0.476, Test acc: 0.484
Epoch 10, Loss: 34.63730239868164, Train acc: 0.52, Validation acc: 0.476, Test acc: 0.484
Epoch 11, Loss: 34.64141845703125, Train acc: 0.52, Validation acc: 0.476, Test acc: 0.484
Epoch 12, Loss: 34.62932586669922, Train acc: 0.52, Validation acc: 0.476, Test acc: 0.484
Epoch 13, Loss: 34.63882827758789, Train acc: 0.52, Validation acc: 0.476, Test acc: 0.484
Epoch 14, Loss: 34.63029098510742, Train acc: 0.52, Validation acc: 0.476, Test acc: 0.484
Epoch 15, Loss: 34.65859603881836, Train acc: 0.52, Validation acc: 0.476, Test acc: 0.484
Epoch 16, Loss: 34.633907318115234, Train acc: 0.52, Validation acc: 0.476, Test acc: 0.484
Epoch 17, Loss: 34.64692306518555, Train acc: 0.52, Validation acc: 0.476, Test acc: 0.484
Epoch 18, Loss: 34.665687561035156, Train acc: 0.52, Validation acc: 0.476, Test acc: 0.484
Epoch 19, Loss: 34.65073776245117, Train acc: 0.52, Validation acc: 0.476, Test acc: 0.484
Epoch 20, Loss: 34.63759231567383, Train acc: 0.52, Validation acc: 0.476, Test acc: 0.484
Epoch 21, Loss: 34.6198844909668, Train acc: 0.52, Validation acc: 0.476, Test acc: 0.484
Epoch 22, Loss: 34.62055206298828, Train acc: 0.52, Validation acc: 0.476, Test acc: 0.484
Epoch 23, Loss: 34.60570526123047, Train acc: 0.52, Validation acc: 0.476, Test acc: 0.484
Epoch 24, Loss: 34.60891342163086, Train acc: 0.52, Validation acc: 0.476, Test acc: 0.484
Epoch 25, Loss: 34.68547821044922, Train acc: 0.52, Validation acc: 0.476, Test acc: 0.484
Epoch 26, Loss: 34.66682815551758, Train acc: 0.52, Validation acc: 0.476, Test acc: 0.484
Epoch 27, Loss: 34.63737869262695, Train acc: 0.52, Validation acc: 0.476, Test acc: 0.484
Epoch 28, Loss: 34.61055374145508, Train acc: 0.52, Validation acc: 0.476, Test acc: 0.484
Epoch 29, Loss: 34.59708023071289, Train acc: 0.52, Validation acc: 0.476, Test acc: 0.484
Epoch 30, Loss: 34.68956756591797, Train acc: 0.52, Validation acc: 0.476, Test acc: 0.484
Epoch 31, Loss: 34.61880874633789, Train acc: 0.52, Validation acc: 0.476, Test acc: 0.484
Epoch 32, Loss: 34.6434440612793, Train acc: 0.52, Validation acc: 0.476, Test acc: 0.484
Epoch 33, Loss: 34.61918640136719, Train acc: 0.52, Validation acc: 0.476, Test acc: 0.484
Epoch 34, Loss: 34.633480072021484, Train acc: 0.52, Validation acc: 0.476, Test acc: 0.484
Epoch 35, Loss: 34.61437225341797, Train acc: 0.52, Validation acc: 0.476, Test acc: 0.484
Epoch 36, Loss: 34.61601257324219, Train acc: 0.52, Validation acc: 0.476, Test acc: 0.484
Epoch 37, Loss: 34.57815170288086, Train acc: 0.52, Validation acc: 0.476, Test acc: 0.484
