Epoch 1, Loss: 34.79286575317383, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 2, Loss: 34.72673797607422, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 3, Loss: 34.69681167602539, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 4, Loss: 34.72661209106445, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 5, Loss: 34.686100006103516, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 6, Loss: 34.70241165161133, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 7, Loss: 34.66093826293945, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 8, Loss: 34.67098617553711, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 9, Loss: 34.80804443359375, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 10, Loss: 34.72006607055664, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 11, Loss: 34.68928909301758, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 12, Loss: 34.67195129394531, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 13, Loss: 34.67361831665039, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 14, Loss: 34.66481399536133, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 15, Loss: 34.674110412597656, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 16, Loss: 34.67033767700195, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 17, Loss: 34.66523361206055, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 18, Loss: 34.65843963623047, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 19, Loss: 34.65440368652344, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 20, Loss: 34.654212951660156, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 21, Loss: 34.6580924987793, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 22, Loss: 34.65445327758789, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 23, Loss: 34.65190505981445, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 24, Loss: 34.64862823486328, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 25, Loss: 34.65336608886719, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 26, Loss: 34.647216796875, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 27, Loss: 34.64598846435547, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 28, Loss: 34.64980697631836, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 29, Loss: 34.6565055847168, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 30, Loss: 34.64250564575195, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 31, Loss: 34.651702880859375, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 32, Loss: 34.65190505981445, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 33, Loss: 34.655052185058594, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 34, Loss: 34.65290832519531, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 35, Loss: 34.65250015258789, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 36, Loss: 34.64163589477539, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 37, Loss: 34.64375305175781, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 38, Loss: 34.658897399902344, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 39, Loss: 34.648921966552734, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 40, Loss: 34.65238952636719, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 41, Loss: 34.65156936645508, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 42, Loss: 34.65168380737305, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 43, Loss: 34.653099060058594, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 44, Loss: 34.64424133300781, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 45, Loss: 34.64265060424805, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 46, Loss: 34.64714813232422, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 47, Loss: 34.64244079589844, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 48, Loss: 34.6519889831543, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 49, Loss: 34.64398193359375, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 50, Loss: 34.64805603027344, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 51, Loss: 34.64875030517578, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 52, Loss: 34.63949203491211, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 53, Loss: 34.63865280151367, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 54, Loss: 34.6512565612793, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 55, Loss: 34.644554138183594, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 56, Loss: 34.648319244384766, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 57, Loss: 34.647464752197266, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 58, Loss: 34.65347671508789, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 59, Loss: 34.649654388427734, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 60, Loss: 34.64180374145508, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 61, Loss: 34.64606475830078, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 62, Loss: 34.646549224853516, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 63, Loss: 34.65593338012695, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 64, Loss: 34.64986801147461, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 65, Loss: 34.64733123779297, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 66, Loss: 34.648197174072266, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 67, Loss: 34.64963150024414, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 68, Loss: 34.63774490356445, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 69, Loss: 34.64657211303711, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 70, Loss: 34.64665603637695, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 71, Loss: 34.647647857666016, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
Epoch 72, Loss: 34.64867401123047, Train acc: 0.504, Validation acc: 0.5, Test acc: 0.492
