Epoch 1, Loss: 34.73820877075195, Train acc: 0.524, Validation acc: 0.436, Test acc: 0.516
Epoch 2, Loss: 34.63910675048828, Train acc: 0.524, Validation acc: 0.436, Test acc: 0.516
Epoch 3, Loss: 34.62427520751953, Train acc: 0.524, Validation acc: 0.436, Test acc: 0.516
Epoch 4, Loss: 34.63777160644531, Train acc: 0.524, Validation acc: 0.436, Test acc: 0.516
Epoch 5, Loss: 34.637996673583984, Train acc: 0.524, Validation acc: 0.436, Test acc: 0.516
Epoch 6, Loss: 34.59864807128906, Train acc: 0.524, Validation acc: 0.436, Test acc: 0.516
Epoch 7, Loss: 34.63811111450195, Train acc: 0.524, Validation acc: 0.436, Test acc: 0.516
Epoch 8, Loss: 34.65581512451172, Train acc: 0.524, Validation acc: 0.436, Test acc: 0.516
Epoch 9, Loss: 34.63797378540039, Train acc: 0.524, Validation acc: 0.436, Test acc: 0.516
Epoch 10, Loss: 34.59899139404297, Train acc: 0.524, Validation acc: 0.436, Test acc: 0.516
Epoch 11, Loss: 34.62254333496094, Train acc: 0.524, Validation acc: 0.436, Test acc: 0.516
Epoch 12, Loss: 34.606868743896484, Train acc: 0.524, Validation acc: 0.436, Test acc: 0.516
Epoch 13, Loss: 34.6316032409668, Train acc: 0.524, Validation acc: 0.436, Test acc: 0.516
Epoch 14, Loss: 34.62860107421875, Train acc: 0.524, Validation acc: 0.436, Test acc: 0.516
Epoch 15, Loss: 34.64013671875, Train acc: 0.524, Validation acc: 0.436, Test acc: 0.516
Epoch 16, Loss: 34.60676574707031, Train acc: 0.524, Validation acc: 0.436, Test acc: 0.516
Epoch 17, Loss: 34.617591857910156, Train acc: 0.524, Validation acc: 0.436, Test acc: 0.516
Epoch 18, Loss: 34.59814453125, Train acc: 0.524, Validation acc: 0.436, Test acc: 0.516
Epoch 19, Loss: 34.597801208496094, Train acc: 0.524, Validation acc: 0.436, Test acc: 0.516
Epoch 20, Loss: 34.600807189941406, Train acc: 0.524, Validation acc: 0.436, Test acc: 0.516
Epoch 21, Loss: 34.59416580200195, Train acc: 0.524, Validation acc: 0.436, Test acc: 0.516
Epoch 22, Loss: 34.594276428222656, Train acc: 0.524, Validation acc: 0.436, Test acc: 0.516
Epoch 23, Loss: 34.5905876159668, Train acc: 0.524, Validation acc: 0.436, Test acc: 0.516
Epoch 24, Loss: 34.593318939208984, Train acc: 0.524, Validation acc: 0.436, Test acc: 0.516
Epoch 25, Loss: 34.58890151977539, Train acc: 0.524, Validation acc: 0.436, Test acc: 0.516
Epoch 26, Loss: 34.584407806396484, Train acc: 0.524, Validation acc: 0.436, Test acc: 0.516
Epoch 27, Loss: 34.59858322143555, Train acc: 0.524, Validation acc: 0.436, Test acc: 0.516
Epoch 28, Loss: 34.58708572387695, Train acc: 0.524, Validation acc: 0.436, Test acc: 0.516
Epoch 29, Loss: 34.59100341796875, Train acc: 0.524, Validation acc: 0.436, Test acc: 0.516
Epoch 30, Loss: 34.59585952758789, Train acc: 0.524, Validation acc: 0.436, Test acc: 0.516
Epoch 31, Loss: 34.572025299072266, Train acc: 0.524, Validation acc: 0.436, Test acc: 0.516
Epoch 32, Loss: 34.59223556518555, Train acc: 0.524, Validation acc: 0.436, Test acc: 0.516
Epoch 33, Loss: 34.59562683105469, Train acc: 0.524, Validation acc: 0.436, Test acc: 0.516
