Epoch 1, Loss: 34.7177734375, Train acc: 0.504, Validation acc: 0.516, Test acc: 0.476
Epoch 2, Loss: 34.664222717285156, Train acc: 0.496, Validation acc: 0.484, Test acc: 0.524
Epoch 3, Loss: 34.68138885498047, Train acc: 0.504, Validation acc: 0.516, Test acc: 0.476
Epoch 4, Loss: 34.68568420410156, Train acc: 0.504, Validation acc: 0.516, Test acc: 0.476
Epoch 5, Loss: 34.67825698852539, Train acc: 0.504, Validation acc: 0.516, Test acc: 0.476
Epoch 6, Loss: 34.6689567565918, Train acc: 0.504, Validation acc: 0.516, Test acc: 0.476
Epoch 7, Loss: 34.68948745727539, Train acc: 0.504, Validation acc: 0.516, Test acc: 0.476
Epoch 8, Loss: 34.679351806640625, Train acc: 0.504, Validation acc: 0.516, Test acc: 0.476
Epoch 9, Loss: 34.690948486328125, Train acc: 0.504, Validation acc: 0.516, Test acc: 0.476
Epoch 10, Loss: 34.666168212890625, Train acc: 0.496, Validation acc: 0.484, Test acc: 0.524
Epoch 11, Loss: 34.695865631103516, Train acc: 0.504, Validation acc: 0.516, Test acc: 0.476
Epoch 12, Loss: 34.68548583984375, Train acc: 0.496, Validation acc: 0.484, Test acc: 0.524
Epoch 13, Loss: 34.694541931152344, Train acc: 0.496, Validation acc: 0.484, Test acc: 0.524
Epoch 14, Loss: 34.67388916015625, Train acc: 0.496, Validation acc: 0.484, Test acc: 0.524
Epoch 15, Loss: 34.644309997558594, Train acc: 0.496, Validation acc: 0.484, Test acc: 0.524
Epoch 16, Loss: 34.64558029174805, Train acc: 0.504, Validation acc: 0.516, Test acc: 0.476
Epoch 17, Loss: 34.64665222167969, Train acc: 0.504, Validation acc: 0.516, Test acc: 0.476
Epoch 18, Loss: 34.65524673461914, Train acc: 0.504, Validation acc: 0.516, Test acc: 0.476
Epoch 19, Loss: 34.655113220214844, Train acc: 0.504, Validation acc: 0.516, Test acc: 0.476
Epoch 20, Loss: 34.64073181152344, Train acc: 0.504, Validation acc: 0.516, Test acc: 0.476
Epoch 21, Loss: 34.64491271972656, Train acc: 0.504, Validation acc: 0.516, Test acc: 0.476
