Epoch 1, Loss: 34.70899963378906, Train acc: 0.486, Validation acc: 0.44, Test acc: 0.588
Epoch 2, Loss: 34.675254821777344, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
Epoch 3, Loss: 34.674644470214844, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
Epoch 4, Loss: 34.654136657714844, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
Epoch 5, Loss: 34.64911651611328, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
Epoch 6, Loss: 34.644718170166016, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
Epoch 7, Loss: 34.6435546875, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
Epoch 8, Loss: 34.648502349853516, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
Epoch 9, Loss: 34.656917572021484, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
Epoch 10, Loss: 34.6468505859375, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
Epoch 11, Loss: 34.644798278808594, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
Epoch 12, Loss: 34.64987564086914, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
Epoch 13, Loss: 34.66115951538086, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
Epoch 14, Loss: 34.65471649169922, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
Epoch 15, Loss: 34.636863708496094, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
Epoch 16, Loss: 34.6643180847168, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
Epoch 17, Loss: 34.64664077758789, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
Epoch 18, Loss: 34.66102600097656, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
Epoch 19, Loss: 34.64893341064453, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
Epoch 20, Loss: 34.650352478027344, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
Epoch 21, Loss: 34.65044403076172, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
Epoch 22, Loss: 34.62606430053711, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
Epoch 23, Loss: 34.67266082763672, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
Epoch 24, Loss: 34.669029235839844, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
Epoch 25, Loss: 34.637176513671875, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
Epoch 26, Loss: 34.63920593261719, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
Epoch 27, Loss: 34.644920349121094, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
Epoch 28, Loss: 34.6464958190918, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
Epoch 29, Loss: 34.637840270996094, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
Epoch 30, Loss: 34.66350173950195, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
Epoch 31, Loss: 34.63557815551758, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
Epoch 32, Loss: 34.64004898071289, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
Epoch 33, Loss: 34.66044235229492, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
Epoch 34, Loss: 34.62192153930664, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
Epoch 35, Loss: 34.6233024597168, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
Epoch 36, Loss: 34.62469482421875, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
Epoch 37, Loss: 34.59691619873047, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
Epoch 38, Loss: 34.587825775146484, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
Epoch 39, Loss: 34.61137008666992, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
Epoch 40, Loss: 34.559791564941406, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
Epoch 41, Loss: 34.57487869262695, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
Epoch 42, Loss: 34.558815002441406, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
Epoch 43, Loss: 34.515724182128906, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
Epoch 44, Loss: 34.583621978759766, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
Epoch 45, Loss: 34.53999710083008, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
Epoch 46, Loss: 34.48002624511719, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
Epoch 47, Loss: 34.4690055847168, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
Epoch 48, Loss: 34.472190856933594, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
Epoch 49, Loss: 34.461055755615234, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
Epoch 50, Loss: 34.480472564697266, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
Epoch 51, Loss: 34.5155143737793, Train acc: 0.514, Validation acc: 0.56, Test acc: 0.412
