Epoch 1, Loss: 2443.9130859375, Train acc: -0.31067606806755066, Validation acc: -0.3140158951282501, Test acc: -0.30946311354637146
Epoch 2, Loss: 2408.301025390625, Train acc: -0.30933746695518494, Validation acc: -0.3132586181163788, Test acc: -0.30816495418548584
Epoch 3, Loss: 2405.772705078125, Train acc: -0.31109750270843506, Validation acc: -0.31441646814346313, Test acc: -0.31005236506462097
Epoch 4, Loss: 2406.1103515625, Train acc: -0.3088896870613098, Validation acc: -0.31222543120384216, Test acc: -0.3077928423881531
Epoch 5, Loss: 2402.57763671875, Train acc: -0.3072962760925293, Validation acc: -0.31151774525642395, Test acc: -0.3061084449291229
Epoch 6, Loss: 2368.502197265625, Train acc: -0.30490806698799133, Validation acc: -0.30849653482437134, Test acc: -0.3036843240261078
Epoch 7, Loss: 2342.06201171875, Train acc: -0.29844364523887634, Validation acc: -0.30365195870399475, Test acc: -0.29776468873023987
Epoch 8, Loss: 2319.8056640625, Train acc: -0.2951374650001526, Validation acc: -0.30048006772994995, Test acc: -0.2941311001777649
Epoch 9, Loss: 2281.3095703125, Train acc: -0.2921734154224396, Validation acc: -0.2985802888870239, Test acc: -0.29154515266418457
Epoch 10, Loss: 2246.047607421875, Train acc: -0.28900763392448425, Validation acc: -0.2943122088909149, Test acc: -0.2885171175003052
Epoch 11, Loss: 2232.462646484375, Train acc: -0.28230202198028564, Validation acc: -0.28778207302093506, Test acc: -0.2816896140575409
Epoch 12, Loss: 2226.97802734375, Train acc: -0.28296783566474915, Validation acc: -0.2877945303916931, Test acc: -0.28203195333480835
Epoch 13, Loss: 2215.734619140625, Train acc: -0.2805878818035126, Validation acc: -0.28574705123901367, Test acc: -0.27952468395233154
Epoch 14, Loss: 2207.254150390625, Train acc: -0.27949127554893494, Validation acc: -0.2847444415092468, Test acc: -0.27879443764686584
Epoch 15, Loss: 2203.53515625, Train acc: -0.2804226875305176, Validation acc: -0.2865682542324066, Test acc: -0.2795141041278839
Epoch 16, Loss: 2193.841552734375, Train acc: -0.2857825756072998, Validation acc: -0.2922240197658539, Test acc: -0.28493252396583557
Epoch 17, Loss: 2191.9814453125, Train acc: -0.27727171778678894, Validation acc: -0.28241991996765137, Test acc: -0.27651432156562805
Epoch 18, Loss: 2183.750732421875, Train acc: -0.2795080244541168, Validation acc: -0.2847531735897064, Test acc: -0.27808862924575806
Epoch 19, Loss: 2182.97802734375, Train acc: -0.27806198596954346, Validation acc: -0.2829146683216095, Test acc: -0.27678823471069336
Epoch 20, Loss: 2185.293701171875, Train acc: -0.2778538763523102, Validation acc: -0.2830554246902466, Test acc: -0.2768101990222931
Epoch 21, Loss: 2173.88330078125, Train acc: -0.2767626941204071, Validation acc: -0.2819931209087372, Test acc: -0.27619603276252747
Epoch 22, Loss: 2167.143310546875, Train acc: -0.27378758788108826, Validation acc: -0.2802737057209015, Test acc: -0.2731929421424866
Epoch 23, Loss: 2165.64453125, Train acc: -0.27435892820358276, Validation acc: -0.2803053855895996, Test acc: -0.27307653427124023
Epoch 24, Loss: 2157.395263671875, Train acc: -0.2872222661972046, Validation acc: -0.2918037474155426, Test acc: -0.2863490879535675
Epoch 25, Loss: 2159.12646484375, Train acc: -0.2739182412624359, Validation acc: -0.27927520871162415, Test acc: -0.272833913564682
Epoch 26, Loss: 2158.107666015625, Train acc: -0.27372467517852783, Validation acc: -0.27935177087783813, Test acc: -0.2731153070926666
Epoch 27, Loss: 2147.484375, Train acc: -0.2734009623527527, Validation acc: -0.27998095750808716, Test acc: -0.2725925147533417
Epoch 28, Loss: 2151.407470703125, Train acc: -0.2706189751625061, Validation acc: -0.2772623896598816, Test acc: -0.2699478268623352
Epoch 29, Loss: 2144.2099609375, Train acc: -0.27011626958847046, Validation acc: -0.27603307366371155, Test acc: -0.2688613533973694
Epoch 30, Loss: 2130.3017578125, Train acc: -0.27230948209762573, Validation acc: -0.2788064181804657, Test acc: -0.27136582136154175
Epoch 31, Loss: 2122.6591796875, Train acc: -0.2699691355228424, Validation acc: -0.27605628967285156, Test acc: -0.2692090570926666
Epoch 32, Loss: 2124.85791015625, Train acc: -0.2669076919555664, Validation acc: -0.2723623812198639, Test acc: -0.2663134038448334
