Epoch 1, Loss: 2431.05224609375, Train acc: -0.31120458245277405, Validation acc: -0.3128035068511963, Test acc: -0.31077027320861816
Epoch 2, Loss: 2410.418212890625, Train acc: -0.30963388085365295, Validation acc: -0.31131988763809204, Test acc: -0.3093150854110718
Epoch 3, Loss: 2411.025390625, Train acc: -0.30915725231170654, Validation acc: -0.3106151521205902, Test acc: -0.3088389039039612
Epoch 4, Loss: 2407.5224609375, Train acc: -0.3086823523044586, Validation acc: -0.30987685918807983, Test acc: -0.3086865246295929
Epoch 5, Loss: 2383.207763671875, Train acc: -0.30341964960098267, Validation acc: -0.3048596680164337, Test acc: -0.3026278018951416
Epoch 6, Loss: 2332.328125, Train acc: -0.2941608726978302, Validation acc: -0.2964327335357666, Test acc: -0.2939310371875763
Epoch 7, Loss: 2276.3369140625, Train acc: -0.2871299684047699, Validation acc: -0.29026636481285095, Test acc: -0.28686872124671936
Epoch 8, Loss: 2252.29345703125, Train acc: -0.2895745038986206, Validation acc: -0.29315879940986633, Test acc: -0.2886849343776703
Epoch 9, Loss: 2231.2978515625, Train acc: -0.2840963304042816, Validation acc: -0.2873438894748688, Test acc: -0.2837486267089844
Epoch 10, Loss: 2223.875, Train acc: -0.2842327952384949, Validation acc: -0.2874932885169983, Test acc: -0.2845512330532074
Epoch 11, Loss: 2212.12255859375, Train acc: -0.2820088565349579, Validation acc: -0.2851586639881134, Test acc: -0.28197935223579407
Epoch 12, Loss: 2206.88818359375, Train acc: -0.2825252413749695, Validation acc: -0.286172091960907, Test acc: -0.28205499053001404
Epoch 13, Loss: 2203.04541015625, Train acc: -0.27972638607025146, Validation acc: -0.2838861346244812, Test acc: -0.28027579188346863
Epoch 14, Loss: 2206.75537109375, Train acc: -0.28135421872138977, Validation acc: -0.2846547067165375, Test acc: -0.281055748462677
Epoch 15, Loss: 2195.70068359375, Train acc: -0.2789556682109833, Validation acc: -0.2819772958755493, Test acc: -0.2785525918006897
Epoch 16, Loss: 2197.715087890625, Train acc: -0.2783622145652771, Validation acc: -0.28155672550201416, Test acc: -0.27874478697776794
Epoch 17, Loss: 2189.33642578125, Train acc: -0.2793220281600952, Validation acc: -0.2821471393108368, Test acc: -0.27887997031211853
Epoch 18, Loss: 2191.31689453125, Train acc: -0.27865976095199585, Validation acc: -0.28212544322013855, Test acc: -0.2787809371948242
Epoch 19, Loss: 2183.12451171875, Train acc: -0.2773544192314148, Validation acc: -0.2808394134044647, Test acc: -0.2778814136981964
Epoch 20, Loss: 2180.318359375, Train acc: -0.2787914574146271, Validation acc: -0.2817148268222809, Test acc: -0.2787459194660187
Epoch 21, Loss: 2175.689697265625, Train acc: -0.28308793902397156, Validation acc: -0.2866525650024414, Test acc: -0.2834475636482239
Epoch 22, Loss: 2173.50634765625, Train acc: -0.2777445614337921, Validation acc: -0.2802271544933319, Test acc: -0.2784624397754669
Epoch 23, Loss: 2169.89990234375, Train acc: -0.2768990695476532, Validation acc: -0.27925193309783936, Test acc: -0.27629029750823975
Epoch 24, Loss: 2170.304931640625, Train acc: -0.2803460657596588, Validation acc: -0.2828490436077118, Test acc: -0.27956658601760864
Epoch 25, Loss: 2165.4990234375, Train acc: -0.27604252099990845, Validation acc: -0.27881869673728943, Test acc: -0.27697455883026123
Epoch 26, Loss: 2158.01220703125, Train acc: -0.28300052881240845, Validation acc: -0.2858455777168274, Test acc: -0.28181442618370056
Epoch 27, Loss: 2156.2685546875, Train acc: -0.2763550877571106, Validation acc: -0.27891644835472107, Test acc: -0.27580976486206055
Epoch 28, Loss: 2155.0029296875, Train acc: -0.2755850851535797, Validation acc: -0.2782312035560608, Test acc: -0.2754639685153961
Epoch 29, Loss: 2151.859619140625, Train acc: -0.2749212682247162, Validation acc: -0.27824243903160095, Test acc: -0.2747358977794647
Epoch 30, Loss: 2150.420166015625, Train acc: -0.2732119560241699, Validation acc: -0.2762819230556488, Test acc: -0.27388879656791687
Epoch 31, Loss: 2143.044189453125, Train acc: -0.2736479341983795, Validation acc: -0.2771074175834656, Test acc: -0.2739509642124176
Epoch 32, Loss: 2140.19921875, Train acc: -0.27029943466186523, Validation acc: -0.27329304814338684, Test acc: -0.270860880613327
Epoch 33, Loss: 2133.89111328125, Train acc: -0.27211496233940125, Validation acc: -0.2760448157787323, Test acc: -0.2741292417049408
Epoch 34, Loss: 2136.7734375, Train acc: -0.2698213756084442, Validation acc: -0.2729463577270508, Test acc: -0.2705536484718323
Epoch 35, Loss: 2136.674072265625, Train acc: -0.2679276168346405, Validation acc: -0.2715257406234741, Test acc: -0.26919376850128174
Epoch 36, Loss: 2125.13818359375, Train acc: -0.2666730284690857, Validation acc: -0.27047741413116455, Test acc: -0.26715555787086487
Epoch 37, Loss: 2132.06591796875, Train acc: -0.2686605751514435, Validation acc: -0.27258601784706116, Test acc: -0.26961883902549744
Epoch 38, Loss: 2117.346435546875, Train acc: -0.26645129919052124, Validation acc: -0.2707233428955078, Test acc: -0.2678443193435669
Epoch 39, Loss: 2116.20068359375, Train acc: -0.26755982637405396, Validation acc: -0.2709645926952362, Test acc: -0.268643319606781
Epoch 40, Loss: 2114.60498046875, Train acc: -0.2695535719394684, Validation acc: -0.27290552854537964, Test acc: -0.2699156701564789
Epoch 41, Loss: 2120.42626953125, Train acc: -0.2732653021812439, Validation acc: -0.27595949172973633, Test acc: -0.2743798494338989
Epoch 42, Loss: 2103.757080078125, Train acc: -0.2630327343940735, Validation acc: -0.2671593129634857, Test acc: -0.26371628046035767
Epoch 43, Loss: 2103.3251953125, Train acc: -0.2637578248977661, Validation acc: -0.2663729786872864, Test acc: -0.26401185989379883
Epoch 44, Loss: 2102.163330078125, Train acc: -0.26212090253829956, Validation acc: -0.2657860815525055, Test acc: -0.2623852491378784
Epoch 45, Loss: 2089.859375, Train acc: -0.2651679813861847, Validation acc: -0.26911887526512146, Test acc: -0.26544421911239624
Epoch 46, Loss: 2092.069091796875, Train acc: -0.2645740211009979, Validation acc: -0.2682153284549713, Test acc: -0.26544126868247986
Epoch 47, Loss: 2087.26416015625, Train acc: -0.26345616579055786, Validation acc: -0.26780369877815247, Test acc: -0.2631807029247284
Epoch 48, Loss: 2070.002685546875, Train acc: -0.26170605421066284, Validation acc: -0.26617610454559326, Test acc: -0.26293277740478516
Epoch 49, Loss: 2088.3212890625, Train acc: -0.2640587389469147, Validation acc: -0.2674439549446106, Test acc: -0.26393672823905945
Epoch 50, Loss: 2075.766845703125, Train acc: -0.2658415734767914, Validation acc: -0.26912733912467957, Test acc: -0.26559433341026306
Epoch 51, Loss: 2075.70166015625, Train acc: -0.26041465997695923, Validation acc: -0.2643163204193115, Test acc: -0.2613377273082733
Epoch 52, Loss: 2077.58935546875, Train acc: -0.2591020464897156, Validation acc: -0.2627953588962555, Test acc: -0.2594887316226959
Epoch 53, Loss: 2071.86669921875, Train acc: -0.2585660219192505, Validation acc: -0.26216721534729004, Test acc: -0.25862252712249756
Epoch 54, Loss: 2065.99169921875, Train acc: -0.2560493052005768, Validation acc: -0.25986650586128235, Test acc: -0.2575129270553589
Epoch 55, Loss: 2058.419921875, Train acc: -0.2590559422969818, Validation acc: -0.26270022988319397, Test acc: -0.25879421830177307
Epoch 56, Loss: 2062.632568359375, Train acc: -0.25597214698791504, Validation acc: -0.2600241005420685, Test acc: -0.25712817907333374
Epoch 57, Loss: 2043.8448486328125, Train acc: -0.26079806685447693, Validation acc: -0.2649717330932617, Test acc: -0.26351627707481384
Epoch 58, Loss: 2052.509521484375, Train acc: -0.2546743154525757, Validation acc: -0.2584420442581177, Test acc: -0.2552267014980316
Epoch 59, Loss: 2046.287841796875, Train acc: -0.25618264079093933, Validation acc: -0.2599307596683502, Test acc: -0.2574782371520996
Epoch 60, Loss: 2041.53173828125, Train acc: -0.25539472699165344, Validation acc: -0.26068857312202454, Test acc: -0.2560766339302063
Epoch 61, Loss: 2034.75732421875, Train acc: -0.25470614433288574, Validation acc: -0.25836700201034546, Test acc: -0.2560012638568878
Epoch 62, Loss: 2040.0574951171875, Train acc: -0.2547147870063782, Validation acc: -0.25898393988609314, Test acc: -0.2564704716205597
Epoch 63, Loss: 2041.8145751953125, Train acc: -0.2535078227519989, Validation acc: -0.25872671604156494, Test acc: -0.25552454590797424
Epoch 64, Loss: 2021.9541015625, Train acc: -0.2532040476799011, Validation acc: -0.2576267123222351, Test acc: -0.2551458179950714
Epoch 65, Loss: 2025.154541015625, Train acc: -0.25267794728279114, Validation acc: -0.2568197250366211, Test acc: -0.25434449315071106
Epoch 66, Loss: 2020.2496337890625, Train acc: -0.2524794042110443, Validation acc: -0.2567291557788849, Test acc: -0.25485512614250183
Epoch 67, Loss: 2018.5655517578125, Train acc: -0.25819143652915955, Validation acc: -0.2619595229625702, Test acc: -0.259610116481781
Epoch 68, Loss: 2017.270751953125, Train acc: -0.25158706307411194, Validation acc: -0.2553098499774933, Test acc: -0.2538178861141205
Epoch 69, Loss: 2007.52880859375, Train acc: -0.24970199167728424, Validation acc: -0.25382211804389954, Test acc: -0.25126776099205017
Epoch 70, Loss: 2011.3726806640625, Train acc: -0.2512091100215912, Validation acc: -0.2547028362751007, Test acc: -0.2536267340183258
Epoch 71, Loss: 2004.7589111328125, Train acc: -0.24970385432243347, Validation acc: -0.25440922379493713, Test acc: -0.2521760165691376
Epoch 72, Loss: 1999.6292724609375, Train acc: -0.24808688461780548, Validation acc: -0.2530432343482971, Test acc: -0.25088798999786377
Epoch 73, Loss: 2002.712646484375, Train acc: -0.24908997118473053, Validation acc: -0.25278621912002563, Test acc: -0.25080692768096924
Epoch 74, Loss: 1998.7413330078125, Train acc: -0.24737809598445892, Validation acc: -0.25237229466438293, Test acc: -0.250001460313797
Epoch 75, Loss: 1991.3616943359375, Train acc: -0.2473212629556656, Validation acc: -0.25229910016059875, Test acc: -0.2501148283481598
Epoch 76, Loss: 1995.371826171875, Train acc: -0.248703271150589, Validation acc: -0.2534225881099701, Test acc: -0.25189459323883057
Epoch 77, Loss: 1994.3599853515625, Train acc: -0.2498132735490799, Validation acc: -0.25496503710746765, Test acc: -0.25199487805366516
Epoch 78, Loss: 1981.697021484375, Train acc: -0.24768806993961334, Validation acc: -0.2528984546661377, Test acc: -0.25153955817222595
Epoch 79, Loss: 1990.7718505859375, Train acc: -0.25009429454803467, Validation acc: -0.2553265690803528, Test acc: -0.25308865308761597
