Epoch 1, Loss: 2446.92919921875, Train acc: -0.3128345310688019, Validation acc: -0.31081780791282654, Test acc: -0.30665552616119385
Epoch 2, Loss: 2431.33447265625, Train acc: -0.31360095739364624, Validation acc: -0.3124252259731293, Test acc: -0.3066353499889374
Epoch 3, Loss: 2425.357421875, Train acc: -0.31273549795150757, Validation acc: -0.31089338660240173, Test acc: -0.30652934312820435
Epoch 4, Loss: 2388.184814453125, Train acc: -0.30625641345977783, Validation acc: -0.30489423871040344, Test acc: -0.3001716136932373
Epoch 5, Loss: 2359.5947265625, Train acc: -0.3009334206581116, Validation acc: -0.2992263436317444, Test acc: -0.2962043285369873
Epoch 6, Loss: 2331.189453125, Train acc: -0.2977161109447479, Validation acc: -0.2955804169178009, Test acc: -0.2924546003341675
Epoch 7, Loss: 2321.10205078125, Train acc: -0.29673710465431213, Validation acc: -0.29551154375076294, Test acc: -0.2915700674057007
Epoch 8, Loss: 2280.49267578125, Train acc: -0.29256317019462585, Validation acc: -0.2900676727294922, Test acc: -0.287467896938324
Epoch 9, Loss: 2248.19775390625, Train acc: -0.28603559732437134, Validation acc: -0.2835591435432434, Test acc: -0.28087544441223145
Epoch 10, Loss: 2235.815185546875, Train acc: -0.28560352325439453, Validation acc: -0.28370290994644165, Test acc: -0.2806052565574646
Epoch 11, Loss: 2227.89599609375, Train acc: -0.28357064723968506, Validation acc: -0.2806719243526459, Test acc: -0.27767476439476013
Epoch 12, Loss: 2215.65966796875, Train acc: -0.2802472412586212, Validation acc: -0.27800965309143066, Test acc: -0.2749060094356537
Epoch 13, Loss: 2211.195068359375, Train acc: -0.28573283553123474, Validation acc: -0.28295576572418213, Test acc: -0.28059646487236023
Epoch 14, Loss: 2203.521484375, Train acc: -0.28253036737442017, Validation acc: -0.28042033314704895, Test acc: -0.277969628572464
Epoch 15, Loss: 2198.845458984375, Train acc: -0.27793946862220764, Validation acc: -0.27517229318618774, Test acc: -0.27229562401771545
Epoch 16, Loss: 2195.450439453125, Train acc: -0.2774603068828583, Validation acc: -0.2750076651573181, Test acc: -0.2727881669998169
Epoch 17, Loss: 2191.381591796875, Train acc: -0.27692967653274536, Validation acc: -0.27458301186561584, Test acc: -0.27157148718833923
Epoch 18, Loss: 2191.225341796875, Train acc: -0.27852681279182434, Validation acc: -0.2755446434020996, Test acc: -0.27240458130836487
Epoch 19, Loss: 2185.63818359375, Train acc: -0.2793429493904114, Validation acc: -0.2767150104045868, Test acc: -0.2745368778705597
Epoch 20, Loss: 2176.9091796875, Train acc: -0.2750861942768097, Validation acc: -0.27239227294921875, Test acc: -0.2704761326313019
Epoch 21, Loss: 2177.8076171875, Train acc: -0.2737831175327301, Validation acc: -0.2711767852306366, Test acc: -0.26851120591163635
Epoch 22, Loss: 2169.13916015625, Train acc: -0.2741606831550598, Validation acc: -0.27210840582847595, Test acc: -0.2694416642189026
Epoch 23, Loss: 2165.962890625, Train acc: -0.27533143758773804, Validation acc: -0.27284330129623413, Test acc: -0.2703791856765747
Epoch 24, Loss: 2158.5048828125, Train acc: -0.27057915925979614, Validation acc: -0.2677758038043976, Test acc: -0.2654447555541992
Epoch 25, Loss: 2148.2685546875, Train acc: -0.273788183927536, Validation acc: -0.27092328667640686, Test acc: -0.26854732632637024
Epoch 26, Loss: 2144.71875, Train acc: -0.273092657327652, Validation acc: -0.2705700397491455, Test acc: -0.26820313930511475
Epoch 27, Loss: 2139.559326171875, Train acc: -0.2692016065120697, Validation acc: -0.2664514482021332, Test acc: -0.26337093114852905
Epoch 28, Loss: 2135.885498046875, Train acc: -0.2710949778556824, Validation acc: -0.26834407448768616, Test acc: -0.2651897668838501
Epoch 29, Loss: 2136.924072265625, Train acc: -0.2695471942424774, Validation acc: -0.266644150018692, Test acc: -0.26304489374160767
Epoch 30, Loss: 2127.845458984375, Train acc: -0.2703718841075897, Validation acc: -0.26789119839668274, Test acc: -0.2648300230503082
Epoch 31, Loss: 2123.28564453125, Train acc: -0.26785627007484436, Validation acc: -0.26654350757598877, Test acc: -0.26235294342041016
Epoch 32, Loss: 2123.6826171875, Train acc: -0.26939141750335693, Validation acc: -0.2673516273498535, Test acc: -0.26391106843948364
Epoch 33, Loss: 2113.637939453125, Train acc: -0.2640053927898407, Validation acc: -0.2615189254283905, Test acc: -0.2573900520801544
