self.test_dataset is None. Custom split for Peptides will be used.
Epoch 1, Train mae: 0.6396905793159567, Validation mae: 0.6253570735786975, Test mae: 0.6420964150789826
Epoch 2, Train mae: 0.6378533951187818, Validation mae: 0.6232033473439914, Test mae: 0.6399053720280317
Epoch 3, Train mae: 0.6318871757478292, Validation mae: 0.6172998652137026, Test mae: 0.633816669601987
Epoch 4, Train mae: 0.5905087445879293, Validation mae: 0.5779655767274691, Test mae: 0.5942043293857207
Epoch 5, Train mae: 0.5742898647714799, Validation mae: 0.5616323577646839, Test mae: 0.5811691577472384
Epoch 6, Train mae: 0.5611579837492525, Validation mae: 0.5504083006691902, Test mae: 0.5673362875332499
Epoch 7, Train mae: 0.5542550394838324, Validation mae: 0.5429877055299891, Test mae: 0.5605899301377145
Epoch 8, Train mae: 0.5525979423527335, Validation mae: 0.5418169589474292, Test mae: 0.5589668760479698
Epoch 9, Train mae: 0.551987604240063, Validation mae: 0.5402069970012887, Test mae: 0.5571725299459627
Epoch 10, Train mae: 0.5460053769379763, Validation mae: 0.5367123646727963, Test mae: 0.5555660452570643
Epoch 11, Train mae: 0.5354443173405, Validation mae: 0.5257983288249454, Test mae: 0.5435650147679844
Epoch 12, Train mae: 0.5465508776328102, Validation mae: 0.5355934090033359, Test mae: 0.5568143308341682
Epoch 13, Train mae: 0.544193496093857, Validation mae: 0.5351833767105407, Test mae: 0.5545473705540906
Epoch 14, Train mae: 0.5391250935712997, Validation mae: 0.5304976575546436, Test mae: 0.5501283075307276
Epoch 15, Train mae: 0.5284266813905634, Validation mae: 0.5183070905727156, Test mae: 0.5381997539883568
Epoch 16, Train mae: 0.5168704163520544, Validation mae: 0.5056487778541306, Test mae: 0.5246344332350318
Epoch 17, Train mae: 0.5278211083959702, Validation mae: 0.516553267267629, Test mae: 0.539507621273571
Epoch 18, Train mae: 0.5210150241122714, Validation mae: 0.5111860387931817, Test mae: 0.5320205782959258
Epoch 19, Train mae: 0.516547817998282, Validation mae: 0.5060684726709769, Test mae: 0.5264190793651105
Epoch 20, Train mae: 0.5010812099412143, Validation mae: 0.48893562410584546, Test mae: 0.5119460620296099
Epoch 21, Train mae: 0.5139227008727484, Validation mae: 0.5018566575545397, Test mae: 0.5233768752233914
Epoch 22, Train mae: 0.5599225935475056, Validation mae: 0.5482074442670766, Test mae: 0.5717708444656706
Epoch 23, Train mae: 0.4965250815198841, Validation mae: 0.483198760687052, Test mae: 0.5053316945683951
