Epoch 1, Loss: 2412.980712890625, Train acc: -0.3085448741912842, Validation acc: -0.31686586141586304, Test acc: -0.3107835650444031
Epoch 2, Loss: 2392.210205078125, Train acc: -0.307065486907959, Validation acc: -0.31574246287345886, Test acc: -0.30988073348999023
Epoch 3, Loss: 2389.054443359375, Train acc: -0.3068576753139496, Validation acc: -0.31548914313316345, Test acc: -0.30927976965904236
Epoch 4, Loss: 2388.724365234375, Train acc: -0.30936935544013977, Validation acc: -0.317760705947876, Test acc: -0.3119094669818878
Epoch 5, Loss: 2387.805419921875, Train acc: -0.30664414167404175, Validation acc: -0.3157796561717987, Test acc: -0.3093986511230469
Epoch 6, Loss: 2387.861328125, Train acc: -0.306511253118515, Validation acc: -0.3156868517398834, Test acc: -0.30890345573425293
Epoch 7, Loss: 2381.116455078125, Train acc: -0.3034009337425232, Validation acc: -0.31188148260116577, Test acc: -0.30606162548065186
Epoch 8, Loss: 2346.7255859375, Train acc: -0.2978438138961792, Validation acc: -0.30642634630203247, Test acc: -0.2997365891933441
Epoch 9, Loss: 2313.297119140625, Train acc: -0.29394251108169556, Validation acc: -0.3030988276004791, Test acc: -0.29605409502983093
Epoch 10, Loss: 2295.588134765625, Train acc: -0.2941341996192932, Validation acc: -0.3027675449848175, Test acc: -0.29521501064300537
Epoch 11, Loss: 2255.68701171875, Train acc: -0.2884345054626465, Validation acc: -0.29640084505081177, Test acc: -0.28999701142311096
Epoch 12, Loss: 2229.88232421875, Train acc: -0.28186967968940735, Validation acc: -0.2896973788738251, Test acc: -0.28300750255584717
Epoch 13, Loss: 2206.959716796875, Train acc: -0.27957040071487427, Validation acc: -0.2875020205974579, Test acc: -0.2810683846473694
Epoch 14, Loss: 2196.548828125, Train acc: -0.28092294931411743, Validation acc: -0.28901156783103943, Test acc: -0.2824060618877411
