Epoch 1, Loss: 2409.376708984375, Train acc: 0.19091541049669836, Validation acc: 0.19294080938333216, Test acc: 0.18769766654977468
Epoch 2, Loss: 2392.38134765625, Train acc: 0.18437431205135524, Validation acc: 0.183985154161495, Test acc: 0.1843292192487643
Epoch 3, Loss: 2389.76416015625, Train acc: 0.1897195148543991, Validation acc: 0.18795666125841187, Test acc: 0.19485287761442757
Epoch 4, Loss: 2388.731689453125, Train acc: 0.19645747158293161, Validation acc: 0.1938855707599366, Test acc: 0.19602440289932482
Epoch 5, Loss: 2387.27001953125, Train acc: 0.20448876191009743, Validation acc: 0.19977184359157882, Test acc: 0.20417905070530096
Epoch 6, Loss: 2374.7177734375, Train acc: 0.22655462307582816, Validation acc: 0.22617723329024864, Test acc: 0.22734632296068175
Epoch 7, Loss: 2328.283935546875, Train acc: 0.24678930487122577, Validation acc: 0.2459048543114838, Test acc: 0.2515444706267218
Epoch 8, Loss: 2280.649658203125, Train acc: 0.2854521651786467, Validation acc: 0.28690826892085275, Test acc: 0.2893793310591306
Epoch 9, Loss: 2228.582275390625, Train acc: 0.2994148465286155, Validation acc: 0.29671931613698127, Test acc: 0.29504947861035663
Epoch 10, Loss: 2197.322021484375, Train acc: 0.3121551425166613, Validation acc: 0.30435511053084346, Test acc: 0.30856674587404403
Epoch 11, Loss: 2184.014892578125, Train acc: 0.3154818107910839, Validation acc: 0.3005688080783361, Test acc: 0.2926835857686542
Epoch 12, Loss: 2175.384765625, Train acc: 0.3215415489340559, Validation acc: 0.31431413057566976, Test acc: 0.30443719271067027
Epoch 13, Loss: 2169.56201171875, Train acc: 0.3137283293117623, Validation acc: 0.2981658144660933, Test acc: 0.30333684908377156
Epoch 14, Loss: 2167.461181640625, Train acc: 0.3138833092387708, Validation acc: 0.30617167716047183, Test acc: 0.3052320406320319
Epoch 15, Loss: 2158.1083984375, Train acc: 0.3248648639541497, Validation acc: 0.3163613973129296, Test acc: 0.3175876887762102
Epoch 16, Loss: 2152.1884765625, Train acc: 0.32146983822677927, Validation acc: 0.3057072189490942, Test acc: 0.3080540362318817
Epoch 17, Loss: 2143.440673828125, Train acc: 0.3270612212011402, Validation acc: 0.3237247134940452, Test acc: 0.31377644386223996
Epoch 18, Loss: 2143.2548828125, Train acc: 0.3368518393334695, Validation acc: 0.32022072550963715, Test acc: 0.3253285069800098
Epoch 19, Loss: 2137.61865234375, Train acc: 0.3267300713855787, Validation acc: 0.3107811374253537, Test acc: 0.31674540238490895
Epoch 20, Loss: 2132.343505859375, Train acc: 0.33256265681437946, Validation acc: 0.32308318031346894, Test acc: 0.31786742587807554
Epoch 21, Loss: 2135.854248046875, Train acc: 0.3332392370146767, Validation acc: 0.3165654211722174, Test acc: 0.32286996738637586
Epoch 22, Loss: 2119.718505859375, Train acc: 0.3433663787007777, Validation acc: 0.3247336004003249, Test acc: 0.32186086259139857
Epoch 23, Loss: 2119.61962890625, Train acc: 0.3501692443406918, Validation acc: 0.34066356827142524, Test acc: 0.3432312815652698
Epoch 24, Loss: 2122.188232421875, Train acc: 0.35454425311647236, Validation acc: 0.3299766776182895, Test acc: 0.33404209093697745
Epoch 25, Loss: 2111.2392578125, Train acc: 0.3598836860180024, Validation acc: 0.33731051654721117, Test acc: 0.3450787240013653
Epoch 26, Loss: 2107.380615234375, Train acc: 0.35622204123615253, Validation acc: 0.34645044823574583, Test acc: 0.34841955567265415
Epoch 27, Loss: 2100.04541015625, Train acc: 0.34276508618862267, Validation acc: 0.3307069681552216, Test acc: 0.32957945858036075
Epoch 28, Loss: 2105.844970703125, Train acc: 0.35043482132303033, Validation acc: 0.33255001511918864, Test acc: 0.34191314321840743
Epoch 29, Loss: 2101.900390625, Train acc: 0.3544568340144778, Validation acc: 0.3340795952466969, Test acc: 0.34354612495908404
