Epoch 1, Loss: 6.478327751159668, Train acc: 0.6595744680851063, Validation acc: 0.6595744680851063, Test acc: 0.6808510638297872
Epoch 2, Loss: 6.339611530303955, Train acc: 0.6595744680851063, Validation acc: 0.6595744680851063, Test acc: 0.6808510638297872
Epoch 3, Loss: 6.2002854347229, Train acc: 0.6595744680851063, Validation acc: 0.6595744680851063, Test acc: 0.6808510638297872
Epoch 4, Loss: 6.436809539794922, Train acc: 0.6595744680851063, Validation acc: 0.6595744680851063, Test acc: 0.6808510638297872
Epoch 5, Loss: 6.273506164550781, Train acc: 0.6595744680851063, Validation acc: 0.6595744680851063, Test acc: 0.6808510638297872
Epoch 6, Loss: 6.4876837730407715, Train acc: 0.6595744680851063, Validation acc: 0.6595744680851063, Test acc: 0.6808510638297872
Epoch 7, Loss: 6.25108528137207, Train acc: 0.6595744680851063, Validation acc: 0.6595744680851063, Test acc: 0.6808510638297872
Epoch 8, Loss: 6.273646831512451, Train acc: 0.6595744680851063, Validation acc: 0.6595744680851063, Test acc: 0.6808510638297872
Epoch 9, Loss: 6.173795223236084, Train acc: 0.6595744680851063, Validation acc: 0.6595744680851063, Test acc: 0.6808510638297872
Epoch 10, Loss: 6.249845027923584, Train acc: 0.6595744680851063, Validation acc: 0.6595744680851063, Test acc: 0.6808510638297872
Epoch 11, Loss: 6.06555700302124, Train acc: 0.6595744680851063, Validation acc: 0.6595744680851063, Test acc: 0.6808510638297872
Epoch 12, Loss: 6.228670120239258, Train acc: 0.6595744680851063, Validation acc: 0.6595744680851063, Test acc: 0.6808510638297872
Epoch 13, Loss: 5.981414794921875, Train acc: 0.6595744680851063, Validation acc: 0.6595744680851063, Test acc: 0.6808510638297872
Epoch 14, Loss: 6.099573135375977, Train acc: 0.6595744680851063, Validation acc: 0.6595744680851063, Test acc: 0.7021276595744681
Epoch 15, Loss: 5.7140278816223145, Train acc: 0.6702127659574468, Validation acc: 0.6595744680851063, Test acc: 0.723404255319149
Epoch 16, Loss: 5.795907974243164, Train acc: 0.7127659574468085, Validation acc: 0.723404255319149, Test acc: 0.7446808510638298
Epoch 17, Loss: 5.883751392364502, Train acc: 0.6702127659574468, Validation acc: 0.6595744680851063, Test acc: 0.7021276595744681
Epoch 18, Loss: 5.888390064239502, Train acc: 0.723404255319149, Validation acc: 0.723404255319149, Test acc: 0.723404255319149
Epoch 19, Loss: 6.040277004241943, Train acc: 0.7127659574468085, Validation acc: 0.723404255319149, Test acc: 0.7446808510638298
Epoch 20, Loss: 5.795043468475342, Train acc: 0.6914893617021277, Validation acc: 0.6595744680851063, Test acc: 0.723404255319149
Epoch 21, Loss: 6.145051956176758, Train acc: 0.7021276595744681, Validation acc: 0.7659574468085106, Test acc: 0.7446808510638298
Epoch 22, Loss: 6.128195285797119, Train acc: 0.6914893617021277, Validation acc: 0.6595744680851063, Test acc: 0.723404255319149
Epoch 23, Loss: 5.85609769821167, Train acc: 0.7021276595744681, Validation acc: 0.723404255319149, Test acc: 0.723404255319149
Epoch 24, Loss: 5.938176155090332, Train acc: 0.723404255319149, Validation acc: 0.7021276595744681, Test acc: 0.723404255319149
Epoch 25, Loss: 5.59938907623291, Train acc: 0.7021276595744681, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 26, Loss: 6.087711811065674, Train acc: 0.7127659574468085, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 27, Loss: 5.736301422119141, Train acc: 0.723404255319149, Validation acc: 0.7659574468085106, Test acc: 0.7872340425531915
Epoch 28, Loss: 5.929981708526611, Train acc: 0.6914893617021277, Validation acc: 0.6808510638297872, Test acc: 0.723404255319149
Epoch 29, Loss: 5.401156425476074, Train acc: 0.6914893617021277, Validation acc: 0.6808510638297872, Test acc: 0.723404255319149
Epoch 30, Loss: 5.761681079864502, Train acc: 0.7340425531914894, Validation acc: 0.7872340425531915, Test acc: 0.7659574468085106
Epoch 31, Loss: 5.544680118560791, Train acc: 0.7127659574468085, Validation acc: 0.723404255319149, Test acc: 0.723404255319149
Epoch 32, Loss: 5.66963005065918, Train acc: 0.7127659574468085, Validation acc: 0.723404255319149, Test acc: 0.723404255319149
Epoch 33, Loss: 5.775730133056641, Train acc: 0.7127659574468085, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 34, Loss: 5.6712236404418945, Train acc: 0.6914893617021277, Validation acc: 0.6808510638297872, Test acc: 0.723404255319149
Epoch 35, Loss: 5.448028087615967, Train acc: 0.7340425531914894, Validation acc: 0.7659574468085106, Test acc: 0.7872340425531915
Epoch 36, Loss: 5.732824802398682, Train acc: 0.723404255319149, Validation acc: 0.723404255319149, Test acc: 0.723404255319149
Epoch 37, Loss: 5.710716724395752, Train acc: 0.7553191489361702, Validation acc: 0.7659574468085106, Test acc: 0.7659574468085106
Epoch 38, Loss: 5.462825775146484, Train acc: 0.7127659574468085, Validation acc: 0.723404255319149, Test acc: 0.723404255319149
Epoch 39, Loss: 5.559279918670654, Train acc: 0.7446808510638298, Validation acc: 0.7659574468085106, Test acc: 0.7659574468085106
Epoch 40, Loss: 5.517333030700684, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 41, Loss: 5.612078666687012, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 42, Loss: 5.676396369934082, Train acc: 0.723404255319149, Validation acc: 0.7659574468085106, Test acc: 0.7446808510638298
Epoch 43, Loss: 5.3852033615112305, Train acc: 0.723404255319149, Validation acc: 0.7659574468085106, Test acc: 0.7446808510638298
Epoch 44, Loss: 5.338160514831543, Train acc: 0.7553191489361702, Validation acc: 0.7659574468085106, Test acc: 0.7446808510638298
Epoch 45, Loss: 5.78899621963501, Train acc: 0.7553191489361702, Validation acc: 0.7659574468085106, Test acc: 0.7446808510638298
Epoch 46, Loss: 5.4204421043396, Train acc: 0.7446808510638298, Validation acc: 0.7659574468085106, Test acc: 0.7446808510638298
Epoch 47, Loss: 5.267423629760742, Train acc: 0.7553191489361702, Validation acc: 0.7659574468085106, Test acc: 0.7446808510638298
Epoch 48, Loss: 5.114428520202637, Train acc: 0.7446808510638298, Validation acc: 0.7659574468085106, Test acc: 0.7659574468085106
Epoch 49, Loss: 5.460676193237305, Train acc: 0.7446808510638298, Validation acc: 0.7659574468085106, Test acc: 0.7659574468085106
Epoch 50, Loss: 5.498903751373291, Train acc: 0.7553191489361702, Validation acc: 0.7659574468085106, Test acc: 0.7446808510638298
Epoch 51, Loss: 5.652785778045654, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 52, Loss: 5.428407669067383, Train acc: 0.7340425531914894, Validation acc: 0.723404255319149, Test acc: 0.723404255319149
Epoch 53, Loss: 5.242499351501465, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 54, Loss: 5.290170669555664, Train acc: 0.7340425531914894, Validation acc: 0.723404255319149, Test acc: 0.723404255319149
Epoch 55, Loss: 6.119710445404053, Train acc: 0.7340425531914894, Validation acc: 0.723404255319149, Test acc: 0.723404255319149
Epoch 56, Loss: 5.746041297912598, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 57, Loss: 5.444512844085693, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 58, Loss: 5.450923442840576, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 59, Loss: 5.307076930999756, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 60, Loss: 5.477290630340576, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 61, Loss: 5.391989231109619, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 62, Loss: 5.542783737182617, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 63, Loss: 5.816747665405273, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 64, Loss: 5.469186782836914, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 65, Loss: 5.506195545196533, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 66, Loss: 5.686390399932861, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 67, Loss: 5.485069274902344, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 68, Loss: 5.469024181365967, Train acc: 0.723404255319149, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 69, Loss: 5.527731418609619, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 70, Loss: 5.746258735656738, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 71, Loss: 5.586868762969971, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 72, Loss: 5.316733360290527, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 73, Loss: 5.328544616699219, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 74, Loss: 5.349166393280029, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 75, Loss: 5.529275417327881, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 76, Loss: 5.613561153411865, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 77, Loss: 5.880995273590088, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 78, Loss: 5.568724632263184, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 79, Loss: 5.5840959548950195, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 80, Loss: 5.157669544219971, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 81, Loss: 5.828060626983643, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 82, Loss: 5.260929107666016, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 83, Loss: 5.178499698638916, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 84, Loss: 5.8567728996276855, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 85, Loss: 5.516645908355713, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 86, Loss: 5.559173107147217, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 87, Loss: 5.667487144470215, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 88, Loss: 6.2078857421875, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 89, Loss: 5.137421131134033, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 90, Loss: 5.387917518615723, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 91, Loss: 5.411330699920654, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 92, Loss: 5.54818868637085, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 93, Loss: 5.366713047027588, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 94, Loss: 6.033329963684082, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 95, Loss: 5.432424545288086, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 96, Loss: 4.956322193145752, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 97, Loss: 5.467400074005127, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 98, Loss: 5.537834167480469, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 99, Loss: 5.755280494689941, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 100, Loss: 5.913362979888916, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 101, Loss: 5.463206768035889, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 102, Loss: 5.82424259185791, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 103, Loss: 5.206455230712891, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 104, Loss: 5.579689979553223, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 105, Loss: 5.441917419433594, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 106, Loss: 5.319046974182129, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 107, Loss: 5.650405406951904, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 108, Loss: 5.249381065368652, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 109, Loss: 5.471606731414795, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 110, Loss: 5.3597517013549805, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 111, Loss: 5.736754894256592, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 112, Loss: 5.524333953857422, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 113, Loss: 5.267319202423096, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 114, Loss: 5.512884616851807, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 115, Loss: 5.56459903717041, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 116, Loss: 5.471950531005859, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 117, Loss: 5.663053512573242, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 118, Loss: 5.705897331237793, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 119, Loss: 5.59129524230957, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 120, Loss: 5.491898536682129, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 121, Loss: 5.278043746948242, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 122, Loss: 5.308371067047119, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 123, Loss: 5.549903869628906, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 124, Loss: 5.1718549728393555, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 125, Loss: 5.479038715362549, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 126, Loss: 5.519086837768555, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 127, Loss: 5.571288108825684, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 128, Loss: 5.667010307312012, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 129, Loss: 5.655803680419922, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 130, Loss: 5.3754801750183105, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 131, Loss: 5.081658840179443, Train acc: 0.7446808510638298, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
100 epochs without improvement, stopping training
