Epoch 1, Loss: 6.760634899139404, Train acc: 0.2765957446808511, Validation acc: 0.3829787234042553, Test acc: 0.40425531914893614
Epoch 2, Loss: 6.702001571655273, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 3, Loss: 6.25691032409668, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 4, Loss: 6.476925849914551, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 5, Loss: 6.281819820404053, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 6, Loss: 6.292489528656006, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 7, Loss: 6.471039772033691, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 8, Loss: 6.385750770568848, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 9, Loss: 6.222992420196533, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 10, Loss: 6.150262832641602, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 11, Loss: 6.030229568481445, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 12, Loss: 6.146346569061279, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 13, Loss: 6.058971881866455, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 14, Loss: 5.946068286895752, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 15, Loss: 5.955590724945068, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 16, Loss: 6.4529924392700195, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 17, Loss: 6.086557388305664, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 18, Loss: 6.004490852355957, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 19, Loss: 6.095977783203125, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 20, Loss: 5.911233425140381, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 21, Loss: 6.428480625152588, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 22, Loss: 6.438638210296631, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 23, Loss: 6.3468337059021, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 24, Loss: 5.948706150054932, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 25, Loss: 6.147125244140625, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 26, Loss: 5.947803020477295, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 27, Loss: 5.760007858276367, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 28, Loss: 6.0616984367370605, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 29, Loss: 6.488054275512695, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 30, Loss: 5.95219087600708, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 31, Loss: 5.925196647644043, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 32, Loss: 6.332038402557373, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 33, Loss: 6.1938886642456055, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 34, Loss: 6.0157060623168945, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 35, Loss: 6.14498233795166, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 36, Loss: 5.819397926330566, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 37, Loss: 6.038119316101074, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 38, Loss: 5.777236461639404, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 39, Loss: 5.886998176574707, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 40, Loss: 5.677119731903076, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 41, Loss: 5.631932258605957, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 42, Loss: 5.735748291015625, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 43, Loss: 5.617117881774902, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 44, Loss: 6.117978096008301, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 45, Loss: 6.0784196853637695, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 46, Loss: 5.782784938812256, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 47, Loss: 5.8618927001953125, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 48, Loss: 5.906291961669922, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 49, Loss: 6.123851299285889, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 50, Loss: 5.736718654632568, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 51, Loss: 5.655760765075684, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 52, Loss: 5.953582763671875, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 53, Loss: 5.750206470489502, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 54, Loss: 5.965235710144043, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
Epoch 55, Loss: 5.770920753479004, Train acc: 0.723404255319149, Validation acc: 0.6170212765957447, Test acc: 0.5957446808510638
