Epoch 1, Loss: 6.424046993255615, Train acc: 0.6702127659574468, Validation acc: 0.6595744680851063, Test acc: 0.6595744680851063
Epoch 2, Loss: 6.196435451507568, Train acc: 0.6702127659574468, Validation acc: 0.6595744680851063, Test acc: 0.6595744680851063
Epoch 3, Loss: 6.8659539222717285, Train acc: 0.6702127659574468, Validation acc: 0.6595744680851063, Test acc: 0.6595744680851063
Epoch 4, Loss: 6.332026481628418, Train acc: 0.6702127659574468, Validation acc: 0.6595744680851063, Test acc: 0.6595744680851063
Epoch 5, Loss: 6.452330589294434, Train acc: 0.6702127659574468, Validation acc: 0.6595744680851063, Test acc: 0.6595744680851063
Epoch 6, Loss: 6.338977813720703, Train acc: 0.6702127659574468, Validation acc: 0.6595744680851063, Test acc: 0.6595744680851063
Epoch 7, Loss: 6.4105544090271, Train acc: 0.6702127659574468, Validation acc: 0.6595744680851063, Test acc: 0.6595744680851063
Epoch 8, Loss: 6.263175010681152, Train acc: 0.6702127659574468, Validation acc: 0.6595744680851063, Test acc: 0.6595744680851063
Epoch 9, Loss: 6.086740016937256, Train acc: 0.6702127659574468, Validation acc: 0.6595744680851063, Test acc: 0.6595744680851063
Epoch 10, Loss: 6.335631847381592, Train acc: 0.6702127659574468, Validation acc: 0.6595744680851063, Test acc: 0.6595744680851063
Epoch 11, Loss: 6.380747318267822, Train acc: 0.6702127659574468, Validation acc: 0.6595744680851063, Test acc: 0.6595744680851063
Epoch 12, Loss: 6.250748634338379, Train acc: 0.6702127659574468, Validation acc: 0.6595744680851063, Test acc: 0.6595744680851063
Epoch 13, Loss: 6.166778087615967, Train acc: 0.6702127659574468, Validation acc: 0.6595744680851063, Test acc: 0.6595744680851063
Epoch 14, Loss: 6.149418830871582, Train acc: 0.6702127659574468, Validation acc: 0.6595744680851063, Test acc: 0.6595744680851063
Epoch 15, Loss: 6.3095293045043945, Train acc: 0.6702127659574468, Validation acc: 0.6595744680851063, Test acc: 0.6595744680851063
Epoch 16, Loss: 6.318775653839111, Train acc: 0.6702127659574468, Validation acc: 0.6595744680851063, Test acc: 0.6595744680851063
Epoch 17, Loss: 6.041313171386719, Train acc: 0.6702127659574468, Validation acc: 0.6595744680851063, Test acc: 0.6595744680851063
Epoch 18, Loss: 6.172358512878418, Train acc: 0.6702127659574468, Validation acc: 0.6595744680851063, Test acc: 0.6595744680851063
Epoch 19, Loss: 6.030320644378662, Train acc: 0.6702127659574468, Validation acc: 0.6595744680851063, Test acc: 0.6595744680851063
Epoch 20, Loss: 6.0538859367370605, Train acc: 0.6702127659574468, Validation acc: 0.6595744680851063, Test acc: 0.6595744680851063
Epoch 21, Loss: 6.079092025756836, Train acc: 0.6702127659574468, Validation acc: 0.6595744680851063, Test acc: 0.6595744680851063
Epoch 22, Loss: 6.06707239151001, Train acc: 0.6702127659574468, Validation acc: 0.6595744680851063, Test acc: 0.6595744680851063
Epoch 23, Loss: 6.0572943687438965, Train acc: 0.6702127659574468, Validation acc: 0.6595744680851063, Test acc: 0.6595744680851063
Epoch 24, Loss: 5.868170261383057, Train acc: 0.6702127659574468, Validation acc: 0.6595744680851063, Test acc: 0.6595744680851063
Epoch 25, Loss: 5.706629753112793, Train acc: 0.6702127659574468, Validation acc: 0.6595744680851063, Test acc: 0.6595744680851063
Epoch 26, Loss: 5.593080997467041, Train acc: 0.6702127659574468, Validation acc: 0.6595744680851063, Test acc: 0.6595744680851063
Epoch 27, Loss: 5.143163681030273, Train acc: 0.6702127659574468, Validation acc: 0.6595744680851063, Test acc: 0.6595744680851063
Epoch 28, Loss: 5.45737886428833, Train acc: 0.723404255319149, Validation acc: 0.7872340425531915, Test acc: 0.723404255319149
Epoch 29, Loss: 4.763570308685303, Train acc: 0.7340425531914894, Validation acc: 0.8085106382978723, Test acc: 0.723404255319149
Epoch 30, Loss: 5.195115566253662, Train acc: 0.7659574468085106, Validation acc: 0.7659574468085106, Test acc: 0.7446808510638298
Epoch 31, Loss: 4.593635082244873, Train acc: 0.776595744680851, Validation acc: 0.7872340425531915, Test acc: 0.7659574468085106
Epoch 32, Loss: 5.990571975708008, Train acc: 0.7872340425531915, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 33, Loss: 5.464911937713623, Train acc: 0.776595744680851, Validation acc: 0.7872340425531915, Test acc: 0.7659574468085106
Epoch 34, Loss: 4.631770133972168, Train acc: 0.7659574468085106, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 35, Loss: 5.433903217315674, Train acc: 0.7659574468085106, Validation acc: 0.7659574468085106, Test acc: 0.7446808510638298
Epoch 36, Loss: 4.928828239440918, Train acc: 0.7659574468085106, Validation acc: 0.7659574468085106, Test acc: 0.7446808510638298
Epoch 37, Loss: 5.086596965789795, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7659574468085106
Epoch 38, Loss: 5.37107515335083, Train acc: 0.7978723404255319, Validation acc: 0.7659574468085106, Test acc: 0.723404255319149
Epoch 39, Loss: 5.778326988220215, Train acc: 0.7659574468085106, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 40, Loss: 4.783934593200684, Train acc: 0.7659574468085106, Validation acc: 0.7659574468085106, Test acc: 0.7446808510638298
Epoch 41, Loss: 4.933706760406494, Train acc: 0.7659574468085106, Validation acc: 0.7659574468085106, Test acc: 0.7446808510638298
Epoch 42, Loss: 5.237644672393799, Train acc: 0.7659574468085106, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 43, Loss: 5.091080188751221, Train acc: 0.7659574468085106, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 44, Loss: 4.592273235321045, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 45, Loss: 4.484508514404297, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 46, Loss: 5.09751558303833, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 47, Loss: 4.742153167724609, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 48, Loss: 4.718504905700684, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 49, Loss: 4.284609794616699, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 50, Loss: 4.9741644859313965, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 51, Loss: 4.681253433227539, Train acc: 0.7659574468085106, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 52, Loss: 5.107638835906982, Train acc: 0.7659574468085106, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 53, Loss: 4.5154032707214355, Train acc: 0.7659574468085106, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 54, Loss: 4.576106548309326, Train acc: 0.7659574468085106, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 55, Loss: 5.00421667098999, Train acc: 0.7659574468085106, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 56, Loss: 4.584456443786621, Train acc: 0.7659574468085106, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 57, Loss: 4.020196914672852, Train acc: 0.7659574468085106, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 58, Loss: 4.7865986824035645, Train acc: 0.7659574468085106, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 59, Loss: 4.479344367980957, Train acc: 0.7659574468085106, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 60, Loss: 5.160385608673096, Train acc: 0.7659574468085106, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 61, Loss: 5.224353790283203, Train acc: 0.7659574468085106, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 62, Loss: 4.771956443786621, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7659574468085106
Epoch 63, Loss: 4.724452972412109, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 64, Loss: 4.473640441894531, Train acc: 0.7659574468085106, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 65, Loss: 4.901672840118408, Train acc: 0.7659574468085106, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 66, Loss: 4.896435737609863, Train acc: 0.7659574468085106, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 67, Loss: 5.15196418762207, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7659574468085106
Epoch 68, Loss: 4.4901604652404785, Train acc: 0.7872340425531915, Validation acc: 0.7659574468085106, Test acc: 0.723404255319149
Epoch 69, Loss: 5.148862361907959, Train acc: 0.7872340425531915, Validation acc: 0.7659574468085106, Test acc: 0.723404255319149
Epoch 70, Loss: 4.7079548835754395, Train acc: 0.7872340425531915, Validation acc: 0.7659574468085106, Test acc: 0.723404255319149
Epoch 71, Loss: 4.584588050842285, Train acc: 0.7872340425531915, Validation acc: 0.7659574468085106, Test acc: 0.723404255319149
Epoch 72, Loss: 4.6304192543029785, Train acc: 0.776595744680851, Validation acc: 0.7659574468085106, Test acc: 0.723404255319149
Epoch 73, Loss: 4.8401079177856445, Train acc: 0.776595744680851, Validation acc: 0.7659574468085106, Test acc: 0.723404255319149
Epoch 74, Loss: 4.862182140350342, Train acc: 0.776595744680851, Validation acc: 0.7659574468085106, Test acc: 0.723404255319149
Epoch 75, Loss: 4.683612823486328, Train acc: 0.776595744680851, Validation acc: 0.7659574468085106, Test acc: 0.723404255319149
Epoch 76, Loss: 4.428175926208496, Train acc: 0.7659574468085106, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 77, Loss: 4.4675140380859375, Train acc: 0.7659574468085106, Validation acc: 0.7446808510638298, Test acc: 0.723404255319149
Epoch 78, Loss: 4.534354209899902, Train acc: 0.7659574468085106, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 79, Loss: 4.697787761688232, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 80, Loss: 4.932275295257568, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 81, Loss: 4.495467185974121, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 82, Loss: 4.377228736877441, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 83, Loss: 4.693424224853516, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 84, Loss: 4.942144393920898, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 85, Loss: 4.86773681640625, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 86, Loss: 5.037524700164795, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 87, Loss: 4.628526210784912, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 88, Loss: 5.509731292724609, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 89, Loss: 4.440152645111084, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 90, Loss: 5.448200702667236, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 91, Loss: 4.833300590515137, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 92, Loss: 4.62156343460083, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 93, Loss: 4.729827404022217, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 94, Loss: 4.571751594543457, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 95, Loss: 4.424928665161133, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 96, Loss: 4.889839172363281, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 97, Loss: 4.806494235992432, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 98, Loss: 5.188765525817871, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 99, Loss: 4.765496253967285, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 100, Loss: 4.677744388580322, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 101, Loss: 5.077279090881348, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 102, Loss: 4.864999771118164, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 103, Loss: 4.987462043762207, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 104, Loss: 4.8591694831848145, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 105, Loss: 4.821741580963135, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 106, Loss: 4.650669097900391, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 107, Loss: 4.447226047515869, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 108, Loss: 4.449185848236084, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 109, Loss: 5.0529937744140625, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 110, Loss: 4.821761608123779, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 111, Loss: 4.651966094970703, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 112, Loss: 4.40469217300415, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 113, Loss: 4.811058521270752, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 114, Loss: 4.864168167114258, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 115, Loss: 4.466885089874268, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 116, Loss: 4.830844879150391, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 117, Loss: 4.428678512573242, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 118, Loss: 4.5053606033325195, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 119, Loss: 4.585969924926758, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
Epoch 120, Loss: 4.892060279846191, Train acc: 0.7553191489361702, Validation acc: 0.7446808510638298, Test acc: 0.7446808510638298
