Epoch 1, Loss: 7.015145301818848, Train acc: 0.7127659574468085, Validation acc: 0.5319148936170213, Test acc: 0.7021276595744681
Epoch 2, Loss: 6.304959774017334, Train acc: 0.7127659574468085, Validation acc: 0.5319148936170213, Test acc: 0.7021276595744681
Epoch 3, Loss: 5.784035682678223, Train acc: 0.7127659574468085, Validation acc: 0.5319148936170213, Test acc: 0.7021276595744681
Epoch 4, Loss: 6.032529830932617, Train acc: 0.7127659574468085, Validation acc: 0.5319148936170213, Test acc: 0.7021276595744681
Epoch 5, Loss: 5.910921096801758, Train acc: 0.7127659574468085, Validation acc: 0.5319148936170213, Test acc: 0.7021276595744681
Epoch 6, Loss: 5.917743682861328, Train acc: 0.7127659574468085, Validation acc: 0.5319148936170213, Test acc: 0.7021276595744681
Epoch 7, Loss: 5.858785152435303, Train acc: 0.7127659574468085, Validation acc: 0.5319148936170213, Test acc: 0.7021276595744681
Epoch 8, Loss: 5.939364433288574, Train acc: 0.7127659574468085, Validation acc: 0.5319148936170213, Test acc: 0.7021276595744681
Epoch 9, Loss: 5.823463439941406, Train acc: 0.7127659574468085, Validation acc: 0.5319148936170213, Test acc: 0.7021276595744681
Epoch 10, Loss: 6.007990837097168, Train acc: 0.7127659574468085, Validation acc: 0.5319148936170213, Test acc: 0.7021276595744681
Epoch 11, Loss: 6.122992038726807, Train acc: 0.7127659574468085, Validation acc: 0.5319148936170213, Test acc: 0.7021276595744681
Epoch 12, Loss: 6.025443077087402, Train acc: 0.7127659574468085, Validation acc: 0.5319148936170213, Test acc: 0.7021276595744681
Epoch 13, Loss: 5.583124160766602, Train acc: 0.7127659574468085, Validation acc: 0.5319148936170213, Test acc: 0.7021276595744681
Epoch 14, Loss: 5.320295333862305, Train acc: 0.7127659574468085, Validation acc: 0.5319148936170213, Test acc: 0.7021276595744681
Epoch 15, Loss: 5.511013031005859, Train acc: 0.7127659574468085, Validation acc: 0.5319148936170213, Test acc: 0.7021276595744681
Epoch 16, Loss: 5.5038533210754395, Train acc: 0.7127659574468085, Validation acc: 0.5319148936170213, Test acc: 0.7021276595744681
Epoch 17, Loss: 5.518239498138428, Train acc: 0.7127659574468085, Validation acc: 0.5319148936170213, Test acc: 0.7021276595744681
Epoch 18, Loss: 5.144493103027344, Train acc: 0.7127659574468085, Validation acc: 0.5319148936170213, Test acc: 0.7021276595744681
Epoch 19, Loss: 5.26926851272583, Train acc: 0.7127659574468085, Validation acc: 0.5319148936170213, Test acc: 0.7021276595744681
Epoch 20, Loss: 4.928476333618164, Train acc: 0.7127659574468085, Validation acc: 0.5319148936170213, Test acc: 0.7021276595744681
Epoch 21, Loss: 4.685713291168213, Train acc: 0.776595744680851, Validation acc: 0.574468085106383, Test acc: 0.7446808510638298
Epoch 22, Loss: 4.9927263259887695, Train acc: 0.7659574468085106, Validation acc: 0.6808510638297872, Test acc: 0.8297872340425532
Epoch 23, Loss: 4.849095344543457, Train acc: 0.776595744680851, Validation acc: 0.6595744680851063, Test acc: 0.7446808510638298
Epoch 24, Loss: 5.586470127105713, Train acc: 0.7978723404255319, Validation acc: 0.6808510638297872, Test acc: 0.8085106382978723
Epoch 25, Loss: 5.018472194671631, Train acc: 0.7659574468085106, Validation acc: 0.7021276595744681, Test acc: 0.7872340425531915
Epoch 26, Loss: 4.9827141761779785, Train acc: 0.7978723404255319, Validation acc: 0.6808510638297872, Test acc: 0.8085106382978723
Epoch 27, Loss: 5.040693759918213, Train acc: 0.7659574468085106, Validation acc: 0.7021276595744681, Test acc: 0.7872340425531915
Epoch 28, Loss: 4.369321823120117, Train acc: 0.7659574468085106, Validation acc: 0.6808510638297872, Test acc: 0.7446808510638298
Epoch 29, Loss: 5.023815631866455, Train acc: 0.7872340425531915, Validation acc: 0.6808510638297872, Test acc: 0.8085106382978723
Epoch 30, Loss: 5.042124271392822, Train acc: 0.7659574468085106, Validation acc: 0.6808510638297872, Test acc: 0.8085106382978723
Epoch 31, Loss: 4.966979503631592, Train acc: 0.7659574468085106, Validation acc: 0.7021276595744681, Test acc: 0.7659574468085106
Epoch 32, Loss: 4.927610874176025, Train acc: 0.7553191489361702, Validation acc: 0.6808510638297872, Test acc: 0.7446808510638298
Epoch 33, Loss: 4.841888427734375, Train acc: 0.7659574468085106, Validation acc: 0.7021276595744681, Test acc: 0.7872340425531915
Epoch 34, Loss: 4.555049896240234, Train acc: 0.7659574468085106, Validation acc: 0.7021276595744681, Test acc: 0.8085106382978723
Epoch 35, Loss: 4.591842174530029, Train acc: 0.7659574468085106, Validation acc: 0.7021276595744681, Test acc: 0.8085106382978723
Epoch 36, Loss: 4.835784912109375, Train acc: 0.7872340425531915, Validation acc: 0.6808510638297872, Test acc: 0.8085106382978723
Epoch 37, Loss: 4.876833438873291, Train acc: 0.7659574468085106, Validation acc: 0.6808510638297872, Test acc: 0.8297872340425532
Epoch 38, Loss: 4.623895168304443, Train acc: 0.776595744680851, Validation acc: 0.6808510638297872, Test acc: 0.7446808510638298
Epoch 39, Loss: 4.291927814483643, Train acc: 0.7872340425531915, Validation acc: 0.7021276595744681, Test acc: 0.8085106382978723
Epoch 40, Loss: 4.699479103088379, Train acc: 0.7659574468085106, Validation acc: 0.6808510638297872, Test acc: 0.8297872340425532
Epoch 41, Loss: 5.293859004974365, Train acc: 0.7659574468085106, Validation acc: 0.6808510638297872, Test acc: 0.8297872340425532
Epoch 42, Loss: 5.166723251342773, Train acc: 0.7872340425531915, Validation acc: 0.6808510638297872, Test acc: 0.8085106382978723
Epoch 43, Loss: 4.949696063995361, Train acc: 0.776595744680851, Validation acc: 0.7021276595744681, Test acc: 0.8085106382978723
Epoch 44, Loss: 4.712453365325928, Train acc: 0.7978723404255319, Validation acc: 0.6808510638297872, Test acc: 0.8085106382978723
Epoch 45, Loss: 4.4355149269104, Train acc: 0.7978723404255319, Validation acc: 0.6808510638297872, Test acc: 0.8085106382978723
Epoch 46, Loss: 4.67192268371582, Train acc: 0.7659574468085106, Validation acc: 0.6808510638297872, Test acc: 0.8297872340425532
Epoch 47, Loss: 4.880829811096191, Train acc: 0.7978723404255319, Validation acc: 0.6808510638297872, Test acc: 0.8085106382978723
Epoch 48, Loss: 4.465959072113037, Train acc: 0.7659574468085106, Validation acc: 0.6595744680851063, Test acc: 0.7872340425531915
Epoch 49, Loss: 4.261675834655762, Train acc: 0.7659574468085106, Validation acc: 0.6808510638297872, Test acc: 0.8297872340425532
Epoch 50, Loss: 4.596447944641113, Train acc: 0.7659574468085106, Validation acc: 0.6808510638297872, Test acc: 0.8297872340425532
Epoch 51, Loss: 4.622608184814453, Train acc: 0.7659574468085106, Validation acc: 0.6808510638297872, Test acc: 0.8297872340425532
Epoch 52, Loss: 4.892309665679932, Train acc: 0.7659574468085106, Validation acc: 0.6595744680851063, Test acc: 0.7872340425531915
