Epoch 1, Loss: 53.890968322753906, Train acc: 0.19666666666666666, Validation acc: 0.14, Test acc: 0.13333333333333333
Epoch 2, Loss: 53.799461364746094, Train acc: 0.19666666666666666, Validation acc: 0.14, Test acc: 0.13333333333333333
Epoch 3, Loss: 53.7773551940918, Train acc: 0.19666666666666666, Validation acc: 0.14, Test acc: 0.13333333333333333
Epoch 4, Loss: 53.6085205078125, Train acc: 0.19666666666666666, Validation acc: 0.14, Test acc: 0.13333333333333333
Epoch 5, Loss: 53.54094314575195, Train acc: 0.19666666666666666, Validation acc: 0.14, Test acc: 0.13333333333333333
Epoch 6, Loss: 53.6766242980957, Train acc: 0.19666666666666666, Validation acc: 0.14, Test acc: 0.13333333333333333
Epoch 7, Loss: 53.48075485229492, Train acc: 0.19666666666666666, Validation acc: 0.14, Test acc: 0.13333333333333333
Epoch 8, Loss: 52.95342254638672, Train acc: 0.20333333333333334, Validation acc: 0.14, Test acc: 0.13333333333333333
Epoch 9, Loss: 52.3892822265625, Train acc: 0.24, Validation acc: 0.22666666666666666, Test acc: 0.14666666666666667
Epoch 10, Loss: 52.22927474975586, Train acc: 0.22, Validation acc: 0.18, Test acc: 0.10666666666666667
Epoch 11, Loss: 51.79105758666992, Train acc: 0.23333333333333334, Validation acc: 0.19333333333333333, Test acc: 0.14666666666666667
Epoch 12, Loss: 51.48671340942383, Train acc: 0.24, Validation acc: 0.2, Test acc: 0.15333333333333332
Epoch 13, Loss: 52.007511138916016, Train acc: 0.21333333333333335, Validation acc: 0.18666666666666668, Test acc: 0.17333333333333334
Epoch 14, Loss: 52.52396774291992, Train acc: 0.23333333333333334, Validation acc: 0.20666666666666667, Test acc: 0.15333333333333332
Epoch 15, Loss: 52.10775375366211, Train acc: 0.22666666666666666, Validation acc: 0.18666666666666668, Test acc: 0.12666666666666668
Epoch 16, Loss: 51.62540817260742, Train acc: 0.25, Validation acc: 0.16, Test acc: 0.18666666666666668
Epoch 17, Loss: 51.50483703613281, Train acc: 0.23666666666666666, Validation acc: 0.2, Test acc: 0.15333333333333332
Epoch 18, Loss: 51.74668884277344, Train acc: 0.22333333333333333, Validation acc: 0.16666666666666666, Test acc: 0.15333333333333332
Epoch 19, Loss: 51.72844696044922, Train acc: 0.24666666666666667, Validation acc: 0.14666666666666667, Test acc: 0.18666666666666668
Epoch 20, Loss: 51.80962371826172, Train acc: 0.24, Validation acc: 0.15333333333333332, Test acc: 0.18
Epoch 21, Loss: 51.683326721191406, Train acc: 0.24666666666666667, Validation acc: 0.15333333333333332, Test acc: 0.18666666666666668
Epoch 22, Loss: 51.71123504638672, Train acc: 0.23666666666666666, Validation acc: 0.14666666666666667, Test acc: 0.17333333333333334
Epoch 23, Loss: 51.92610168457031, Train acc: 0.24333333333333335, Validation acc: 0.15333333333333332, Test acc: 0.20666666666666667
Epoch 24, Loss: 51.62845230102539, Train acc: 0.24666666666666667, Validation acc: 0.16, Test acc: 0.20666666666666667
Epoch 25, Loss: 51.51167297363281, Train acc: 0.24333333333333335, Validation acc: 0.15333333333333332, Test acc: 0.21333333333333335
Epoch 26, Loss: 51.260765075683594, Train acc: 0.24333333333333335, Validation acc: 0.15333333333333332, Test acc: 0.2
Epoch 27, Loss: 51.36918640136719, Train acc: 0.24333333333333335, Validation acc: 0.15333333333333332, Test acc: 0.19333333333333333
Epoch 28, Loss: 51.35542678833008, Train acc: 0.24333333333333335, Validation acc: 0.14666666666666667, Test acc: 0.19333333333333333
Epoch 29, Loss: 51.153717041015625, Train acc: 0.25666666666666665, Validation acc: 0.17333333333333334, Test acc: 0.20666666666666667
Epoch 30, Loss: 51.31053924560547, Train acc: 0.25666666666666665, Validation acc: 0.17333333333333334, Test acc: 0.20666666666666667
Epoch 31, Loss: 51.18136978149414, Train acc: 0.25666666666666665, Validation acc: 0.16666666666666666, Test acc: 0.20666666666666667
Epoch 32, Loss: 51.21279525756836, Train acc: 0.25333333333333335, Validation acc: 0.17333333333333334, Test acc: 0.20666666666666667
Epoch 33, Loss: 50.8484001159668, Train acc: 0.25333333333333335, Validation acc: 0.18, Test acc: 0.2
Epoch 34, Loss: 51.004947662353516, Train acc: 0.25, Validation acc: 0.18, Test acc: 0.20666666666666667
Epoch 35, Loss: 51.2535400390625, Train acc: 0.24666666666666667, Validation acc: 0.16666666666666666, Test acc: 0.19333333333333333
Epoch 36, Loss: 51.203006744384766, Train acc: 0.24666666666666667, Validation acc: 0.17333333333333334, Test acc: 0.19333333333333333
Epoch 37, Loss: 50.88397216796875, Train acc: 0.24666666666666667, Validation acc: 0.16, Test acc: 0.18666666666666668
Epoch 38, Loss: 50.93358612060547, Train acc: 0.25333333333333335, Validation acc: 0.17333333333333334, Test acc: 0.19333333333333333
Epoch 39, Loss: 51.03451156616211, Train acc: 0.25333333333333335, Validation acc: 0.18, Test acc: 0.2
Epoch 40, Loss: 51.080718994140625, Train acc: 0.25, Validation acc: 0.18, Test acc: 0.2
Epoch 41, Loss: 50.929664611816406, Train acc: 0.25333333333333335, Validation acc: 0.18, Test acc: 0.19333333333333333
Epoch 42, Loss: 51.210235595703125, Train acc: 0.25, Validation acc: 0.17333333333333334, Test acc: 0.18
Epoch 43, Loss: 51.16044616699219, Train acc: 0.25333333333333335, Validation acc: 0.19333333333333333, Test acc: 0.18
Epoch 44, Loss: 51.35717010498047, Train acc: 0.27, Validation acc: 0.19333333333333333, Test acc: 0.18666666666666668
Epoch 45, Loss: 51.04095458984375, Train acc: 0.2733333333333333, Validation acc: 0.19333333333333333, Test acc: 0.19333333333333333
Epoch 46, Loss: 51.003604888916016, Train acc: 0.27, Validation acc: 0.19333333333333333, Test acc: 0.19333333333333333
Epoch 47, Loss: 51.001564025878906, Train acc: 0.27, Validation acc: 0.19333333333333333, Test acc: 0.20666666666666667
Epoch 48, Loss: 51.063106536865234, Train acc: 0.27, Validation acc: 0.19333333333333333, Test acc: 0.20666666666666667
Epoch 49, Loss: 50.86326599121094, Train acc: 0.27, Validation acc: 0.19333333333333333, Test acc: 0.20666666666666667
Epoch 50, Loss: 50.88672637939453, Train acc: 0.27, Validation acc: 0.19333333333333333, Test acc: 0.20666666666666667
Epoch 51, Loss: 50.80824661254883, Train acc: 0.27, Validation acc: 0.19333333333333333, Test acc: 0.20666666666666667
Epoch 52, Loss: 50.993309020996094, Train acc: 0.27, Validation acc: 0.19333333333333333, Test acc: 0.20666666666666667
Epoch 53, Loss: 51.3910026550293, Train acc: 0.26666666666666666, Validation acc: 0.20666666666666667, Test acc: 0.20666666666666667
Epoch 54, Loss: 50.9873046875, Train acc: 0.26666666666666666, Validation acc: 0.20666666666666667, Test acc: 0.20666666666666667
Epoch 55, Loss: 51.1084098815918, Train acc: 0.2633333333333333, Validation acc: 0.2, Test acc: 0.2
Epoch 56, Loss: 51.17412185668945, Train acc: 0.26666666666666666, Validation acc: 0.20666666666666667, Test acc: 0.2
Epoch 57, Loss: 50.618629455566406, Train acc: 0.26666666666666666, Validation acc: 0.2, Test acc: 0.2
Epoch 58, Loss: 51.2160530090332, Train acc: 0.27, Validation acc: 0.2, Test acc: 0.20666666666666667
Epoch 59, Loss: 50.89286804199219, Train acc: 0.27, Validation acc: 0.2, Test acc: 0.20666666666666667
Epoch 60, Loss: 51.14067077636719, Train acc: 0.26666666666666666, Validation acc: 0.2, Test acc: 0.20666666666666667
Epoch 61, Loss: 51.227474212646484, Train acc: 0.26666666666666666, Validation acc: 0.19333333333333333, Test acc: 0.20666666666666667
Epoch 62, Loss: 51.04800796508789, Train acc: 0.26666666666666666, Validation acc: 0.2, Test acc: 0.20666666666666667
Epoch 63, Loss: 51.15486145019531, Train acc: 0.26666666666666666, Validation acc: 0.19333333333333333, Test acc: 0.20666666666666667
Epoch 64, Loss: 51.1331901550293, Train acc: 0.26666666666666666, Validation acc: 0.2, Test acc: 0.20666666666666667
Epoch 65, Loss: 50.68329620361328, Train acc: 0.26666666666666666, Validation acc: 0.19333333333333333, Test acc: 0.20666666666666667
Epoch 66, Loss: 50.74399948120117, Train acc: 0.26666666666666666, Validation acc: 0.19333333333333333, Test acc: 0.20666666666666667
Epoch 67, Loss: 51.38044738769531, Train acc: 0.2633333333333333, Validation acc: 0.19333333333333333, Test acc: 0.20666666666666667
Epoch 68, Loss: 50.841861724853516, Train acc: 0.26666666666666666, Validation acc: 0.19333333333333333, Test acc: 0.20666666666666667
Epoch 69, Loss: 51.04010772705078, Train acc: 0.26666666666666666, Validation acc: 0.19333333333333333, Test acc: 0.20666666666666667
Epoch 70, Loss: 51.036705017089844, Train acc: 0.26666666666666666, Validation acc: 0.19333333333333333, Test acc: 0.20666666666666667
Epoch 71, Loss: 51.06193161010742, Train acc: 0.26666666666666666, Validation acc: 0.19333333333333333, Test acc: 0.20666666666666667
Epoch 72, Loss: 50.99408721923828, Train acc: 0.26666666666666666, Validation acc: 0.19333333333333333, Test acc: 0.20666666666666667
Epoch 73, Loss: 50.81313705444336, Train acc: 0.26666666666666666, Validation acc: 0.19333333333333333, Test acc: 0.20666666666666667
Epoch 74, Loss: 50.688018798828125, Train acc: 0.26666666666666666, Validation acc: 0.19333333333333333, Test acc: 0.20666666666666667
Epoch 75, Loss: 51.25590896606445, Train acc: 0.26666666666666666, Validation acc: 0.19333333333333333, Test acc: 0.20666666666666667
Epoch 76, Loss: 50.9604606628418, Train acc: 0.26666666666666666, Validation acc: 0.19333333333333333, Test acc: 0.20666666666666667
Epoch 77, Loss: 50.79013442993164, Train acc: 0.26666666666666666, Validation acc: 0.19333333333333333, Test acc: 0.20666666666666667
Epoch 78, Loss: 50.90557861328125, Train acc: 0.26666666666666666, Validation acc: 0.19333333333333333, Test acc: 0.20666666666666667
Epoch 79, Loss: 50.998111724853516, Train acc: 0.26666666666666666, Validation acc: 0.19333333333333333, Test acc: 0.20666666666666667
Epoch 80, Loss: 50.93619155883789, Train acc: 0.26666666666666666, Validation acc: 0.19333333333333333, Test acc: 0.20666666666666667
Epoch 81, Loss: 50.76824951171875, Train acc: 0.26666666666666666, Validation acc: 0.19333333333333333, Test acc: 0.20666666666666667
Epoch 82, Loss: 50.97053909301758, Train acc: 0.26666666666666666, Validation acc: 0.19333333333333333, Test acc: 0.20666666666666667
Epoch 83, Loss: 50.66563034057617, Train acc: 0.26666666666666666, Validation acc: 0.19333333333333333, Test acc: 0.20666666666666667
Epoch 84, Loss: 50.937557220458984, Train acc: 0.26666666666666666, Validation acc: 0.19333333333333333, Test acc: 0.20666666666666667
Epoch 85, Loss: 50.94527053833008, Train acc: 0.26666666666666666, Validation acc: 0.19333333333333333, Test acc: 0.20666666666666667
Epoch 86, Loss: 50.6993293762207, Train acc: 0.26666666666666666, Validation acc: 0.19333333333333333, Test acc: 0.20666666666666667
Epoch 87, Loss: 51.22151565551758, Train acc: 0.26666666666666666, Validation acc: 0.19333333333333333, Test acc: 0.20666666666666667
Epoch 88, Loss: 51.2481803894043, Train acc: 0.26666666666666666, Validation acc: 0.19333333333333333, Test acc: 0.20666666666666667
Epoch 89, Loss: 51.08442687988281, Train acc: 0.26666666666666666, Validation acc: 0.19333333333333333, Test acc: 0.20666666666666667
Epoch 90, Loss: 51.11988067626953, Train acc: 0.26666666666666666, Validation acc: 0.19333333333333333, Test acc: 0.20666666666666667
Epoch 91, Loss: 51.11410140991211, Train acc: 0.26666666666666666, Validation acc: 0.19333333333333333, Test acc: 0.20666666666666667
