Epoch 1, Loss: 53.91225051879883, Train acc: 0.18, Validation acc: 0.13333333333333333, Test acc: 0.17333333333333334
Epoch 2, Loss: 53.7109489440918, Train acc: 0.17333333333333334, Validation acc: 0.18666666666666668, Test acc: 0.13333333333333333
Epoch 3, Loss: 53.666534423828125, Train acc: 0.17333333333333334, Validation acc: 0.18666666666666668, Test acc: 0.13333333333333333
Epoch 4, Loss: 53.6881217956543, Train acc: 0.17333333333333334, Validation acc: 0.18666666666666668, Test acc: 0.13333333333333333
Epoch 5, Loss: 53.766868591308594, Train acc: 0.17333333333333334, Validation acc: 0.18666666666666668, Test acc: 0.13333333333333333
Epoch 6, Loss: 53.65267562866211, Train acc: 0.17333333333333334, Validation acc: 0.18666666666666668, Test acc: 0.13333333333333333
Epoch 7, Loss: 53.60837936401367, Train acc: 0.17333333333333334, Validation acc: 0.18666666666666668, Test acc: 0.13333333333333333
Epoch 8, Loss: 53.6766357421875, Train acc: 0.17333333333333334, Validation acc: 0.18666666666666668, Test acc: 0.13333333333333333
Epoch 9, Loss: 53.59666442871094, Train acc: 0.17333333333333334, Validation acc: 0.18666666666666668, Test acc: 0.13333333333333333
Epoch 10, Loss: 53.576725006103516, Train acc: 0.17333333333333334, Validation acc: 0.18666666666666668, Test acc: 0.13333333333333333
Epoch 11, Loss: 53.62779235839844, Train acc: 0.17333333333333334, Validation acc: 0.18666666666666668, Test acc: 0.13333333333333333
Epoch 12, Loss: 53.56298065185547, Train acc: 0.17333333333333334, Validation acc: 0.18666666666666668, Test acc: 0.13333333333333333
Epoch 13, Loss: 53.59358596801758, Train acc: 0.17333333333333334, Validation acc: 0.18666666666666668, Test acc: 0.13333333333333333
Epoch 14, Loss: 53.569175720214844, Train acc: 0.17333333333333334, Validation acc: 0.18666666666666668, Test acc: 0.13333333333333333
Epoch 15, Loss: 53.61451721191406, Train acc: 0.17333333333333334, Validation acc: 0.18666666666666668, Test acc: 0.13333333333333333
